ООО НВ Тс101889-25 19.05.2025 Решетников 2060кг.pdf Бердянск +
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003602шт', ['56,00', '110.880'], '336,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['7,00', '22.540'], '84,000')
('SU003578шт', ['7,00', '22.540'], '84,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003565шт', ['28,00', '47.040'], '168,000')
('SU002920шт', ['48,00', '279.840'], '384,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

ООО НВ Тс102016-25 19.05.2025 Решетников 4478кг.pdf Луганск +
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003610шт', ['56,00', '110.880'], '336,000')
('SU003602шт', ['140,00', '277.200'], '840,000')
('SU003613шт', ['42,00', '160.440'], '420,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['168,00', '540.960'], '2_016,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU002436шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002483кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['84,00', '270.480'], '1_008,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

ООО НВ Тс102008-25 19.05.2025 Решетников 4609кг.pdf Мелитополь +
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['132,00', '688.116'], '660,000')
('SU003610шт', ['28,00', '55.440'], '168,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU002434шт', ['28,00', '90.160'], '336,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003565шт', ['28,00', '47.040'], '168,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['132,00', '690.360'], '660,000')
('SU003024кг', ['126,00', '239.400'], '226,800')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['132,00', '690.360'], '660,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

