ООО НВ Тс123624-25 16.06.2025 Ожех 5051кг.pdf
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU002426шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['28,00', '65.520'], '672,000')
('SU003613шт', ['42,00', '160.440'], '420,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU002177шт', ['18,00', '38.160'], '144,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['132,00', '822.360'], '792,000')
('SU003012кг', ['98,00', '282.240'], '264,600')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['140,00', '543.200'], '518,000')

ООО НВ Тс123630-25 16.06.2025 Ожех 8153кг.pdf
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['204,00', '1.063.452'], '1_020,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU002426шт', ['14,00', '53.480'], '168,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['70,00', '130.200'], '420,000')
('SU000197кг', ['240,00', '1.248.000'], '1_200,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['84,00', '489.720'], '672,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003320шт', ['36,00', '260.280'], '360,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['156,00', '815.880'], '780,000')
('SU003454кг', ['56,00', '217.280'], '207,200')

