ООО НВ Тс123565-25 16.06.2025 Звягин 10937кг.pdf
('SU003598шт', ['98,00', '164.640'], '588,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['240,00', '1.251.120'], '1_200,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['112,00', '427.840'], '1_344,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU002426шт', ['56,00', '213.920'], '672,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003613шт', ['42,00', '160.440'], '420,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003459шт', ['120,00', '867.600'], '1_200,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['84,00', '270.480'], '1_008,000')
('SU003872шт', ['84,00', '220.080'], '1_008,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['288,00', '1.497.600'], '1_440,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['240,00', '1.255.200'], '1_200,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003020кг', ['96,00', '598.080'], '576,000')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['42,00', '133.560'], '126,000')

ООО НВ Тс123561-25 16.06.2025 Звягин 3185кг.pdf
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['96,00', '694.080'], '960,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['70,00', '271.600'], '259,000')

