ООО КСК ТРЕЙД Тс128818-25 23.06.2025 Коваленко 17858кг.pdf
('SU000722кг', ['10,00', '112.426'], '108,076')
('SU001485шт', ['90,00', '378.900'], '900,000')
('SU002829кг', ['29,00', '322.651'], '310,036')
('SU002815шт', ['100,00', '471.000'], '1_000,000')
('SU002828кг', ['9,00', '101.632'], '97,717')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU002835кг', ['4,00', '35.115'], '32,703')
('SU002830кг', ['24,00', '270.999'], '260,559')
('SU002816шт', ['110,00', '518.100'], '1_100,000')
('SU001523кг', ['30,00', '260.471'], '245,261')
('SU001523кг', ['14,00', '120.756'], '113,658')
('SU001718шт', ['217,00', '637.980'], '1_302,000')
('SU002928кг', ['6,00', '66.640'], '64,030')
('SU002734шт', ['120,00', '565.200'], '1_200,000')
('SU001721кг', ['21,00', '179.991'], '169,344')
('SU001721кг', ['64,00', '566.844'], '534,396')
('SU001720шт', ['217,00', '637.980'], '1_302,000')
('SU003336шт', ['17,00', '34.884'], '102,000')
('SU002367шт', ['10,00', '22.560'], '60,000')
('SU002983шт', ['23,00', '78.200'], '184,000')
('SU002985шт', ['18,00', '55.008'], '144,000')
('SU002984шт', ['23,00', '66.608'], '184,000')
('SU002756кг', ['12,00', '55.122'], '52,098')
('SU002876кг', ['8,00', '36.741'], '34,725')
('SU002847кг', ['24,00', '109.243'], '103,195')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['5,00', '7.200'], '90,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['23,00', '132.827'], '126,617')
('SU002943кг', ['10,00', '57.576'], '54,876')
('SU002945кг', ['55,00', '318.079'], '304,219')
('SU002947кг', ['13,00', '75.416'], '71,906')
('SU002944шт', ['37,00', '71.632'], '222,000')
('SU002942шт', ['17,00', '32.912'], '102,000')
('SU002946шт', ['25,00', '48.400'], '150,000')
('SU002948шт', ['20,00', '38.840'], '120,000')
('SU002725кг', ['19,00', '170.719'], '161,086')
('SU002842шт', ['117,00', '310.284'], '702,000')
('SU002618шт', ['134,00', '353.760'], '804,000')
('SU002686шт', ['59,00', '152.574'], '354,000')
('SU002844шт', ['134,00', '353.760'], '804,000')
('SU002759шт', ['9,00', '23.760'], '54,000')
('SU002758шт', ['14,00', '36.960'], '84,000')
('SU003273кг', ['3,00', '35.575'], '34,270')
('SU003271кг', ['13,00', '155.292'], '149,637')
('SU003274шт', ['10,00', '42.100'], '100,000')
('SU003272шт', ['5,00', '21.050'], '50,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['5,00', '5.580'], '90,000')
('SU003924шт', ['6,00', '7.236'], '108,000')
('SU002801шт', ['42,00', '110.880'], '252,000')
('SU002799шт', ['134,00', '352.956'], '804,000')
('SU002617шт', ['75,00', '167.700'], '450,000')
('SU002252шт', ['10,00', '20.280'], '60,000')
('SU001051кг', ['4,00', '33.379'], '31,351')
('SU000227кг', ['102,00', '857.042'], '805,328')
('SU001430кг', ['5,00', '47.195'], '44,660')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['284,00', '662.856'], '1_704,000')
('SU003168шт', ['200,00', '465.600'], '1_200,000')
('SU003422кг', ['80,00', '1.242.757'], '1_204,357')
('SU003423кг', ['60,00', '927.152'], '898,352')
('SU003420кг', ['48,00', '741.814'], '718,774')
('SU000251кг', ['24,00', '374.505'], '362,985')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['67,00', '1.035.030'], '1_002,870')
('SU002027шт', ['2,00', '8.420'], '20,000')
('SU000246кг', ['8,00', '74.392'], '70,432')
('SU002287кг', ['13,00', '121.144'], '114,553')
('SU003425кг', ['4,00', '50.258'], '48,518')
('SU002074кг', ['5,00', '45.579'], '43,104')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['29,00', '64.844'], '174,000')
('SU002606шт', ['29,00', '64.844'], '174,000')
('SU002612кг', ['2,00', '11.288'], '10,748')
('SU002604шт', ['7,00', '15.694'], '42,000')
('SU003342шт', ['34,00', '48.960'], '204,000')
('SU002011кг', ['12,00', '68.141'], '63,821')
('SU002634кг', ['30,00', '164.911'], '154,111')
('SU002010кг', ['12,00', '67.919'], '63,599')
('SU002632шт', ['26,00', '130.260'], '208,000')
('SU002631шт', ['36,00', '137.160'], '216,000')
('SU002631шт', ['2,00', '10.080'], '16,000')
('SU002035кг', ['19,00', '107.023'], '100,183')
('SU002150кг', ['10,00', '56.316'], '52,716')
('SU002158кг', ['12,00', '67.486'], '63,166')
('SU002151кг', ['23,00', '129.667'], '121,387')
('SU002916шт', ['10,00', '38.100'], '60,000')
('SU002919шт', ['4,00', '20.040'], '32,000')
('SU002918шт', ['17,00', '85.170'], '136,000')
('SU002655кг', ['141,00', '1.328.660'], '1_257,173')
('SU002970кг', ['2,00', '19.538'], '18,524')

