ООО КСК ТРЕЙД Тс128817-25 24.06.2025 Гусейнов 17702кг.pdf
('SU000722кг', ['10,00', '112.220'], '107,870')
('SU001485шт', ['60,00', '252.600'], '600,000')
('SU002829кг', ['24,00', '269.816'], '259,376')
('SU002815шт', ['54,00', '254.340'], '540,000')
('SU002815шт', ['56,00', '263.760'], '560,000')
('SU002828кг', ['8,00', '90.226'], '86,746')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU002835кг', ['2,00', '16.645'], '15,631')
('SU002830кг', ['17,00', '189.613'], '182,218')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['44,00', '381.274'], '358,966')
('SU001718шт', ['167,00', '490.980'], '1_002,000')
('SU002928кг', ['6,00', '67.257'], '64,647')
('SU002734шт', ['120,00', '565.200'], '1_200,000')
('SU001721кг', ['73,00', '644.821'], '607,810')
('SU001720шт', ['167,00', '490.980'], '1_002,000')
('SU003336шт', ['10,00', '20.520'], '60,000')
('SU002367шт', ['5,00', '11.280'], '30,000')
('SU002983шт', ['23,00', '78.200'], '184,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['23,00', '66.608'], '184,000')
('SU002756кг', ['8,00', '36.560'], '34,544')
('SU002876кг', ['5,00', '22.965'], '21,705')
('SU002847кг', ['17,00', '77.629'], '73,345')
('SU002660шт', ['42,00', '93.912'], '252,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU003829шт', ['2,00', '3.872'], '12,000')
('SU002848шт', ['92,00', '205.712'], '552,000')
('SU003895шт', ['5,00', '7.200'], '90,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['23,00', '133.622'], '127,412')
('SU002943кг', ['6,00', '34.630'], '33,010')
('SU002945кг', ['56,00', '319.936'], '305,824')
('SU002947кг', ['15,00', '87.258'], '83,208')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['15,00', '137.077'], '129,472')
('SU002842шт', ['117,00', '301.860'], '702,000')
('SU002618шт', ['150,00', '396.000'], '900,000')
('SU002686шт', ['50,00', '129.300'], '300,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['9,00', '23.760'], '54,000')
('SU002758шт', ['15,00', '39.600'], '90,000')
('SU003273кг', ['2,00', '23.706'], '22,836')
('SU003271кг', ['14,00', '167.439'], '161,349')
('SU003274шт', ['9,00', '37.890'], '90,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['5,00', '5.580'], '90,000')
('SU003924шт', ['6,00', '7.236'], '108,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['117,00', '308.178'], '702,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU002252шт', ['10,00', '20.280'], '60,000')
('SU001051кг', ['4,00', '33.754'], '31,726')
('SU000227кг', ['60,00', '504.864'], '474,444')
('SU001430кг', ['4,00', '37.440'], '35,412')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['284,00', '662.856'], '1_704,000')
('SU003168шт', ['184,00', '428.352'], '1_104,000')
('SU003422кг', ['135,00', '2.080.877'], '2_016,077')
('SU003423кг', ['60,00', '927.583'], '898,783')
('SU003420кг', ['80,00', '1.238.211'], '1_199,811')
('SU000251кг', ['20,00', '310.129'], '300,529')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['70,00', '1.084.602'], '1_051,002')
('SU002027шт', ['2,00', '8.420'], '20,000')
('SU000246кг', ['6,00', '56.826'], '53,856')
('SU002287кг', ['7,00', '66.744'], '63,195')
('SU003425кг', ['3,00', '37.747'], '36,442')
('SU002074кг', ['3,00', '27.281'], '25,796')
('SU002614кг', ['2,00', '11.584'], '11,044')
('SU002538шт', ['20,00', '44.960'], '120,000')
('SU002602шт', ['19,00', '42.484'], '114,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002612кг', ['2,00', '11.567'], '11,027')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['34,00', '48.960'], '204,000')
('SU002011кг', ['18,00', '101.205'], '94,725')
('SU002634кг', ['20,00', '110.285'], '103,085')
('SU002010кг', ['24,00', '133.160'], '124,520')
('SU002632шт', ['25,00', '125.250'], '200,000')
('SU002631шт', ['18,00', '68.580'], '108,000')
('SU002631шт', ['12,00', '60.480'], '96,000')
('SU002035кг', ['14,00', '78.937'], '73,897')
('SU002150кг', ['8,00', '45.217'], '42,337')
('SU002158кг', ['8,00', '45.155'], '42,275')
('SU002151кг', ['25,00', '140.854'], '131,854')
('SU002916шт', ['10,00', '38.100'], '60,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['14,00', '70.140'], '112,000')
('SU002655кг', ['122,00', '1.173.164'], '1_111,310')

