ООО НВ Тс134201-25 28.06.2025 Медведь 11309кг.pdf Донецк +
('SU000722кг', ['43,00', '481.601'], '462,896')
('SU002835кг', ['5,00', '43.087'], '40,072')
('SU001523кг', ['6,00', '35.102'], '32,654')
('SU001718шт', ['51,00', '149.940'], '306,000')
('SU002734шт', ['170,00', '800.700'], '1_700,000')
('SU002833кг', ['2,00', '22.691'], '21,821')
('SU002735шт', ['5,00', '12.900'], '30,000')
('SU001721кг', ['25,00', '216.739'], '204,064')
('SU001720шт', ['53,00', '155.820'], '318,000')
('SU001720шт', ['364,00', '1.074.528'], '2_184,000')
('SU002756кг', ['11,00', '49.712'], '46,940')
('SU002847кг', ['4,00', '18.291'], '17,283')
('SU002660шт', ['14,00', '31.304'], '84,000')
('SU003829шт', ['2,00', '3.872'], '12,000')
('SU002848шт', ['54,00', '120.744'], '324,000')
('SU002941кг', ['17,00', '98.447'], '93,857')
('SU002943кг', ['20,00', '116.052'], '110,652')
('SU002947кг', ['36,00', '208.415'], '198,695')
('SU002944шт', ['29,00', '56.144'], '174,000')
('SU002942шт', ['17,00', '32.912'], '102,000')
('SU002948шт', ['11,00', '21.362'], '66,000')
('SU002725кг', ['2,00', '17.936'], '16,922')
('SU002842шт', ['160,00', '424.320'], '960,000')
('SU002618шт', ['69,00', '182.160'], '414,000')
('SU002621шт', ['88,00', '232.320'], '528,000')
('SU002686шт', ['80,00', '211.200'], '480,000')
('SU002844шт', ['48,00', '126.720'], '288,000')
('SU002759шт', ['10,00', '26.400'], '60,000')
('SU002758шт', ['9,00', '23.760'], '54,000')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU002801шт', ['7,00', '18.480'], '42,000')
('SU002799шт', ['28,00', '73.752'], '168,000')
('SU003392кг', ['2,00', '22.652'], '21,782')
('SU002252шт', ['2,00', '4.056'], '12,000')
('SU000227кг', ['46,00', '390.393'], '367,071')
('SU003420кг', ['35,00', '540.054'], '523,254')
('SU000126кг', ['71,00', '1.101.605'], '1_068,445')
('SU002074кг', ['245,00', '2.238.197'], '2_113,982')
('SU002074кг', ['64,00', '620.562'], '581,970')
('SU002614кг', ['1,00', '5.846'], '5,576')
('SU002606шт', ['5,00', '11.180'], '30,000')
('SU002011кг', ['23,00', '130.249'], '121,969')
('SU002010кг', ['249,00', '1.396.710'], '1_309,560')
