ООО ЛП Тс136384-25 03.07.2025 Бауков 7176кг.pdf
('SU000722кг', ['15,00', '166.972'], '160,447')
('SU001485шт', ['10,00', '42.100'], '100,000')
('SU003313шт', ['2,00', '4.104'], '12,000')
('SU003642кг', ['6,00', '67.045'], '64,525')
('SU002829кг', ['15,00', '166.430'], '160,130')
('SU002674шт', ['4,00', '20.040'], '32,000')
('SU002815шт', ['10,00', '47.100'], '100,000')
('SU002828кг', ['15,00', '166.348'], '159,823')
('SU002814шт', ['20,00', '57.600'], '120,000')
('SU003027шт', ['4,00', '7.744'], '24,000')
('SU003029шт', ['4,00', '7.744'], '24,000')
('SU003031шт', ['4,00', '7.768'], '24,000')
('SU002887кг', ['3,00', '25.762'], '24,457')
('SU003616кг', ['3,00', '26.381'], '24,860')
('SU003287кг', ['5,00', '45.581'], '42,566')
('SU002825шт', ['2,00', '4.092'], '12,000')
('SU003617шт', ['2,00', '5.532'], '12,000')
('SU003288шт', ['2,00', '4.080'], '12,000')
('SU002835кг', ['1,00', '8.203'], '7,600')
('SU002830кг', ['10,00', '112.540'], '108,190')
('SU002816шт', ['12,00', '56.520'], '120,000')
('SU001523кг', ['8,00', '46.320'], '43,056')
('SU001718шт', ['2,00', '5.880'], '12,000')
('SU002769шт', ['2,00', '4.440'], '12,000')
('SU002928кг', ['5,00', '56.246'], '54,071')
('SU002734шт', ['5,00', '23.550'], '50,000')
('SU002833кг', ['5,00', '56.833'], '54,658')
('SU003037шт', ['3,00', '7.500'], '24,000')
('SU001721кг', ['6,00', '35.120'], '32,672')
('SU001721кг', ['1,00', '8.725'], '8,218')
('SU001720шт', ['2,00', '5.760'], '12,000')
('SU002367шт', ['2,00', '4.512'], '12,000')
('SU002983шт', ['3,00', '10.200'], '24,000')
('SU002985шт', ['3,00', '9.168'], '24,000')
('SU002312шт', ['5,00', '21.050'], '50,000')
('SU000064кг', ['13,00', '50.048'], '46,538')
('SU000664кг', ['8,00', '24.649'], '22,825')
('SU003512шт', ['3,00', '6.384'], '18,000')
