ООО ЛП Тс151367-25 26.07.2025 Хапизов 3710кг.pdf
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003460шт', ['96,00', '694.080'], '960,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002069шт', ['12,00', '85.320'], '192,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['28,00', '80.640'], '75,600')

ООО ЛП Тс151365-25 26.07.2025 Хапизов 5850кг.pdf
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003717шт', ['36,00', '260.280'], '360,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['120,00', '867.600'], '1_200,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003077шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002069шт', ['24,00', '170.640'], '384,000')
('SU002066шт', ['48,00', '356.640'], '384,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003448кг', ['56,00', '178.080'], '168,000')

