ООО НВ Тс157663-25 05.08.2025 Штырков 4272кг.pdf Луганск +
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003727шт', ['42,00', '120.120'], '504,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['210,00', '676.200'], '2_520,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['36,00', '209.880'], '288,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['36,00', '206.280'], '198,000')
('SU003439кг', ['126,00', '488.880'], '466,200')

ООО НВ Тс157728-25 05.08.2025 Штырков 3222кг.pdf Аист +
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['56,00', '94.080'], '336,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003680шт', ['70,00', '96.600'], '420,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003884шт', ['40,00', '124.000'], '480,000')
('SU003884шт', ['16,00', '49.600'], '192,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU002177шт', ['30,00', '63.600'], '240,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU002268шт', ['126,00', '658.980'], '630,000')
('SU003383шт', ['28,00', '80.640'], '252,000')
('SU003382шт', ['28,00', '80.640'], '252,000')
('SU003377шт', ['36,00', '100.800'], '324,000')

ООО НВ Тс157670-25 05.08.2025 Штырков 1366кг.pdf Бердянск +
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['36,00', '260.280'], '360,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['24,00', '125.520'], '120,000')

