ООО ЛП Тс160254-25 07.08.2025 Бауков 7987кг.pdf
('SU000722кг', ['10,00', '110.300'], '105,950')
('SU003642кг', ['6,00', '67.505'], '64,895')
('SU002829кг', ['15,00', '167.849'], '161,324')
('SU002674шт', ['3,00', '15.030'], '24,000')
('SU002831шт', ['5,00', '21.050'], '50,000')
('SU003033шт', ['3,00', '6.840'], '18,000')
('SU002828кг', ['15,00', '168.210'], '162,105')
('SU002814шт', ['10,00', '28.800'], '60,000')
('SU003027шт', ['3,00', '5.808'], '18,000')
('SU003029шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU002887кг', ['3,00', '25.779'], '24,474')
('SU003616кг', ['2,00', '17.510'], '16,496')
('SU003287кг', ['3,00', '28.056'], '26,247')
('SU002835кг', ['1,00', '8.795'], '8,192')
('SU002830кг', ['10,00', '112.704'], '108,354')
('SU002832шт', ['4,00', '16.840'], '40,000')
('SU001523кг', ['8,00', '46.400'], '43,136')
('SU002928кг', ['5,00', '56.004'], '53,829')
('SU002833кг', ['3,00', '33.604'], '32,299')
('SU001721кг', ['5,00', '43.350'], '40,815')
('SU002983шт', ['3,00', '10.200'], '24,000')
('SU000064кг', ['8,00', '30.534'], '28,374')
('SU000664кг', ['6,00', '18.537'], '17,169')
('SU002756кг', ['5,00', '22.984'], '21,724')
('SU002876кг', ['5,00', '22.835'], '21,575')
('SU002847кг', ['5,00', '23.192'], '21,932')
('SU002660шт', ['3,00', '6.708'], '18,000')
('SU002877шт', ['3,00', '6.708'], '18,000')
('SU003829шт', ['3,00', '5.808'], '18,000')
('SU002848шт', ['3,00', '6.708'], '18,000')
('SU003046шт', ['3,00', '5.520'], '18,000')
('SU002943кг', ['4,00', '23.041'], '21,961')
('SU002945кг', ['4,00', '23.144'], '22,136')
('SU002947кг', ['4,00', '23.313'], '22,233')
('SU002843кг', ['2,00', '17.547'], '16,533')
('SU002845кг', ['2,00', '17.330'], '16,316')
('SU002725кг', ['2,00', '18.962'], '17,948')
('SU003922шт', ['37,00', '44.622'], '666,000')
('SU003920шт', ['17,00', '33.660'], '255,000')
('SU003389кг', ['15,00', '168.015'], '161,340')
('SU003387кг', ['20,00', '226.270'], '218,070')
('SU003391кг', ['6,00', '67.235'], '64,715')
('SU003219кг', ['3,00', '33.586'], '32,281')
('SU001777кг', ['64,00', '718.080'], '690,240')
('SU003394кг', ['15,00', '168.904'], '162,379')
('SU003396кг', ['10,00', '112.620'], '108,270')
('SU003395шт', ['3,00', '12.630'], '30,000')
('SU003393шт', ['6,00', '25.260'], '60,000')
('SU001820кг', ['40,00', '178.001'], '167,921')
('SU001822кг', ['20,00', '91.691'], '86,651')
('SU001801кг', ['5,00', '22.783'], '21,523')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['182,00', '1.597.612'], '1_505,338')
('SU001727кг', ['3,00', '25.492'], '23,971')
('SU001728кг', ['2,00', '17.315'], '16,301')
('SU003333шт', ['3,00', '9.756'], '18,000')
('SU001051кг', ['2,00', '17.953'], '16,939')
('SU000227кг', ['5,00', '42.523'], '39,988')
('SU001430кг', ['3,00', '27.185'], '25,664')
('SU001921кг', ['1,00', '3.123'], '2,891')
('SU001920кг', ['1,00', '3.325'], '3,077')
('SU002092шт', ['1,00', '2.810'], '15,000')
('SU001869шт', ['1,00', '2.810'], '15,000')
('SU001835кг', ['13,00', '110.003'], '103,256')
('SU003422кг', ['49,00', '755.134'], '731,614')
('SU003423кг', ['49,00', '751.560'], '730,000')
('SU000251кг', ['48,00', '744.942'], '721,902')
('SU000126кг', ['48,00', '752.100'], '729,080')
('SU002074кг', ['1,00', '9.131'], '8,528')
('SU002614кг', ['3,00', '17.719'], '16,909')
('SU002613кг', ['3,00', '17.563'], '16,753')
('SU002538шт', ['2,00', '4.496'], '12,000')
('SU002602шт', ['2,00', '4.472'], '12,000')
('SU002606шт', ['3,00', '6.708'], '18,000')
('SU002603шт', ['3,00', '6.708'], '18,000')
('SU002285шт', ['3,00', '7.938'], '12,000')
('SU002612кг', ['5,00', '28.589'], '27,239')
('SU002545шт', ['5,00', '11.240'], '30,000')
('SU002182кг', ['2,00', '11.291'], '10,571')
('SU002094кг', ['2,00', '11.170'], '10,450')
('SU002010кг', ['2,00', '11.230'], '10,510')
('SU002035кг', ['2,00', '11.291'], '10,571')
('SU002150кг', ['2,00', '11.218'], '10,498')
('SU002158кг', ['2,00', '11.266'], '10,546')
('SU002151кг', ['2,00', '11.289'], '10,569')
('SU002218кг', ['1,00', '8.517'], '8,010')
('SU002219кг', ['2,00', '11.281'], '10,465')
('SU002805кг', ['4,00', '18.282'], '17,274')
('SU002809кг', ['4,00', '18.206'], '17,198')
('SU002655кг', ['4,00', '38.452'], '36,424')

