ООО ЛП Тс166103-25 16.08.2025 Сычев 2599кг.pdf Горина +
('SU000722кг', ['3,00', '33.335'], '32,030')
('SU002829кг', ['21,00', '234.888'], '225,753')
('SU001721кг', ['5,00', '44.201'], '41,666')
('SU000664кг', ['2,00', '9.030'], '8,598')
('SU003275кг', ['2,00', '23.675'], '22,805')
('SU003392кг', ['19,00', '214.025'], '205,760')
('SU001820кг', ['10,00', '43.916'], '41,396')
('SU001822кг', ['26,00', '119.540'], '112,988')
('SU001340кг', ['158,00', '1.283.332'], '1_203,226')
('SU000227кг', ['36,00', '302.378'], '284,126')
('SU001835кг', ['2,00', '17.461'], '16,423')
('SU003423кг', ['1,00', '15.470'], '15,020')
('SU000251кг', ['16,00', '247.249'], '239,569')
('SU000126кг', ['7,00', '109.734'], '106,689')
('SU002809кг', ['10,00', '45.712'], '43,192')

ООО ЛП Тс166107-25 16.08.2025 Сычев 10016кг.pdf Новороссийск +
('SU001485шт', ['40,00', '168.400'], '400,000')
('SU002829кг', ['52,00', '394.557'], '374,487')
('SU002815шт', ['76,00', '357.960'], '760,000')
('SU002816шт', ['46,00', '216.660'], '460,000')
('SU002769шт', ['34,00', '75.480'], '204,000')
('SU002733шт', ['51,00', '201.960'], '510,000')
('SU002139шт', ['50,00', '111.000'], '300,000')
('SU002312шт', ['30,00', '126.300'], '300,000')
('SU002660шт', ['17,00', '38.012'], '102,000')
('SU002848шт', ['17,00', '38.012'], '102,000')
('SU002944шт', ['17,00', '32.912'], '102,000')
('SU002618шт', ['34,00', '89.964'], '204,000')
('SU002621шт', ['17,00', '44.880'], '102,000')
('SU003387кг', ['65,00', '730.470'], '702,195')
('SU003392кг', ['33,00', '372.190'], '357,835')
('SU001822кг', ['70,00', '321.642'], '304,002')
('SU001340кг', ['327,00', '2.668.996'], '2_503,207')
('SU000227кг', ['39,00', '324.731'], '304,958')
('SU003167шт', ['100,00', '233.400'], '600,000')
('SU003168шт', ['34,00', '79.152'], '204,000')
('SU003423кг', ['17,00', '262.470'], '254,860')
('SU000251кг', ['120,00', '1.859.480'], '1_801,880')
('SU000126кг', ['113,00', '1.769.656'], '1_720,501')

ООО ЛП Тс166131-25 16.08.2025 Сычев 3532кг.pdf Сочи
('SU000722кг', ['5,00', '55.770'], '53,595')
('SU001485шт', ['20,00', '84.200'], '200,000')
('SU002815шт', ['35,00', '164.850'], '350,000')
('SU002815шт', ['15,00', '70.650'], '150,000')
('SU002816шт', ['36,00', '169.560'], '360,000')
('SU001523кг', ['12,00', '69.958'], '65,062')
('SU001718шт', ['3,00', '8.820'], '18,000')
('SU001718шт', ['47,00', '138.180'], '282,000')
('SU002734шт', ['30,00', '141.300'], '300,000')
('SU001720шт', ['50,00', '147.000'], '300,000')
('SU002983шт', ['10,00', '34.000'], '80,000')
('SU002984шт', ['10,00', '28.960'], '80,000')
('SU002312шт', ['25,00', '105.250'], '250,000')
('SU002847кг', ['10,00', '45.708'], '43,188')
('SU002660шт', ['16,00', '35.776'], '96,000')
('SU002848шт', ['6,00', '13.416'], '36,000')
('SU003895шт', ['5,00', '7.200'], '90,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['9,00', '52.290'], '49,860')
('SU002944шт', ['8,00', '15.488'], '48,000')
('SU002618шт', ['50,00', '132.300'], '300,000')
('SU002621шт', ['50,00', '132.000'], '300,000')
('SU002758шт', ['10,00', '26.400'], '60,000')
('SU003920шт', ['5,00', '9.900'], '75,000')
('SU003924шт', ['9,00', '10.854'], '162,000')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU002799шт', ['7,00', '18.438'], '42,000')
('SU001822кг', ['70,00', '321.184'], '303,544')
('SU002579шт', ['3,00', '6.708'], '18,000')
('SU001340кг', ['89,00', '722.292'], '677,169')
('SU003333шт', ['20,00', '65.040'], '120,000')
('SU000227кг', ['5,00', '42.165'], '39,630')
('SU002092шт', ['3,00', '8.430'], '45,000')
('SU001869шт', ['5,00', '14.050'], '75,000')
('SU002841шт', ['8,00', '17.600'], '160,000')
('SU002368шт', ['6,00', '13.200'], '120,000')
('SU003167шт', ['50,00', '116.700'], '300,000')
('SU003168шт', ['28,00', '65.184'], '168,000')
('SU003423кг', ['4,00', '61.860'], '60,060')
('SU000251кг', ['13,00', '200.726'], '194,486')
('SU003420кг', ['10,00', '153.968'], '149,168')
('SU003421шт', ['1,00', '5.210'], '10,000')
('SU000126кг', ['10,00', '156.647'], '152,297')
('SU002632шт', ['3,00', '15.030'], '24,000')
('SU003786шт', ['5,00', '12.900'], '30,000')
('SU002916шт', ['1,00', '5.010'], '8,000')
('SU002918шт', ['3,00', '15.030'], '24,000')

