ООО ЛП Тс180365-25 04.09.2025 Хайбулаев 15231кг.pdf
('SU000722кг', ['3,00', '33.160'], '31,750')
('SU001485шт', ['69,00', '290.490'], '690,000')
('SU002829кг', ['26,00', '292.507'], '281,197')
('SU002815шт', ['70,00', '329.700'], '700,000')
('SU002828кг', ['53,00', '593.937'], '570,882')
('SU002814шт', ['24,00', '69.120'], '144,000')
('SU002814шт', ['83,00', '239.040'], '498,000')
('SU002830кг', ['18,00', '202.250'], '194,420')
('SU002816шт', ['44,00', '207.240'], '440,000')
('SU001523кг', ['5,00', '42.417'], '39,882')
('SU001718шт', ['5,00', '14.700'], '30,000')
('SU002769шт', ['19,00', '42.180'], '114,000')
('SU002928кг', ['5,00', '56.070'], '54,020')
('SU002733шт', ['25,00', '99.000'], '250,000')
('SU002733шт', ['3,00', '11.880'], '30,000')
('SU003037шт', ['5,00', '12.500'], '40,000')
('SU001721кг', ['1,00', '8.384'], '7,877')
('SU002139шт', ['48,00', '106.560'], '288,000')
('SU002983шт', ['12,00', '40.800'], '96,000')
('SU002985шт', ['14,00', '42.784'], '112,000')
('SU002312шт', ['40,00', '168.400'], '400,000')
('SU000064кг', ['6,00', '23.146'], '21,526')
('SU002660шт', ['82,00', '183.352'], '492,000')
('SU002877шт', ['53,00', '118.508'], '318,000')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['1,00', '1.440'], '18,000')
('SU003894шт', ['9,00', '12.960'], '162,000')
('SU003896шт', ['12,00', '17.280'], '216,000')
('SU002945кг', ['25,00', '140.481'], '134,181')
('SU002944шт', ['13,00', '25.168'], '78,000')
('SU002942шт', ['24,00', '46.464'], '144,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002842шт', ['55,00', '145.860'], '330,000')
('SU002618шт', ['105,00', '277.200'], '630,000')
('SU002621шт', ['88,00', '232.320'], '528,000')
('SU002844шт', ['58,00', '153.816'], '348,000')
('SU002758шт', ['3,00', '7.920'], '18,000')
('SU003921шт', ['5,00', '9.900'], '75,000')
('SU003922шт', ['4,00', '4.824'], '72,000')
('SU003920шт', ['8,00', '15.840'], '120,000')
('SU003925шт', ['10,00', '11.160'], '180,000')
('SU003923шт', ['8,00', '9.648'], '144,000')
('SU003389кг', ['7,00', '78.600'], '75,870')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU003396кг', ['3,00', '33.475'], '32,275')
('SU003392кг', ['88,00', '995.105'], '956,825')
('SU003393шт', ['2,00', '8.420'], '20,000')
('SU001820кг', ['33,00', '145.744'], '137,428')
('SU002579шт', ['2,00', '4.472'], '12,000')
('SU002252шт', ['43,00', '87.204'], '258,000')
('SU001340кг', ['64,00', '522.308'], '489,860')
('SU003333шт', ['36,00', '117.072'], '216,000')
('SU001430кг', ['8,00', '72.804'], '68,748')
('SU002092шт', ['9,00', '25.290'], '135,000')
('SU001869шт', ['13,00', '36.530'], '195,000')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU002840шт', ['25,00', '55.000'], '500,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU003167шт', ['36,00', '84.024'], '216,000')
('SU003168шт', ['25,00', '58.056'], '150,000')
('SU003422кг', ['17,00', '273.336'], '265,176')
('SU003423кг', ['8,00', '124.340'], '120,820')
('SU003423кг', ['22,00', '346.255'], '335,695')
('SU000251кг', ['194,00', '2.998.028'], '2_904,908')
('SU000126кг', ['73,00', '1.128.380'], '1_094,800')
('SU000126кг', ['240,00', '3.721.725'], '3_609,405')
('SU002027шт', ['1,00', '4.210'], '10,000')
('SU002205шт', ['13,00', '34.320'], '78,000')
('SU002538шт', ['1,00', '2.248'], '6,000')
('SU002602шт', ['1,00', '2.236'], '6,000')
('SU002606шт', ['3,00', '6.708'], '18,000')
('SU002011кг', ['6,00', '33.696'], '31,536')
('SU002010кг', ['3,00', '16.810'], '15,790')
('SU003786шт', ['1,00', '2.580'], '6,000')
('SU002035кг', ['12,00', '67.753'], '63,673')
('SU002150кг', ['4,00', '22.446'], '21,006')
('SU002809кг', ['43,00', '195.772'], '184,936')

ООО ЛП Тс179246-25 04.09.2025 Хайбулаев 2813кг.pdf
('SU000722кг', ['3,00', '33.130'], '31,720')
('SU002829кг', ['10,00', '111.118'], '106,768')
('SU002830кг', ['3,00', '33.696'], '32,391')
('SU001721кг', ['48,00', '406.788'], '382,452')
('SU001720шт', ['6,00', '17.640'], '36,000')
('SU001340кг', ['4,00', '33.328'], '31,300')
('SU000227кг', ['8,00', '70.116'], '66,060')
('SU003422кг', ['14,00', '223.280'], '216,560')
('SU003423кг', ['6,00', '94.130'], '91,250')
('SU000251кг', ['14,00', '216.413'], '209,693')
('SU000126кг', ['16,00', '246.700'], '239,340')
('SU002074кг', ['27,00', '249.531'], '235,842')
('SU002074кг', ['14,00', '129.016'], '120,574')
('SU002634кг', ['20,00', '109.170'], '102,370')
('SU002010кг', ['58,00', '324.950'], '305,230')
('SU002035кг', ['76,00', '431.302'], '404,062')
('SU002150кг', ['10,00', '56.224'], '52,624')
('SU002158кг', ['8,00', '45.156'], '42,276')
('SU002151кг', ['24,00', '135.441'], '126,801')

