ООО ЛП Тс179243-25 07.09.2025 Бауков 5981кг.pdf
('SU000341шт', ['1,00', '2.766'], '6,000')
('SU000152шт', ['1,00', '2.760'], '6,000')
('SU000722кг', ['13,00', '143.930'], '137,820')
('SU003642кг', ['4,00', '45.132'], '43,392')
('SU002829кг', ['12,00', '133.271'], '128,051')
('SU002674шт', ['3,00', '15.030'], '24,000')
('SU002831шт', ['5,00', '21.050'], '50,000')
('SU003033шт', ['10,00', '22.800'], '60,000')
('SU002828кг', ['12,00', '135.138'], '129,918')
('SU002814шт', ['5,00', '14.400'], '30,000')
('SU003027шт', ['3,00', '5.808'], '18,000')
('SU003031шт', ['3,00', '5.826'], '18,000')
('SU002835кг', ['2,00', '17.126'], '15,920')
('SU002830кг', ['6,00', '67.319'], '64,709')
('SU002832шт', ['10,00', '42.100'], '100,000')
('SU001523кг', ['6,00', '51.188'], '48,146')
('SU001718шт', ['1,00', '2.940'], '6,000')
('SU002928кг', ['5,00', '55.780'], '53,730')
('SU002734шт', ['3,00', '14.130'], '30,000')
('SU002827шт', ['2,00', '9.420'], '12,000')
('SU002833кг', ['2,00', '22.195'], '21,325')
('SU001721кг', ['6,00', '50.483'], '47,441')
('SU001720шт', ['1,00', '2.940'], '6,000')
('SU002983шт', ['5,00', '17.000'], '40,000')
('SU002985шт', ['5,00', '15.280'], '40,000')
('SU002984шт', ['1,00', '2.896'], '8,000')
('SU000064кг', ['11,00', '42.174'], '39,204')
('SU000097кг', ['2,00', '18.496'], '17,386')
('SU002756кг', ['6,00', '27.586'], '26,074')
('SU002876кг', ['6,00', '27.673'], '26,161')
('SU002847кг', ['6,00', '27.539'], '26,027')
('SU002660шт', ['5,00', '11.180'], '30,000')
('SU002877шт', ['5,00', '11.180'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU003046шт', ['3,00', '5.520'], '18,000')
('SU002941кг', ['5,00', '28.331'], '26,981')
('SU002943кг', ['5,00', '28.102'], '26,752')
('SU002945кг', ['5,00', '28.038'], '26,778')
('SU002947кг', ['5,00', '28.557'], '27,207')
('SU002944шт', ['4,00', '7.744'], '24,000')
('SU002942шт', ['4,00', '7.744'], '24,000')
('SU002946шт', ['4,00', '7.744'], '24,000')
('SU002948шт', ['4,00', '7.768'], '24,000')
('SU002843кг', ['2,00', '16.372'], '15,358')
('SU002618шт', ['1,00', '2.640'], '6,000')
('SU002621шт', ['1,00', '2.640'], '6,000')
('SU003389кг', ['10,00', '112.550'], '108,650')
('SU003391кг', ['10,00', '111.313'], '106,963')
('SU003387кг', ['5,00', '56.685'], '54,510')
('SU003388шт', ['2,00', '8.420'], '20,000')
('SU002801шт', ['5,00', '13.200'], '30,000')
('SU002799шт', ['5,00', '13.170'], '30,000')
('SU002698шт', ['5,00', '9.080'], '30,000')
('SU003394кг', ['10,00', '112.483'], '108,133')
('SU003396кг', ['5,00', '55.495'], '53,495')
('SU003395шт', ['2,00', '8.420'], '20,000')
('SU003393шт', ['5,00', '21.050'], '50,000')
('SU001820кг', ['41,00', '181.529'], '171,197')
('SU001822кг', ['20,00', '91.362'], '86,322')
('SU001801кг', ['8,00', '36.102'], '34,086')
('SU002579шт', ['5,00', '11.180'], '30,000')
('SU002617шт', ['5,00', '11.180'], '30,000')
('SU001340кг', ['126,00', '1.068.986'], '1_005,104')
('SU001727кг', ['3,00', '25.616'], '24,095')
('SU001728кг', ['3,00', '25.394'], '23,873')
('SU003333шт', ['3,00', '9.756'], '18,000')
('SU001762шт', ['1,00', '2.946'], '6,000')
