ООО КСК ТРЕЙД Тс180880-25 07.09.2025 Лазарев 16083кг.pdf
('SU000722кг', ['5,00', '56.491'], '54,316')
('SU001485шт', ['60,00', '252.600'], '600,000')
('SU002829кг', ['24,00', '268.655'], '258,215')
('SU002815шт', ['100,00', '471.000'], '1_000,000')
('SU002828кг', ['12,00', '135.241'], '130,021')
('SU002814шт', ['20,00', '57.600'], '120,000')
('SU002814шт', ['30,00', '86.400'], '180,000')
('SU002830кг', ['19,00', '214.492'], '206,227')
('SU002816шт', ['140,00', '659.400'], '1_400,000')
('SU001523кг', ['20,00', '177.015'], '166,875')
('SU001718шт', ['234,00', '687.960'], '1_404,000')
('SU002734шт', ['90,00', '423.900'], '900,000')
('SU001721кг', ['44,00', '381.012'], '358,704')
('SU001720шт', ['102,00', '299.880'], '612,000')
('SU001720шт', ['182,00', '530.663'], '1_092,000')
('SU003336шт', ['70,00', '143.640'], '420,000')
('SU002367шт', ['7,00', '15.792'], '42,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['28,00', '85.568'], '224,000')
('SU002984шт', ['28,00', '81.088'], '224,000')
('SU002756кг', ['12,00', '54.454'], '51,430')
('SU002876кг', ['12,00', '55.151'], '52,127')
('SU002847кг', ['82,00', '375.587'], '354,923')
('SU002660шт', ['109,00', '243.724'], '654,000')
('SU002877шт', ['92,00', '205.712'], '552,000')
('SU002848шт', ['150,00', '335.400'], '900,000')
('SU003895шт', ['17,00', '24.480'], '306,000')
('SU003893шт', ['25,00', '36.000'], '450,000')
('SU003894шт', ['28,00', '40.320'], '504,000')
('SU003896шт', ['17,00', '24.480'], '306,000')
('SU002941кг', ['38,00', '217.851'], '207,591')
('SU002943кг', ['15,00', '84.751'], '80,701')
('SU002945кг', ['48,00', '269.909'], '257,813')
('SU002947кг', ['17,00', '96.774'], '92,184')
('SU002944шт', ['100,00', '193.600'], '600,000')
('SU002942шт', ['67,00', '129.712'], '402,000')
('SU002946шт', ['84,00', '162.624'], '504,000')
('SU002948шт', ['50,00', '97.100'], '300,000')
('SU002725кг', ['36,00', '325.377'], '307,125')
('SU002842шт', ['150,00', '397.800'], '900,000')
('SU002618шт', ['267,00', '704.880'], '1_602,000')
('SU002686шт', ['84,00', '221.760'], '504,000')
('SU002844шт', ['134,00', '355.368'], '804,000')
('SU002758шт', ['34,00', '89.760'], '204,000')
('SU003273кг', ['4,00', '47.642'], '45,902')
('SU003271кг', ['9,00', '107.706'], '103,791')
('SU003921шт', ['24,00', '47.520'], '360,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['7,00', '7.812'], '126,000')
('SU002801шт', ['109,00', '281.700'], '654,000')
('SU002799шт', ['125,00', '329.250'], '750,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['29,00', '58.812'], '174,000')
('SU001051кг', ['3,00', '26.969'], '25,448')
('SU000227кг', ['33,00', '280.193'], '263,462')
('SU001430кг', ['2,00', '18.760'], '17,746')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU001869шт', ['27,00', '75.870'], '405,000')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU003167шт', ['467,00', '1.089.978'], '2_802,000')
('SU003168шт', ['234,00', '547.560'], '1_404,000')
('SU003423кг', ['75,00', '1.154.209'], '1_118,209')
('SU000251кг', ['34,00', '526.341'], '510,021')
('SU003421шт', ['7,00', '36.470'], '70,000')
('SU002027шт', ['4,00', '16.840'], '40,000')
('SU002287кг', ['4,00', '37.489'], '35,461')
('SU003425кг', ['5,00', '63.875'], '61,700')
('SU002074кг', ['4,00', '36.639'], '34,611')
('SU002614кг', ['2,00', '11.528'], '10,988')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['14,00', '31.304'], '84,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['10,00', '22.420'], '60,000')
('SU003342шт', ['34,00', '48.960'], '204,000')
('SU002011кг', ['19,00', '106.595'], '99,755')
('SU002634кг', ['24,00', '131.827'], '123,187')
('SU002010кг', ['35,00', '197.674'], '185,074')
('SU002632шт', ['30,00', '150.300'], '240,000')
('SU002631шт', ['27,00', '136.080'], '216,000')
('SU002035кг', ['31,00', '175.424'], '164,264')
('SU002150кг', ['10,00', '56.308'], '52,708')
('SU002158кг', ['6,00', '33.810'], '31,650')
('SU002151кг', ['21,00', '118.354'], '110,794')
('SU002916шт', ['9,00', '45.090'], '72,000')
('SU002919шт', ['7,00', '35.070'], '56,000')
('SU002918шт', ['25,00', '125.250'], '200,000')
('SU002655кг', ['80,00', '740.848'], '700,288')

ООО КСК ТРЕЙД Тс182724-25 07.09.2025 Лазарев 48кг.pdf
('SU003274шт', ['12,00', '50.520'], '120,000')

ООО КСК ТРЕЙД Тс182725-25 07.09.2025 Лазарев 160кг.pdf
('SU003272шт', ['40,00', '168.400'], '400,000')

ООО ЛП Тс180872-25 07.09.2025 Лазарев 1273кг.pdf
('SU000722кг', ['7,00', '78.563'], '75,518')
('SU002829кг', ['8,00', '90.100'], '86,900')
('SU002815шт', ['4,00', '18.840'], '40,000')
('SU002828кг', ['4,00', '45.054'], '43,314')
('SU002830кг', ['8,00', '46.517'], '43,637')
('SU002816шт', ['1,00', '4.710'], '10,000')
('SU002816шт', ['5,00', '23.550'], '50,000')
('SU001523кг', ['3,00', '25.204'], '23,683')
('SU002847кг', ['5,00', '22.957'], '21,697')
('SU002941кг', ['28,00', '159.332'], '151,772')
('SU002943кг', ['12,00', '67.885'], '64,645')
('SU002945кг', ['8,00', '45.294'], '43,278')
('SU002947кг', ['6,00', '33.978'], '32,358')
('SU003387кг', ['6,00', '67.475'], '65,045')
('SU001820кг', ['3,00', '13.440'], '12,684')
('SU003422кг', ['4,00', '61.531'], '59,611')
('SU003423кг', ['2,00', '31.110'], '30,230')
('SU003423кг', ['5,00', '78.031'], '75,631')
('SU000126кг', ['8,00', '123.091'], '119,675')
('SU002613кг', ['8,00', '46.024'], '43,864')
('SU002612кг', ['6,00', '34.265'], '32,645')
('SU002011кг', ['8,00', '45.080'], '42,224')
('SU002182кг', ['2,00', '11.239'], '10,519')
('SU002010кг', ['12,00', '67.190'], '63,110')
('SU002655кг', ['10,00', '91.160'], '86,090')

