ООО КСК ТРЕЙД Тс183317-25 08.09.2025 Гончаренко 17585кг.pdf
('SU000722кг', ['10,00', '113.143'], '108,793')
('SU001485шт', ['75,00', '315.750'], '750,000')
('SU002829кг', ['14,00', '156.265'], '150,175')
('SU002815шт', ['160,00', '753.600'], '1_600,000')
('SU002828кг', ['5,00', '56.179'], '54,004')
('SU002814шт', ['84,00', '241.920'], '504,000')
('SU002830кг', ['24,00', '271.208'], '260,768')
('SU002816шт', ['170,00', '800.700'], '1_700,000')
('SU001718шт', ['234,00', '687.960'], '1_404,000')
('SU002928кг', ['3,00', '34.117'], '32,812')
('SU002734шт', ['50,00', '235.500'], '500,000')
('SU001721кг', ['86,00', '747.434'], '703,832')
('SU001720шт', ['165,00', '485.100'], '990,000')
('SU003336шт', ['50,00', '102.600'], '300,000')
('SU002367шт', ['20,00', '45.120'], '120,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['15,00', '43.440'], '120,000')
('SU002876кг', ['8,00', '36.907'], '34,891')
('SU002847кг', ['42,00', '190.981'], '180,397')
('SU002660шт', ['59,00', '131.924'], '354,000')
('SU002877шт', ['59,00', '131.924'], '354,000')
('SU002848шт', ['133,00', '297.388'], '798,000')
('SU003895шт', ['12,00', '17.280'], '216,000')
('SU003893шт', ['12,00', '17.280'], '216,000')
('SU003894шт', ['14,00', '20.160'], '252,000')
('SU003896шт', ['12,00', '17.280'], '216,000')
('SU002941кг', ['23,00', '131.584'], '125,374')
('SU002943кг', ['6,00', '34.058'], '32,438')
('SU002945кг', ['47,00', '265.657'], '253,813')
('SU002947кг', ['6,00', '34.177'], '32,557')
('SU002944шт', ['84,00', '162.624'], '504,000')
('SU002942шт', ['50,00', '96.800'], '300,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['42,00', '81.564'], '252,000')
('SU002725кг', ['23,00', '215.470'], '203,809')
('SU002842шт', ['117,00', '310.284'], '702,000')
('SU002618шт', ['167,00', '440.880'], '1_002,000')
('SU002686шт', ['37,00', '97.680'], '222,000')
('SU002844шт', ['141,00', '373.932'], '846,000')
('SU002759шт', ['14,00', '36.960'], '84,000')
('SU002758шт', ['37,00', '97.680'], '222,000')
('SU003271кг', ['24,00', '286.550'], '276,110')
('SU003272шт', ['25,00', '105.250'], '250,000')
('SU003921шт', ['14,00', '27.720'], '210,000')
('SU003920шт', ['8,00', '15.840'], '120,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['84,00', '221.256'], '504,000')
('SU002617шт', ['67,00', '149.812'], '402,000')
('SU002252шт', ['24,00', '48.672'], '144,000')
('SU001051кг', ['3,00', '25.535'], '24,014')
('SU000227кг', ['84,00', '701.232'], '658,644')
('SU001430кг', ['2,00', '18.686'], '17,672')
('SU002092шт', ['27,00', '75.870'], '405,000')
('SU003167шт', ['467,00', '1.089.978'], '2_802,000')
('SU003168шт', ['150,00', '349.200'], '900,000')
('SU003422кг', ['59,00', '913.320'], '887,950')
('SU003422кг', ['15,00', '230.935'], '223,735')
('SU003423кг', ['67,00', '1.044.520'], '1_012,360')
('SU000251кг', ['27,00', '421.332'], '408,372')
('SU003420кг', ['51,00', '797.031'], '772,551')
('SU003420кг', ['48,00', '756.116'], '733,076')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['67,00', '1.043.858'], '1_011,698')
('SU002027шт', ['4,00', '16.840'], '40,000')
('SU002287кг', ['5,00', '45.434'], '42,899')
('SU003425кг', ['3,00', '38.381'], '37,076')
('SU002074кг', ['4,00', '36.711'], '34,683')
('SU002538шт', ['44,00', '98.912'], '264,000')
('SU002606шт', ['50,00', '111.800'], '300,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['25,00', '36.000'], '150,000')
('SU002634кг', ['17,00', '92.783'], '86,663')
('SU002010кг', ['19,00', '107.373'], '100,533')
('SU002632шт', ['33,00', '165.330'], '264,000')
('SU002631шт', ['44,00', '221.760'], '352,000')
('SU002035кг', ['19,00', '107.385'], '100,545')
('SU002150кг', ['8,00', '45.151'], '42,271')
('SU002158кг', ['14,00', '79.018'], '73,978')
('SU002151кг', ['29,00', '163.550'], '153,110')
('SU002916шт', ['24,00', '120.240'], '192,000')
('SU002919шт', ['5,00', '25.050'], '40,000')
('SU002918шт', ['24,00', '120.240'], '192,000')
('SU002808кг', ['2,00', '25.139'], '24,269')

ООО КСК ТРЕЙД Тс183316-25 08.09.2025 Гончаренко 80кг.pdf
('SU003274шт', ['20,00', '84.200'], '200,000')

