ООО НВ Тс186803-25 16.09.2025 Ожех 3640кг.pdf
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['28,00', '90.160'], '336,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003439кг', ['28,00', '108.640'], '103,600')

ООО НВ Тс186779-25 16.09.2025 Ожех 7059кг.pdf
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['72,00', '520.560'], '720,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003591шт', ['112,00', '427.840'], '1_344,000')
('SU003607шт', ['84,00', '320.880'], '1_008,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003384шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['216,00', '1.123.200'], '1_080,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['28,00', '108.640'], '103,600')

