ООО ЛП Тс188681-25 19.09.2025 Гулаков 16670кг.pdf
('SU000722кг', ['30,00', '334.699'], '321,649')
('SU001485шт', ['55,00', '231.550'], '550,000')
('SU002829кг', ['20,00', '223.381'], '214,681')
('SU002815шт', ['85,00', '400.350'], '850,000')
('SU002828кг', ['117,00', '1.316.555'], '1_265,660')
('SU002814шт', ['39,00', '112.320'], '234,000')
('SU002830кг', ['8,00', '88.720'], '85,240')
('SU002816шт', ['47,00', '221.370'], '470,000')
('SU001523кг', ['23,00', '194.195'], '182,534')
('SU001718шт', ['36,00', '105.840'], '216,000')
('SU002769шт', ['18,00', '39.960'], '108,000')
('SU002928кг', ['1,00', '11.246'], '10,811')
('SU002733шт', ['32,00', '126.720'], '320,000')
('SU002734шт', ['3,00', '14.130'], '30,000')
('SU001721кг', ['10,00', '88.243'], '83,173')
('SU002139шт', ['76,00', '166.500'], '456,000')
('SU001720шт', ['9,00', '26.460'], '54,000')
('SU002985шт', ['20,00', '61.120'], '160,000')
('SU002984шт', ['20,00', '57.920'], '160,000')
('SU002312шт', ['15,00', '63.150'], '150,000')
('SU002847кг', ['49,00', '222.997'], '211,111')
('SU002660шт', ['39,00', '87.204'], '234,000')
('SU002877шт', ['43,00', '96.148'], '258,000')
('SU002848шт', ['60,00', '134.160'], '360,000')
('SU003895шт', ['2,00', '2.880'], '36,000')
('SU003893шт', ['29,00', '41.760'], '522,000')
('SU003894шт', ['15,00', '21.600'], '270,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002945кг', ['34,00', '191.178'], '182,610')
('SU002944шт', ['52,00', '100.672'], '312,000')
('SU002942шт', ['32,00', '61.952'], '192,000')
('SU002948шт', ['1,00', '1.942'], '6,000')
('SU002842шт', ['63,00', '167.076'], '378,000')
('SU002618шт', ['73,00', '193.158'], '438,000')
('SU002621шт', ['52,00', '137.280'], '312,000')
('SU002844шт', ['51,00', '135.252'], '306,000')
('SU002758шт', ['15,00', '39.600'], '90,000')
('SU003921шт', ['5,00', '9.900'], '75,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU003924шт', ['7,00', '8.442'], '126,000')
('SU002799шт', ['2,00', '5.268'], '12,000')
('SU003396кг', ['4,00', '45.227'], '43,487')
('SU003392кг', ['130,00', '1.463.790'], '1_409,920')
('SU003395шт', ['10,00', '42.100'], '100,000')
('SU003393шт', ['11,00', '46.310'], '110,000')
('SU001820кг', ['64,00', '284.898'], '268,770')
('SU001822кг', ['234,00', '1.069.652'], '1_012,107')
('SU002579шт', ['3,00', '6.708'], '18,000')
('SU002617шт', ['38,00', '84.968'], '228,000')
('SU002252шт', ['48,00', '97.344'], '288,000')
('SU001340кг', ['337,00', '2.888.156'], '2_715,275')
('SU001340кг', ['38,00', '304.770'], '285,504')
('SU003333шт', ['45,00', '146.340'], '270,000')
('SU001051кг', ['41,00', '375.650'], '354,863')
('SU000227кг', ['8,00', '68.138'], '64,082')
('SU001430кг', ['11,00', '100.363'], '94,786')
('SU002092шт', ['5,00', '14.050'], '75,000')
('SU001869шт', ['13,00', '36.530'], '195,000')
('SU002841шт', ['8,00', '17.600'], '160,000')
('SU002840шт', ['15,00', '33.000'], '300,000')
('SU002368шт', ['61,00', '134.200'], '1_220,000')
('SU003167шт', ['296,00', '690.864'], '1_776,000')
('SU003168шт', ['33,00', '76.824'], '198,000')
('SU003422кг', ['14,00', '216.153'], '209,433')
('SU003423кг', ['2,00', '31.270'], '30,390')
('SU003423кг', ['13,00', '199.745'], '193,986')
('SU000251кг', ['17,00', '262.766'], '254,606')
('SU003420кг', ['40,00', '619.808'], '600,608')
('SU003432шт', ['10,00', '52.100'], '100,000')
('SU003421шт', ['7,00', '36.470'], '70,000')
('SU000126кг', ['33,00', '508.985'], '493,905')
('SU000126кг', ['51,00', '789.792'], '767,234')
('SU002027шт', ['6,00', '25.260'], '60,000')
('SU002074кг', ['2,00', '18.392'], '17,378')
('SU002538шт', ['6,00', '13.488'], '36,000')
('SU002011кг', ['4,00', '22.536'], '21,176')
('SU003786шт', ['6,00', '15.480'], '36,000')
('SU002035кг', ['4,00', '22.542'], '21,090')
('SU002151кг', ['10,00', '56.453'], '52,853')
('SU002808кг', ['14,00', '173.928'], '167,838')
('SU002805кг', ['98,00', '446.057'], '421,361')
('SU002809кг', ['117,00', '534.037'], '504,553')

ООО ЛП Тс188634-25 19.09.2025 Гулаков 599кг.pdf
('SU002829кг', ['10,00', '112.650'], '108,300')
('SU002815шт', ['3,00', '14.130'], '30,000')
('SU002814шт', ['2,00', '5.760'], '12,000')
('SU000064кг', ['2,00', '19.332'], '18,162')
('SU000664кг', ['5,00', '15.302'], '14,162')
('SU003275кг', ['2,00', '23.805'], '22,935')
('SU003387кг', ['2,00', '22.655'], '21,785')
('SU003340шт', ['2,00', '7.812'], '12,000')
('SU003392кг', ['5,00', '55.900'], '53,850')
('SU003393шт', ['1,00', '4.210'], '10,000')
('SU001820кг', ['4,00', '17.837'], '16,829')
('SU001822кг', ['12,00', '55.142'], '52,118')
('SU001340кг', ['14,00', '110.998'], '103,900')
('SU001835кг', ['4,00', '33.924'], '31,848')
('SU000251кг', ['7,00', '107.896'], '104,536')
('SU002011кг', ['2,00', '11.267'], '10,587')
('SU002035кг', ['2,00', '11.275'], '10,549')

