ООО НВ Тс190928-25 22.09.2025 Балабин 3784кг.pdf Бердянск +
('SU000722кг', ['1,00', '11.304'], '10,869')
('SU002816шт', ['2,00', '9.420'], '20,000')
('SU002928кг', ['5,00', '55.616'], '53,441')
('SU001721кг', ['4,00', '35.074'], '33,046')
('SU003512шт', ['8,00', '17.024'], '48,000')
('SU002756кг', ['10,00', '45.803'], '43,343')
('SU002847кг', ['25,00', '114.256'], '108,106')
('SU002660шт', ['6,00', '13.416'], '36,000')
('SU003829шт', ['13,00', '25.168'], '78,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['21,00', '119.824'], '114,154')
('SU002943кг', ['15,00', '85.111'], '81,061')
('SU002947кг', ['6,00', '34.315'], '32,695')
('SU002842шт', ['23,00', '60.996'], '138,000')
('SU002618шт', ['50,00', '132.000'], '300,000')
('SU002621шт', ['38,00', '100.548'], '228,000')
('SU002686шт', ['17,00', '44.880'], '102,000')
('SU002844шт', ['25,00', '66.000'], '150,000')
('SU003921шт', ['2,00', '3.960'], '30,000')
('SU003923шт', ['3,00', '3.618'], '54,000')
('SU000227кг', ['15,00', '122.894'], '115,289')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU003422кг', ['33,00', '509.093'], '493,253')
('SU003423кг', ['47,00', '730.355'], '707,795')
('SU000251кг', ['21,00', '326.131'], '316,051')
('SU003420кг', ['19,00', '293.245'], '284,125')
('SU000126кг', ['27,00', '419.699'], '406,739')
('SU002287кг', ['9,00', '85.145'], '80,582')
('SU002074кг', ['16,00', '152.426'], '142,778')
('SU002614кг', ['7,00', '39.773'], '37,883')
('SU002606шт', ['2,00', '4.472'], '12,000')
('SU002612кг', ['15,00', '86.102'], '82,052')
('SU002182кг', ['1,00', '5.605'], '5,245')
('SU002634кг', ['4,00', '21.847'], '20,407')
('SU002010кг', ['10,00', '56.625'], '53,025')
('SU002151кг', ['8,00', '45.000'], '41,784')
('SU002655кг', ['7,00', '65.725'], '62,176')

ООО НВ Тс190932-25 22.09.2025 Балабин 4937кг.pdf Донецк +
('SU002828кг', ['10,00', '111.967'], '107,617')
('SU001523кг', ['13,00', '110.972'], '104,381')
('SU001721кг', ['13,00', '112.980'], '106,389')
('SU002941кг', ['57,00', '323.024'], '307,634')
('SU002801шт', ['25,00', '64.860'], '150,000')
('SU002799шт', ['34,00', '89.556'], '204,000')
('SU003423кг', ['20,00', '307.060'], '298,285')
('SU003420кг', ['44,00', '689.460'], '668,340')
('SU000126кг', ['28,00', '435.067'], '421,739')
('SU003425кг', ['5,00', '62.528'], '60,353')
('SU002074кг', ['59,00', '541.401'], '505,824')
('SU002634кг', ['99,00', '537.440'], '503,780')
('SU002010кг', ['152,00', '855.270'], '803,590')
('SU002035кг', ['76,00', '430.185'], '402,901')
