ООО КСК ТРЕЙД Тс190915-25 22.09.2025 Кива 5724кг.pdf
('SU000722кг', ['5,00', '56.411'], '54,236')
('SU001485шт', ['20,00', '84.200'], '200,000')
('SU002829кг', ['10,00', '112.672'], '108,322')
('SU002815шт', ['20,00', '94.200'], '200,000')
('SU002814шт', ['34,00', '97.920'], '204,000')
('SU002830кг', ['10,00', '111.962'], '107,612')
('SU002816шт', ['50,00', '235.500'], '500,000')
('SU001523кг', ['7,00', '60.096'], '56,547')
('SU001718шт', ['5,00', '14.700'], '30,000')
('SU001718шт', ['45,00', '132.300'], '270,000')
('SU001721кг', ['19,00', '166.602'], '156,969')
('SU001720шт', ['67,00', '196.980'], '402,000')
('SU002367шт', ['9,00', '20.304'], '54,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002876кг', ['17,00', '77.948'], '73,766')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['28,00', '159.814'], '152,254')
('SU002943кг', ['6,00', '34.057'], '32,437')
('SU002945кг', ['57,00', '321.086'], '306,722')
('SU002947кг', ['10,00', '57.203'], '54,503')
('SU002725кг', ['12,00', '111.502'], '105,418')
('SU002842шт', ['17,00', '45.084'], '102,000')
('SU002844шт', ['17,00', '44.880'], '102,000')
('SU002759шт', ['5,00', '13.200'], '30,000')
('SU002758шт', ['5,00', '13.200'], '30,000')
('SU003271кг', ['7,00', '83.757'], '80,712')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU002801шт', ['17,00', '44.040'], '102,000')
('SU002799шт', ['42,00', '110.628'], '252,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU002252шт', ['5,00', '10.140'], '30,000')
('SU001051кг', ['3,00', '27.118'], '25,597')
('SU000227кг', ['72,00', '590.325'], '553,821')
('SU001430кг', ['3,00', '27.123'], '25,602')
('SU003167шт', ['134,00', '312.756'], '804,000')
('SU003168шт', ['50,00', '117.000'], '300,000')
('SU003422кг', ['21,00', '321.431'], '311,351')
('SU003423кг', ['14,00', '217.483'], '210,763')
('SU003420кг', ['17,00', '262.920'], '254,760')
('SU000251кг', ['7,00', '108.313'], '104,953')
('SU000126кг', ['34,00', '529.502'], '513,182')
('SU000246кг', ['5,00', '46.078'], '43,543')
('SU002287кг', ['2,00', '18.998'], '17,984')
('SU002074кг', ['4,00', '38.110'], '35,698')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['9,00', '20.124'], '54,000')
('SU002612кг', ['2,00', '11.526'], '10,986')
('SU002010кг', ['19,00', '107.613'], '100,773')
('SU002632шт', ['10,00', '50.100'], '80,000')
('SU002035кг', ['29,00', '164.615'], '154,175')
('SU002150кг', ['8,00', '45.017'], '42,137')
('SU002158кг', ['4,00', '22.500'], '21,060')
('SU002151кг', ['24,00', '135.088'], '125,440')
('SU002655кг', ['13,00', '121.485'], '114,894')

ООО КСК ТРЕЙД Тс191109-25 22.09.2025 Кива 8216кг.pdf
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['48,00', '347.040'], '480,000')
('SU003677шт', ['28,00', '38.640'], '168,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['156,00', '813.228'], '780,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003698шт', ['12,00', '86.760'], '120,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['84,00', '270.480'], '1_008,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['56,00', '180.320'], '672,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003841шт', ['24,00', '130.320'], '192,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['96,00', '598.080'], '576,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003025кг', ['14,00', '33.880'], '31,360')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

