ООО ЛП Тс200182-25 05.10.2025 Гусейнов 1329кг.pdf
('SU000722кг', ['1,00', '11.186'], '10,751')
('SU002828кг', ['2,00', '22.270'], '21,510')
('SU002830кг', ['2,00', '22.636'], '21,766')
('SU002876кг', ['10,00', '46.014'], '43,770')
('SU002941кг', ['19,00', '108.571'], '103,441')
('SU002618шт', ['4,00', '10.320'], '24,000')
('SU003387кг', ['6,00', '67.638'], '65,078')
('SU001820кг', ['5,00', '22.247'], '21,017')
('SU003167шт', ['4,00', '9.336'], '24,000')
('SU003168шт', ['4,00', '9.312'], '24,000')
('SU003422кг', ['17,00', '261.257'], '253,097')
('SU003420кг', ['20,00', '309.902'], '300,302')
('SU000126кг', ['12,00', '186.154'], '180,454')
('SU000126кг', ['8,00', '124.284'], '120,444')
('SU002613кг', ['8,00', '45.325'], '43,165')
('SU002151кг', ['10,00', '56.220'], '52,620')
('SU002808кг', ['1,00', '12.445'], '12,010')
('SU002655кг', ['6,00', '56.797'], '53,755')

ООО КСК ТРЕЙД Тс200180-25 05.10.2025 Гусейнов 16025кг.pdf
('SU000722кг', ['8,00', '89.653'], '86,173')
('SU001485шт', ['25,00', '105.250'], '250,000')
('SU002829кг', ['19,00', '213.725'], '205,460')
('SU002815шт', ['30,00', '141.300'], '300,000')
('SU002828кг', ['14,00', '157.024'], '150,934')
('SU002814шт', ['100,00', '288.000'], '600,000')
('SU002835кг', ['8,00', '66.890'], '62,066')
('SU002830кг', ['10,00', '112.908'], '108,558')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['21,00', '184.010'], '173,363')
('SU001718шт', ['134,00', '393.960'], '804,000')
('SU002928кг', ['19,00', '213.535'], '205,270')
('SU002734шт', ['30,00', '141.300'], '300,000')
('SU001721кг', ['25,00', '219.662'], '206,987')
('SU001721кг', ['8,00', '69.988'], '65,932')
('SU001720шт', ['18,00', '52.920'], '108,000')
('SU001720шт', ['149,00', '439.848'], '894,000')
('SU003336шт', ['14,00', '28.728'], '84,000')
('SU002367шт', ['10,00', '22.560'], '60,000')
('SU002983шт', ['23,00', '78.200'], '184,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
