ООО НВ ЮТс-05495-25 13.10.2025 Галкину 5855кг.pdf
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['36,00', '209.880'], '288,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU003591шт', ['126,00', '481.320'], '1_512,000')
('SU003607шт', ['98,00', '374.360'], '1_176,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['56,00', '173.600'], '672,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003601шт', ['126,00', '234.360'], '756,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['84,00', '607.320'], '840,000')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ ЮТс-05500-25 13.10.2025 Галкину 6354кг.pdf
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['56,00', '173.600'], '672,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['120,00', '867.600'], '1_200,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['168,00', '873.600'], '840,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003010кг', ['108,00', '564.840'], '540,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['42,00', '133.560'], '126,000')

