ООО НВ Тс211750-25 20.10.2025 Хапизов 5317кг.pdf Бердянск +
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003591шт', ['98,00', '374.360'], '1_176,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['42,00', '78.120'], '252,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ ЮТс-05632-25 20.10.2025 Хапизов 36кг.pdf Луганск
('SU003727шт', ['14,00', '40.040'], '168,000')

ООО НВ Тс211757-25 21.10.2025 Хапизов 6190кг.pdf Луганск
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['154,00', '495.880'], '1_848,000')
('SU003580шт', ['154,00', '495.880'], '1_848,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU002177шт', ['18,00', '38.160'], '144,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003973шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003020кг', ['108,00', '672.840'], '648,000')
('SU003012кг', ['140,00', '403.200'], '378,000')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003454кг', ['112,00', '434.560'], '414,400')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['84,00', '267.120'], '252,000')
('SU003439кг', ['112,00', '434.560'], '414,400')

