ООО КСК ТРЕЙД Тс214300-25 25.10.2025 Крамаренко 17541кг.pdf
('SU000722кг', ['10,00', '112.066'], '107,716')
('SU001485шт', ['50,00', '210.500'], '500,000')
('SU002829кг', ['19,00', '211.839'], '203,574')
('SU002815шт', ['50,00', '235.500'], '500,000')
('SU002828кг', ['19,00', '213.419'], '205,154')
('SU002814шт', ['67,00', '192.960'], '402,000')
('SU002835кг', ['3,00', '25.955'], '24,146')
('SU002830кг', ['10,00', '112.615'], '108,265')
('SU002816шт', ['80,00', '376.800'], '800,000')
('SU001523кг', ['15,00', '130.851'], '123,246')
('SU001718шт', ['150,00', '441.000'], '900,000')
('SU002928кг', ['19,00', '213.310'], '205,045')
('SU002734шт', ['80,00', '376.800'], '800,000')
('SU001721кг', ['57,00', '490.228'], '461,329')
('SU001720шт', ['117,00', '337.104'], '702,000')
('SU002367шт', ['15,00', '33.840'], '90,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['18,00', '55.008'], '144,000')
('SU002984шт', ['22,00', '63.712'], '176,000')
('SU002756кг', ['12,00', '55.248'], '52,296')
('SU002876кг', ['8,00', '36.763'], '34,795')
('SU002847кг', ['34,00', '158.184'], '149,820')
('SU002660шт', ['35,00', '78.260'], '210,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['75,00', '167.700'], '450,000')
('SU003895шт', ['9,00', '12.960'], '162,000')
('SU003893шт', ['7,00', '10.080'], '126,000')
('SU003894шт', ['12,00', '17.280'], '216,000')
('SU002941кг', ['19,00', '107.916'], '102,786')
('SU002943кг', ['13,00', '73.652'], '70,142')
('SU002945кг', ['75,00', '425.942'], '407,042')
('SU002947кг', ['13,00', '74.441'], '70,931')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['27,00', '52.434'], '162,000')
('SU002725кг', ['36,00', '325.776'], '307,524')
('SU002842шт', ['92,00', '243.984'], '552,000')
('SU002618шт', ['100,00', '264.000'], '600,000')
('SU002686шт', ['42,00', '110.880'], '252,000')
('SU002844шт', ['84,00', '221.760'], '504,000')
('SU002759шт', ['10,00', '26.400'], '60,000')
('SU002758шт', ['14,00', '36.180'], '84,000')
('SU003273кг', ['3,00', '36.355'], '35,050')
('SU003271кг', ['3,00', '35.944'], '34,639')
('SU003274шт', ['7,00', '29.470'], '70,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU002801шт', ['25,00', '66.000'], '150,000')
('SU002799шт', ['59,00', '155.406'], '354,000')
('SU002617шт', ['42,00', '93.912'], '252,000')
('SU002252шт', ['17,00', '34.476'], '102,000')
('SU001051кг', ['3,00', '25.995'], '24,474')
('SU000227кг', ['25,00', '213.537'], '200,862')
('SU001430кг', ['15,00', '139.219'], '131,614')
('SU003167шт', ['334,00', '779.556'], '2_004,000')
('SU003168шт', ['167,00', '390.780'], '1_002,000')
('SU003422кг', ['96,00', '1.431.565'], '1_385,485')
('SU003422кг', ['54,00', '849.867'], '823,947')
('SU003423кг', ['90,00', '1.392.612'], '1_349,412')
('SU000251кг', ['34,00', '523.780'], '507,460')
('SU003420кг', ['99,00', '1.562.385'], '1_514,865')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['94,00', '1.457.274'], '1_412,154')
('SU002027шт', ['2,00', '8.420'], '20,000')
('SU000246кг', ['3,00', '27.891'], '26,370')
('SU002287кг', ['3,00', '27.945'], '26,424')
('SU003425кг', ['5,00', '62.339'], '60,164')
('SU002074кг', ['3,00', '27.748'], '26,227')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003342шт', ['17,00', '24.480'], '102,000')
('SU002011кг', ['19,00', '106.497'], '99,657')
('SU002634кг', ['22,00', '120.163'], '112,243')
('SU002010кг', ['23,00', '130.155'], '121,875')
('SU002632шт', ['17,00', '85.170'], '136,000')
('SU002631шт', ['25,00', '125.250'], '200,000')
('SU002035кг', ['25,00', '141.717'], '132,717')
('SU002150кг', ['10,00', '56.518'], '52,918')
('SU002158кг', ['21,00', '117.964'], '110,404')
('SU002151кг', ['19,00', '107.045'], '100,205')
('SU002916шт', ['12,00', '60.120'], '96,000')
('SU002919шт', ['4,00', '20.040'], '32,000')
('SU002918шт', ['14,00', '70.140'], '112,000')
('SU002655кг', ['114,00', '1.072.114'], '1_014,316')

