ООО НВ Тс216300-25 27.10.2025 Савин 9865кг.pdf
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003600шт', ['112,00', '188.160'], '672,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['60,00', '433.800'], '600,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['70,00', '217.000'], '840,000')
('SU003889шт', ['98,00', '303.800'], '1_176,000')
('SU003892шт', ['84,00', '260.400'], '1_008,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['56,00', '213.920'], '560,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['168,00', '540.960'], '2_016,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003944шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['56,00', '146.720'], '672,000')
('SU003870шт', ['56,00', '146.720'], '672,000')
('SU003596шт', ['42,00', '135.240'], '504,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002177шт', ['24,00', '50.880'], '192,000')
('SU003601шт', ['70,00', '130.200'], '420,000')
('SU000197кг', ['72,00', '374.400'], '360,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003012кг', ['84,00', '241.920'], '226,800')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003454кг', ['112,00', '434.560'], '414,400')
('SU003434кг', ['72,00', '412.560'], '396,000')
('SU003448кг', ['56,00', '178.080'], '168,000')
('SU003439кг', ['154,00', '597.520'], '569,800')

