ООО КСК ТРЕЙД Тс219591-25 31.10.2025 Петин 17604кг.pdf
('SU000722кг', ['19,00', '213.316'], '205,051')
('SU001485шт', ['40,00', '168.400'], '400,000')
('SU002829кг', ['14,00', '158.434'], '152,344')
('SU002815шт', ['60,00', '282.600'], '600,000')
('SU002828кг', ['19,00', '214.300'], '206,035')
('SU002814шт', ['34,00', '97.920'], '204,000')
('SU002835кг', ['7,00', '58.549'], '54,328')
('SU002830кг', ['14,00', '156.206'], '150,116')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['31,00', '267.792'], '252,075')
('SU001718шт', ['200,00', '588.000'], '1_200,000')
('SU002734шт', ['160,00', '753.600'], '1_600,000')
('SU001721кг', ['67,00', '582.416'], '548,447')
('SU001720шт', ['100,00', '295.200'], '600,000')
('SU003336шт', ['9,00', '18.468'], '54,000')
('SU002367шт', ['17,00', '38.352'], '102,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
('SU002984шт', ['12,00', '34.752'], '96,000')
('SU002756кг', ['17,00', '77.833'], '73,831')
('SU002876кг', ['12,00', '55.389'], '52,785')
('SU002847кг', ['23,00', '106.281'], '100,563')
('SU002660шт', ['20,00', '44.720'], '120,000')
('SU002877шт', ['34,00', '76.024'], '204,000')
('SU002848шт', ['59,00', '131.924'], '354,000')
('SU003895шт', ['17,00', '24.480'], '306,000')
('SU003893шт', ['12,00', '17.280'], '216,000')
('SU003894шт', ['14,00', '20.160'], '252,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['21,00', '119.585'], '113,915')
('SU002943кг', ['13,00', '74.143'], '70,633')
('SU002945кг', ['56,00', '319.139'], '305,027')
('SU002947кг', ['12,00', '68.560'], '65,320')
('SU002944шт', ['34,00', '65.824'], '204,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['24,00', '46.464'], '144,000')
('SU002948шт', ['19,00', '36.898'], '114,000')
('SU002725кг', ['9,00', '82.675'], '78,112')
('SU002842шт', ['84,00', '222.768'], '504,000')
('SU002618шт', ['100,00', '264.000'], '600,000')
('SU002686шт', ['34,00', '89.760'], '204,000')
('SU002844шт', ['84,00', '222.768'], '504,000')
('SU002759шт', ['15,00', '39.600'], '90,000')
('SU002758шт', ['14,00', '36.960'], '84,000')
('SU003271кг', ['9,00', '107.834'], '103,919')
('SU003274шт', ['5,00', '20.900'], '50,000')
('SU003272шт', ['12,00', '50.520'], '120,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU002801шт', ['25,00', '66.000'], '150,000')
('SU002799шт', ['67,00', '176.478'], '402,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['20,00', '40.560'], '120,000')
('SU000227кг', ['50,00', '431.031'], '405,681')
('SU001430кг', ['23,00', '216.259'], '204,598')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU001869шт', ['54,00', '151.740'], '810,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU003167шт', ['417,00', '973.278'], '2_502,000')
('SU003168шт', ['184,00', '428.352'], '1_104,000')
('SU003422кг', ['1,00', '15.440'], '14,960')
('SU003422кг', ['100,00', '1.540.618'], '1_492,618')
('SU003423кг', ['67,00', '1.033.668'], '1_004,868')
('SU000251кг', ['47,00', '729.389'], '706,829')
('SU003420кг', ['128,00', '1.977.876'], '1_916,436')
('SU003421шт', ['4,00', '20.840'], '40,000')
('SU000126кг', ['67,00', '1.042.505'], '1_010,345')
('SU002027шт', ['4,00', '16.720'], '40,000')
('SU002287кг', ['4,00', '36.894'], '34,866')
('SU003425кг', ['5,00', '62.080'], '59,905')
('SU002074кг', ['3,00', '29.645'], '27,836')
('SU002614кг', ['2,00', '11.140'], '10,600')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['17,00', '38.012'], '102,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002612кг', ['2,00', '11.496'], '10,956')
('SU002604шт', ['9,00', '20.178'], '54,000')
('SU003342шт', ['17,00', '24.480'], '102,000')
('SU002011кг', ['19,00', '106.760'], '99,920')
('SU002010кг', ['48,00', '270.766'], '253,486')
('SU002632шт', ['13,00', '65.130'], '104,000')
('SU002631шт', ['25,00', '124.800'], '200,000')
('SU002035кг', ['29,00', '163.297'], '152,857')
('SU002150кг', ['10,00', '55.920'], '52,320')
('SU002158кг', ['16,00', '90.142'], '84,382')
('SU002151кг', ['14,00', '78.771'], '73,695')
('SU002916шт', ['13,00', '65.130'], '104,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['9,00', '45.090'], '72,000')
('SU002655кг', ['114,00', '1.067.729'], '1_009,931')
('SU002970кг', ['3,00', '28.075'], '26,554')

