ООО НВ ЮТс-05935-25 03.11.2025 Посников 2813кг.pdf Мелитополь +
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['56,00', '94.080'], '336,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['28,00', '123.760'], '392,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['9,00', '28.980'], '108,000')
('SU003578шт', ['5,00', '16.100'], '60,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003601шт', ['112,00', '208.320'], '672,000')
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003448кг', ['70,00', '222.600'], '210,000')

ООО НВ ЮТс-05936-25 03.11.2025 Посников 2415кг.pdf Аист +
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003600шт', ['42,00', '70.560'], '252,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU003712шт', ['14,00', '40.040'], '168,000')
('SU002268шт', ['192,00', '1.004.160'], '960,000')

ООО НВ ЮТс-05937-25 03.11.2025 Посников 5922кг.pdf Бердянск +
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003459шт', ['96,00', '694.080'], '960,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003944шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003935шт', ['60,00', '313.800'], '300,000')
('SU002268шт', ['60,00', '313.800'], '300,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

