ООО ЛП Тс224888-25 09.11.2025 Лячин 1476кг.pdf
('SU000722кг', ['6,00', '66.929'], '64,469')
('SU002829кг', ['10,00', '111.486'], '107,386')
('SU002828кг', ['5,00', '56.373'], '54,453')
('SU002830кг', ['6,00', '68.154'], '65,694')
('SU002816шт', ['5,00', '23.450'], '50,000')
('SU002847кг', ['3,00', '13.731'], '13,053')
('SU002943кг', ['8,00', '45.026'], '43,026')
('SU002945кг', ['15,00', '83.793'], '80,313')
('SU002947кг', ['8,00', '45.930'], '43,930')
('SU002843кг', ['3,00', '25.292'], '23,846')
('SU002845кг', ['4,00', '34.193'], '32,265')
('SU002842шт', ['2,00', '5.260'], '12,000')
('SU002618шт', ['2,00', '5.272'], '12,000')
('SU003391кг', ['2,00', '22.323'], '21,503')
('SU001820кг', ['3,00', '13.218'], '12,522')
('SU000227кг', ['4,00', '34.279'], '32,351')
('SU003167шт', ['3,00', '6.972'], '18,000')
('SU003168шт', ['3,00', '6.954'], '18,000')
('SU003420кг', ['17,00', '262.444'], '254,454')
('SU000126кг', ['14,00', '219.357'], '212,777')
('SU002614кг', ['4,00', '22.458'], '21,458')
('SU002011кг', ['12,00', '67.736'], '63,572')
('SU002035кг', ['6,00', '33.737'], '31,739')
('SU002158кг', ['7,00', '39.598'], '37,148')
('SU002151кг', ['12,00', '67.724'], '63,524')
('SU002655кг', ['18,00', '161.468'], '152,792')

ООО КСК ТРЕЙД Тс224891-25 09.11.2025 Лячин 16216кг.pdf
('SU001485шт', ['36,00', '150.840'], '360,000')
('SU002829кг', ['34,00', '379.905'], '365,965')
('SU002815шт', ['70,00', '328.300'], '700,000')
('SU002828кг', ['34,00', '377.986'], '364,046')
('SU002814шт', ['100,00', '287.000'], '600,000')
('SU002835кг', ['12,00', '103.195'], '96,034')
('SU002830кг', ['10,00', '113.008'], '108,908')
('SU002816шт', ['59,00', '276.710'], '590,000')
('SU002816шт', ['21,00', '98.490'], '210,000')
('SU001523кг', ['31,00', '270.105'], '255,163')
('SU001523кг', ['27,00', '232.476'], '219,462')
('SU001718шт', ['117,00', '342.810'], '702,000')
('SU002734шт', ['140,00', '656.600'], '1_400,000')
('SU001721кг', ['59,00', '503.713'], '475,275')
('SU001720шт', ['167,00', '489.310'], '1_002,000')
('SU003336шт', ['9,00', '18.378'], '54,000')
('SU002367шт', ['9,00', '20.214'], '54,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['20,00', '61.120'], '160,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['17,00', '77.854'], '74,012')
('SU002876кг', ['10,00', '45.724'], '43,404')
('SU002847кг', ['27,00', '123.360'], '117,258')
('SU002660шт', ['84,00', '187.824'], '504,000')
('SU002877шт', ['67,00', '149.812'], '402,000')
('SU002848шт', ['117,00', '261.612'], '702,000')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['12,00', '17.280'], '216,000')
('SU003896шт', ['9,00', '12.960'], '162,000')
('SU002941кг', ['41,00', '232.978'], '222,728')
('SU002943кг', ['10,00', '56.386'], '53,886')
('SU002945кг', ['149,00', '841.351'], '806,783')
('SU002947кг', ['26,00', '148.519'], '141,499')
('SU002944шт', ['84,00', '162.624'], '504,000')
('SU002942шт', ['50,00', '96.800'], '300,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['13,00', '117.554'], '111,288')
('SU002842шт', ['150,00', '394.500'], '900,000')
('SU002618шт', ['267,00', '703.812'], '1_602,000')
('SU002686шт', ['67,00', '176.210'], '402,000')
('SU002844шт', ['117,00', '307.710'], '702,000')
('SU002759шт', ['9,00', '23.670'], '54,000')
('SU002758шт', ['12,00', '31.560'], '72,000')
('SU003271кг', ['4,00', '47.322'], '45,682')
('SU003274шт', ['4,00', '16.760'], '40,000')
('SU003272шт', ['18,00', '75.420'], '180,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU002801шт', ['47,00', '123.610'], '282,000')
('SU002799шт', ['67,00', '176.210'], '402,000')
('SU002617шт', ['34,00', '76.024'], '204,000')
('SU002252шт', ['22,00', '44.396'], '132,000')
('SU001051кг', ['4,00', '36.707'], '34,779')
('SU000227кг', ['25,00', '212.970'], '200,920')
('SU001430кг', ['52,00', '481.734'], '456,670')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU003167шт', ['113,00', '262.612'], '678,000')
('SU003167шт', ['221,00', '510.406'], '1_326,000')
('SU003168шт', ['250,00', '579.500'], '1_500,000')
('SU003422кг', ['54,00', '841.181'], '815,801')
('SU003423кг', ['20,00', '307.354'], '298,954')
('SU003420кг', ['34,00', '524.446'], '508,466')
('SU000251кг', ['40,00', '621.481'], '602,681')
('SU003421шт', ['7,00', '36.330'], '70,000')
('SU002027шт', ['5,00', '20.950'], '50,000')
('SU002287кг', ['5,00', '44.860'], '42,450')
('SU003425кг', ['7,00', '87.238'], '84,368')
('SU002074кг', ['3,00', '27.570'], '26,124')
('SU002604шт', ['9,00', '20.178'], '54,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002011кг', ['19,00', '106.956'], '100,306')
('SU002634кг', ['20,00', '108.740'], '102,140')
('SU002010кг', ['48,00', '271.358'], '254,558')
('SU002632шт', ['25,00', '124.750'], '200,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['29,00', '164.232'], '154,082')
('SU002150кг', ['12,00', '67.700'], '63,500')
('SU002158кг', ['29,00', '163.275'], '153,125')
('SU002151кг', ['32,00', '179.239'], '166,887')
('SU002916шт', ['8,00', '39.920'], '64,000')
('SU002919шт', ['10,00', '49.900'], '80,000')
('SU002918шт', ['22,00', '109.780'], '176,000')
('SU002655кг', ['125,00', '1.149.783'], '1_089,533')

