ООО НВ ЮТс-05994-25 10.11.2025 Ковалевич 2339кг.pdf Донецк +
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['24,00', '125.520'], '120,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

ООО НВ ЮТс-05999-25 10.11.2025 Ковалевич 3473кг.pdf Бердянск +
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ ЮТс-05991-25 10.11.2025 NO NAME 7266кг.pdf Горняк +
('SU003797шт', ['89,00', '286.580'], '1_068,000')
('SU003797шт', ['37,00', '119.140'], '444,000')
('SU003020кг', ['180,00', '1.121.400'], '1_080,000')
('SU003454кг', ['420,00', '1.629.600'], '1_554,000')
('SU003434кг', ['168,00', '962.640'], '924,000')
('SU003448кг', ['126,00', '400.680'], '378,000')
('SU003439кг', ['756,00', '2.933.280'], '2_797,200')
('SU003442кг', ['42,00', '162.960'], '155,400')
