ООО КСК ТРЕЙД Тс229372-25 15.11.2025 Мироненко 17737кг.pdf
('SU000722кг', ['10,00', '112.331'], '108,231')
('SU001485шт', ['50,00', '209.500'], '500,000')
('SU002829кг', ['19,00', '212.167'], '204,377')
('SU002815шт', ['60,00', '281.400'], '600,000')
('SU002828кг', ['19,00', '213.962'], '206,172')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002835кг', ['5,00', '39.650'], '36,760')
('SU002830кг', ['10,00', '113.310'], '109,210')
('SU002816шт', ['80,00', '375.200'], '800,000')
('SU001523кг', ['28,00', '240.546'], '227,050')
('SU001718шт', ['150,00', '439.500'], '900,000')
('SU002928кг', ['5,00', '56.272'], '54,222')
('SU002734шт', ['120,00', '562.800'], '1_200,000')
('SU001721кг', ['50,00', '433.341'], '409,241')
('SU001720шт', ['134,00', '392.620'], '804,000')
('SU003336шт', ['10,00', '20.420'], '60,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002876кг', ['8,00', '36.400'], '34,574')
('SU002847кг', ['23,00', '105.072'], '99,742')
('SU002660шт', ['17,00', '38.012'], '102,000')
('SU002877шт', ['34,00', '76.024'], '204,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003895шт', ['6,00', '8.640'], '108,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU003894шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['23,00', '129.639'], '123,889')
('SU002943кг', ['10,00', '56.566'], '54,066')
('SU002945кг', ['93,00', '527.269'], '505,693')
('SU002947кг', ['12,00', '69.100'], '66,100')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['20,00', '38.720'], '120,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['17,00', '33.014'], '102,000')
('SU002725кг', ['13,00', '117.378'], '111,112')
('SU002842шт', ['117,00', '309.114'], '702,000')
('SU002618шт', ['84,00', '221.424'], '504,000')
('SU002686шт', ['17,00', '44.710'], '102,000')
('SU002844шт', ['100,00', '264.200'], '600,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU002758шт', ['12,00', '31.560'], '72,000')
('SU003271кг', ['7,00', '83.637'], '80,767')
('SU003274шт', ['6,00', '25.140'], '60,000')
('SU003272шт', ['5,00', '20.950'], '50,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU002801шт', ['17,00', '43.690'], '102,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['12,00', '24.216'], '72,000')
('SU000227кг', ['52,00', '437.968'], '412,904')
('SU001430кг', ['34,00', '306.066'], '289,678')
('SU003167шт', ['484,00', '1.124.816'], '2_904,000')
('SU003168шт', ['50,00', '115.900'], '300,000')
('SU003422кг', ['120,00', '1.862.378'], '1_805,978')
('SU003423кг', ['80,00', '1.236.612'], '1_199,012')
('SU003420кг', ['119,00', '1.857.295'], '1_801,365')
('SU000251кг', ['40,00', '617.658'], '598,858')
('SU000126кг', ['108,00', '1.670.374'], '1_619,614')
('SU000246кг', ['3,00', '27.993'], '26,547')
('SU002287кг', ['6,00', '55.449'], '52,557')
('SU003425кг', ['4,00', '49.677'], '48,037')
('SU002614кг', ['2,00', '11.299'], '10,799')
('SU002538шт', ['12,00', '26.976'], '72,000')
('SU002602шт', ['10,00', '22.360'], '60,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU003342шт', ['25,00', '35.750'], '150,000')
('SU002011кг', ['16,00', '89.971'], '84,371')
('SU002634кг', ['20,00', '107.284'], '100,284')
('SU002010кг', ['29,00', '162.466'], '152,896')
('SU002632шт', ['17,00', '84.830'], '136,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['24,00', '134.289'], '125,889')
('SU002150кг', ['8,00', '44.980'], '42,180')
('SU002158кг', ['16,00', '89.965'], '84,329')
('SU002151кг', ['19,00', '106.948'], '99,614')
('SU002916шт', ['10,00', '49.900'], '80,000')
('SU002919шт', ['3,00', '14.970'], '24,000')
('SU002918шт', ['15,00', '74.850'], '120,000')
('SU002655кг', ['119,00', '1.072.788'], '1_015,430')

