ООО НВ Тс231365-25 18.11.2025 Ильин 6660кг.pdf
('SU003598шт', ['98,00', '164.640'], '588,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003944шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['28,00', '90.160'], '336,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003971шт', ['24,00', '178.320'], '192,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['84,00', '325.920'], '310,800')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс231206-25 18.11.2025 Ильин 4412кг.pdf
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU002573шт', ['42,00', '98.280'], '1_008,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['72,00', '477.360'], '1_152,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['72,00', '376.560'], '360,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

