ООО НВ Тс236347-25 24.11.2025 Решетников 2288кг.pdf Мелитополь +
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003944шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003800шт', ['1,00', '3.220'], '12,000')
('SU003800шт', ['13,00', '41.860'], '156,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003935шт', ['12,00', '62.760'], '60,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ Тс236387-25 24.11.2025 Решетников 3643кг.pdf Донецк +
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU003580шт', ['29,00', '93.380'], '348,000')
('SU003580шт', ['27,00', '86.940'], '324,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['42,00', '78.120'], '252,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003935шт', ['72,00', '376.560'], '360,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003010кг', ['12,00', '62.760'], '60,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

ООО НВ Тс236340-25 24.11.2025 Решетников 4612кг.pdf Аист +
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['56,00', '94.080'], '336,000')
('SU003385шт', ['36,00', '260.280'], '360,000')
('SU003691шт', ['12,00', '43.680'], '96,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU003591шт', ['112,00', '427.840'], '1_344,000')
('SU003607шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003613шт', ['42,00', '160.440'], '420,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003944шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['28,00', '90.160'], '336,000')
('SU002177шт', ['24,00', '50.880'], '192,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003712шт', ['14,00', '40.040'], '168,000')
('SU002268шт', ['132,00', '690.360'], '660,000')

