ООО НВ Тс241278-25 01.12.2025 Голубев 4313кг.pdf
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['36,00', '209.880'], '288,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['28,00', '90.160'], '336,000')
('SU003944шт', ['14,00', '45.080'], '168,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['28,00', '90.160'], '336,000')
('SU003800шт', ['168,00', '540.960'], '2_016,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU003930шт', ['42,00', '125.160'], '504,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003448кг', ['42,00', '133.560'], '126,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс241286-25 01.12.2025 Голубев 5919кг.pdf
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['36,00', '209.880'], '288,000')
('SU003827шт', ['36,00', '209.880'], '288,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['56,00', '173.600'], '672,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['56,00', '131.040'], '1_344,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003944шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003601шт', ['196,00', '364.560'], '1_176,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['14,00', '41.720'], '168,000')
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003971шт', ['12,00', '89.160'], '96,000')
('SU003935шт', ['144,00', '753.120'], '720,000')
('SU004012шт', ['14,00', '36.680'], '168,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['84,00', '325.920'], '310,800')
('SU003434кг', ['48,00', '275.040'], '264,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

