ООО КСК ТРЕЙД Тс245223-25 06.12.2025 Матлаш 17727кг.pdf
('SU000722кг', ['19,00', '212.148'], '204,358')
('SU001485шт', ['80,00', '335.200'], '800,000')
('SU002829кг', ['15,00', '164.785'], '158,635')
('SU002815шт', ['80,00', '375.200'], '800,000')
('SU002828кг', ['19,00', '214.442'], '206,652')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002835кг', ['3,00', '26.376'], '24,642')
('SU002830кг', ['12,00', '134.798'], '129,878')
('SU002816шт', ['110,00', '515.900'], '1_100,000')
('SU001523кг', ['38,00', '325.050'], '306,734')
('SU001718шт', ['150,00', '439.500'], '900,000')
('SU002928кг', ['5,00', '54.832'], '52,782')
('SU002734шт', ['100,00', '469.000'], '1_000,000')
('SU001721кг', ['40,00', '343.808'], '324,528')
('SU001720шт', ['117,00', '339.300'], '702,000')
('SU003336шт', ['20,00', '40.840'], '120,000')
('SU002367шт', ['9,00', '20.214'], '54,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['20,00', '61.120'], '160,000')
('SU002984шт', ['20,00', '57.920'], '160,000')
('SU002756кг', ['12,00', '54.402'], '51,690')
('SU002876кг', ['10,00', '45.526'], '43,266')
('SU002847кг', ['35,00', '159.230'], '151,320')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['59,00', '131.924'], '354,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['9,00', '12.960'], '162,000')
('SU003893шт', ['9,00', '12.960'], '162,000')
('SU003894шт', ['14,00', '20.160'], '252,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['21,00', '119.698'], '114,448')
('SU002943кг', ['10,00', '56.877'], '54,377')
('SU002945кг', ['84,00', '473.994'], '454,506')
('SU002947кг', ['10,00', '56.073'], '53,573')
('SU002944шт', ['67,00', '129.712'], '402,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['25,00', '48.550'], '150,000')
('SU002725кг', ['18,00', '161.720'], '153,044')
('SU002842шт', ['100,00', '263.000'], '600,000')
('SU002618шт', ['100,00', '263.000'], '600,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['84,00', '221.928'], '504,000')
('SU002759шт', ['10,00', '25.700'], '60,000')
('SU002758шт', ['10,00', '26.300'], '60,000')
('SU003273кг', ['3,00', '35.974'], '34,744')
('SU003271кг', ['6,00', '71.529'], '69,069')
('SU003274шт', ['5,00', '20.950'], '50,000')
('SU003272шт', ['15,00', '62.850'], '150,000')
('SU003921шт', ['10,00', '19.800'], '150,000')
('SU003920шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU002801шт', ['50,00', '131.500'], '300,000')
('SU002799шт', ['67,00', '175.808'], '402,000')
('SU003942шт', ['4,00', '10.424'], '24,000')
('SU002617шт', ['67,00', '149.812'], '402,000')
('SU002252шт', ['14,00', '28.252'], '84,000')
('SU001051кг', ['4,00', '33.763'], '31,835')
('SU000227кг', ['56,00', '480.698'], '453,706')
('SU001430кг', ['35,00', '319.304'], '302,434')
('SU003167шт', ['367,00', '852.908'], '2_202,000')
('SU003168шт', ['200,00', '466.000'], '1_200,000')
('SU003422кг', ['77,00', '1.194.627'], '1_158,437')
('SU003423кг', ['69,00', '1.063.973'], '1_031,543')
('SU003423кг', ['5,00', '76.452'], '74,102')
('SU003420кг', ['48,00', '723.632'], '701,072')
('SU003420кг', ['48,00', '743.044'], '720,484')
('SU000251кг', ['34,00', '523.719'], '507,739')
('SU000126кг', ['99,00', '1.546.757'], '1_500,227')
('SU000246кг', ['3,00', '27.187'], '25,741')
('SU002287кг', ['6,00', '57.744'], '54,852')
('SU003425кг', ['5,00', '62.281'], '60,231')
('SU002074кг', ['3,00', '27.637'], '26,191')
('SU002613кг', ['2,00', '11.251'], '10,751')
('SU002538шт', ['10,00', '22.480'], '60,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003342шт', ['25,00', '35.750'], '150,000')
('SU002011кг', ['10,00', '56.189'], '52,689')
('SU002634кг', ['20,00', '109.058'], '102,058')
('SU002010кг', ['23,00', '129.787'], '122,077')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['23,00', '129.245'], '121,195')
('SU002150кг', ['10,00', '56.306'], '53,006')
('SU002158кг', ['23,00', '129.689'], '121,639')
('SU002151кг', ['24,00', '134.646'], '126,246')
('SU002916шт', ['9,00', '44.910'], '72,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002655кг', ['138,00', '1.275.549'], '1_209,033')

