ООО НВ ЮТс-06663-25 06.12.2025 Медведь 8859кг.pdf
('SU003598шт', ['210,00', '352.800'], '1_260,000')
('SU003600шт', ['210,00', '352.800'], '1_260,000')
('SU003532шт', ['112,00', '809.760'], '1_120,000')
('SU003385шт', ['112,00', '809.760'], '1_120,000')
('SU003529шт', ['112,00', '809.760'], '1_120,000')
('SU003677шт', ['140,00', '193.200'], '840,000')
('SU003593шт', ['140,00', '534.800'], '1_680,000')
('SU003591шт', ['210,00', '802.200'], '2_520,000')
('SU003607шт', ['140,00', '534.800'], '1_680,000')
('SU003887шт', ['70,00', '217.000'], '840,000')
('SU003889шт', ['140,00', '434.000'], '1_680,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['210,00', '651.000'], '2_520,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003944шт', ['140,00', '450.800'], '1_680,000')
('SU003576шт', ['140,00', '450.800'], '1_680,000')
('SU003596шт', ['70,00', '225.400'], '840,000')
('SU002177шт', ['72,00', '152.640'], '576,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU003020кг', ['84,00', '523.320'], '504,000')

