ООО ЛП Тс244879-25 07.12.2025 Муждабаев 564кг.pdf
('SU000722кг', ['2,00', '22.195'], '21,375')
('SU002815шт', ['10,00', '46.900'], '100,000')
('SU001720шт', ['4,00', '11.768'], '24,000')
('SU002943кг', ['5,00', '28.279'], '27,029')
('SU002845кг', ['4,00', '34.119'], '32,191')
('SU003391кг', ['1,00', '11.185'], '10,775')
('SU003387кг', ['2,00', '22.485'], '21,665')
('SU001820кг', ['3,00', '13.158'], '12,462')
('SU000126кг', ['8,00', '123.851'], '120,339')
('SU002614кг', ['2,00', '11.223'], '10,723')
('SU002011кг', ['3,00', '17.024'], '15,974')
('SU002634кг', ['10,00', '54.040'], '50,740')
('SU002010кг', ['16,00', '89.790'], '84,510')
('SU002035кг', ['9,00', '50.781'], '47,631')
('SU002655кг', ['6,00', '56.035'], '53,143')

ООО КСК ТРЕЙД Тс245225-25 07.12.2025 Муждабаев 16993кг.pdf
('SU000722кг', ['10,00', '110.808'], '106,708')
('SU001485шт', ['60,00', '251.400'], '600,000')
('SU002829кг', ['14,00', '158.210'], '152,470')
('SU002815шт', ['60,00', '281.400'], '600,000')
('SU002828кг', ['19,00', '211.714'], '203,924')
('SU002814шт', ['100,00', '287.000'], '600,000')
('SU002835кг', ['3,00', '25.772'], '24,038')
('SU002830кг', ['10,00', '112.799'], '108,699')
('SU002816шт', ['90,00', '423.060'], '900,000')
('SU001523кг', ['44,00', '378.801'], '357,593')
('SU001523кг', ['18,00', '153.748'], '145,072')
('SU001718шт', ['184,00', '539.120'], '1_104,000')
('SU002734шт', ['30,00', '140.700'], '300,000')
('SU001721кг', ['38,00', '325.162'], '306,846')
('SU001720шт', ['117,00', '344.214'], '702,000')
('SU003336шт', ['10,00', '20.420'], '60,000')
('SU002983шт', ['28,00', '95.200'], '224,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['15,00', '67.920'], '64,530')
('SU002876кг', ['8,00', '36.325'], '34,517')
('SU002847кг', ['15,00', '68.634'], '65,244')
('SU002660шт', ['100,00', '223.600'], '600,000')
('SU002877шт', ['67,00', '149.812'], '402,000')
