ООО ЛП Тс249180-25 13.12.2025 Бауков 8376кг.pdf
('SU000722кг', ['10,00', '113.421'], '109,321')
('SU001485шт', ['45,00', '188.550'], '450,000')
('SU002829кг', ['18,00', '201.188'], '193,808')
('SU002815шт', ['70,00', '328.300'], '700,000')
('SU002828кг', ['12,00', '134.700'], '129,780')
('SU002814шт', ['39,00', '111.930'], '234,000')
('SU002830кг', ['11,00', '122.246'], '117,736')
('SU002816шт', ['45,00', '211.050'], '450,000')
('SU001523кг', ['15,00', '87.436'], '81,466')
('SU001718шт', ['42,00', '123.060'], '252,000')
('SU002769шт', ['34,00', '75.140'], '204,000')
('SU002928кг', ['6,00', '66.414'], '63,954')
('SU002733шт', ['22,00', '86.680'], '220,000')
('SU002734шт', ['16,00', '75.040'], '160,000')
('SU003037шт', ['5,00', '12.500'], '40,000')
('SU001721кг', ['10,00', '86.342'], '81,522')
('SU002139шт', ['50,00', '110.500'], '300,000')
('SU001720шт', ['30,00', '87.900'], '180,000')
('SU002983шт', ['17,00', '57.800'], '136,000')
('SU002985шт', ['17,00', '51.952'], '136,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002312шт', ['30,00', '125.700'], '300,000')
('SU000064кг', ['6,00', '22.066'], '20,566')
('SU002847кг', ['22,00', '100.565'], '95,593')
('SU002660шт', ['40,00', '89.440'], '240,000')
('SU002877шт', ['34,00', '76.024'], '204,000')
('SU002848шт', ['64,00', '143.104'], '384,000')
('SU003895шт', ['5,00', '7.200'], '90,000')
('SU003893шт', ['9,00', '12.960'], '162,000')
('SU003894шт', ['8,00', '11.520'], '144,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['4,00', '22.777'], '21,777')
('SU002945кг', ['26,00', '147.000'], '140,968')
('SU002944шт', ['49,00', '94.864'], '294,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002948шт', ['14,00', '27.188'], '84,000')
('SU002842шт', ['49,00', '128.870'], '294,000')
('SU002618шт', ['82,00', '215.660'], '492,000')
('SU002621шт', ['75,00', '197.250'], '450,000')
('SU002844шт', ['42,00', '110.964'], '252,000')
('SU002758шт', ['10,00', '26.300'], '60,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003922шт', ['3,00', '3.618'], '54,000')
('SU003920шт', ['2,00', '3.960'], '30,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU003924шт', ['2,00', '2.412'], '36,000')
('SU003923шт', ['3,00', '3.618'], '54,000')
('SU003389кг', ['5,00', '56.235'], '54,310')
('SU003387кг', ['14,00', '157.966'], '152,226')
('SU002801шт', ['7,00', '18.410'], '42,000')
('SU002799шт', ['9,00', '23.616'], '54,000')
('SU003394кг', ['8,00', '88.917'], '85,637')
('SU003396кг', ['9,00', '100.225'], '96,535')
('SU003392кг', ['27,00', '304.690'], '293,620')
('SU003395шт', ['6,00', '25.500'], '60,000')
('SU003393шт', ['7,00', '29.630'], '70,000')
('SU001820кг', ['23,00', '100.661'], '95,463')
('SU001822кг', ['12,00', '55.026'], '52,314')
('SU002579шт', ['10,00', '22.360'], '60,000')
('SU002617шт', ['22,00', '49.192'], '132,000')
('SU002252шт', ['39,00', '78.702'], '234,000')
('SU001340кг', ['67,00', '537.028'], '504,734')
('SU003333шт', ['40,00', '129.680'], '240,000')
('SU001051кг', ['11,00', '93.434'], '88,132')
('SU000227кг', ['13,00', '111.831'], '105,565')
('SU001430кг', ['11,00', '102.988'], '97,686')
('SU001921кг', ['4,00', '12.015'], '11,087')
('SU001920кг', ['2,00', '6.465'], '5,969')
('SU002092шт', ['5,00', '14.050'], '75,000')
('SU001869шт', ['8,00', '22.480'], '120,000')
('SU002841шт', ['11,00', '24.200'], '220,000')
('SU002840шт', ['8,00', '17.600'], '160,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['144,00', '327.456'], '864,000')
('SU003168шт', ['45,00', '104.310'], '270,000')
('SU003422кг', ['14,00', '216.561'], '209,981')
('SU003423кг', ['24,00', '372.140'], '360,860')
('SU000251кг', ['45,00', '688.406'], '667,256')
('SU003432шт', ['5,00', '25.950'], '50,000')
('SU003421шт', ['7,00', '36.330'], '70,000')
('SU000126кг', ['34,00', '531.453'], '515,483')
('SU002027шт', ['3,00', '12.570'], '30,000')
('SU002074кг', ['7,00', '67.891'], '64,517')
('SU002205шт', ['27,00', '71.010'], '162,000')
('SU002538шт', ['2,00', '4.496'], '12,000')
('SU002010кг', ['3,00', '16.780'], '15,820')
('SU002632шт', ['2,00', '9.980'], '16,000')
('SU003786шт', ['2,00', '5.140'], '12,000')
('SU002150кг', ['3,00', '16.910'], '15,950')
('SU002158кг', ['2,00', '11.259'], '10,559')
('SU002151кг', ['8,00', '44.915'], '42,115')
('SU002916шт', ['2,00', '9.980'], '16,000')
('SU002919шт', ['2,00', '9.980'], '16,000')
('SU002918шт', ['2,00', '9.980'], '16,000')
('SU002809кг', ['4,00', '18.202'], '17,298')

