ООО НВ Тс250328-25 15.12.2025 Голубев 1260кг.pdf Луганск +
('SU000722кг', ['23,00', '261.013'], '251,583')
('SU002618шт', ['84,00', '220.920'], '504,000')
('SU002621шт', ['84,00', '220.920'], '504,000')
('SU002074кг', ['70,00', '639.870'], '606,130')

ООО ЛП Тс251519-25 15.12.2025 Голубев 3627кг.pdf ПРС +
('SU003665шт', ['50,00', '101.500'], '300,000')
('SU001485шт', ['35,00', '146.650'], '350,000')
('SU003313шт', ['59,00', '120.478'], '354,000')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002825шт', ['50,00', '101.800'], '300,000')
('SU003288шт', ['50,00', '101.500'], '300,000')
('SU002834шт', ['50,00', '134.300'], '300,000')
('SU003336шт', ['59,00', '120.478'], '354,000')
('SU002367шт', ['34,00', '76.364'], '204,000')
('SU002618шт', ['34,00', '89.420'], '204,000')
('SU002621шт', ['59,00', '155.170'], '354,000')
('SU003274шт', ['30,00', '125.700'], '300,000')
('SU003272шт', ['30,00', '125.700'], '300,000')
('SU003388шт', ['30,00', '125.700'], '300,000')
('SU002801шт', ['50,00', '131.500'], '300,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU003340шт', ['59,00', '229.274'], '354,000')
('SU003393шт', ['30,00', '125.700'], '300,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['50,00', '100.900'], '300,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['50,00', '115.900'], '300,000')
('SU003168шт', ['59,00', '136.762'], '354,000')
('SU003421шт', ['35,00', '181.650'], '350,000')
('SU002027шт', ['30,00', '125.700'], '300,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '111.800'], '300,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002603шт', ['34,00', '76.024'], '204,000')
('SU002285шт', ['50,00', '131.300'], '200,000')
('SU002557шт', ['34,00', '75.344'], '204,000')
('SU002631шт', ['44,00', '219.560'], '352,000')

ООО НВ Тс250314-25 15.12.2025 Голубев 12308кг.pdf Донецк +
('SU002829кг', ['24,00', '267.396'], '257,136')
('SU002831шт', ['10,00', '41.900'], '100,000')
('SU002828кг', ['2,00', '22.330'], '21,510')
('SU002835кг', ['5,00', '42.212'], '39,862')
('SU002830кг', ['27,00', '301.156'], '289,936')
('SU002816шт', ['4,00', '18.760'], '40,000')
('SU001523кг', ['33,00', '194.658'], '181,524')
('SU001718шт', ['198,00', '580.140'], '1_188,000')
('SU002833кг', ['1,00', '11.245'], '10,835')
('SU002735шт', ['7,00', '17.990'], '42,000')
('SU001721кг', ['120,00', '1.035.024'], '977,184')
('SU001720шт', ['271,00', '794.030'], '1_626,000')
('SU002756кг', ['12,00', '54.740'], '52,208')
('SU002660шт', ['33,00', '73.788'], '198,000')
('SU002848шт', ['64,00', '143.104'], '384,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU003894шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['121,00', '682.675'], '652,425')
('SU002947кг', ['25,00', '142.446'], '136,196')
('SU002944шт', ['27,00', '52.272'], '162,000')
('SU002942шт', ['3,00', '5.808'], '18,000')
('SU002948шт', ['4,00', '7.768'], '24,000')
('SU002843кг', ['5,00', '42.251'], '39,841')
('SU002842шт', ['73,00', '191.990'], '438,000')
('SU002618шт', ['159,00', '418.170'], '954,000')
('SU002621шт', ['10,00', '26.300'], '60,000')
('SU002686шт', ['15,00', '39.450'], '90,000')
('SU002844шт', ['65,00', '169.462'], '390,000')
('SU002759шт', ['7,00', '18.410'], '42,000')
('SU002758шт', ['4,00', '10.520'], '24,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU002799шт', ['38,00', '99.712'], '228,000')
('SU000227кг', ['57,00', '480.624'], '453,150')
('SU002092шт', ['1,00', '2.810'], '15,000')
('SU001869шт', ['13,00', '36.530'], '195,000')
('SU002840шт', ['3,00', '6.600'], '60,000')
('SU003422кг', ['64,00', '986.874'], '956,794')
('SU000251кг', ['107,00', '1.655.517'], '1_605,227')
('SU002074кг', ['22,00', '200.577'], '189,973')
('SU002074кг', ['377,00', '3.406.922'], '3_191,176')
('SU002205шт', ['24,00', '63.120'], '144,000')
('SU002614кг', ['3,00', '16.891'], '16,141')
('SU002634кг', ['69,00', '373.900'], '352,510')
('SU002632шт', ['16,00', '79.840'], '128,000')
('SU002631шт', ['23,00', '114.770'], '184,000')
('SU002643шт', ['19,00', '94.810'], '152,000')

