ООО КСК ТРЕЙД Тс252794-25 22.12.2025 Ерохов 17756кг.pdf
('SU000722кг', ['19,00', '213.330'], '205,540')
('SU001485шт', ['100,00', '419.000'], '1_000,000')
('SU002829кг', ['28,00', '312.291'], '300,811')
('SU002815шт', ['100,00', '469.000'], '1_000,000')
('SU002828кг', ['29,00', '322.137'], '310,247')
('SU002814шт', ['67,00', '192.290'], '402,000')
('SU002830кг', ['28,00', '315.736'], '304,256')
('SU002816шт', ['61,00', '286.090'], '610,000')
('SU002816шт', ['39,00', '182.910'], '390,000')
('SU001523кг', ['44,00', '377.102'], '355,894')
('SU001718шт', ['200,00', '586.000'], '1_200,000')
('SU002928кг', ['5,00', '55.588'], '53,538')
('SU002734шт', ['100,00', '469.000'], '1_000,000')
('SU001721кг', ['62,00', '536.212'], '506,328')
('SU001720шт', ['150,00', '439.500'], '900,000')
('SU003336шт', ['14,00', '28.588'], '84,000')
('SU002367шт', ['9,00', '20.214'], '54,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002756кг', ['17,00', '77.527'], '73,685')
('SU002876кг', ['15,00', '68.791'], '65,401')
('SU002847кг', ['28,00', '127.328'], '122,008')
('SU002660шт', ['42,00', '93.912'], '252,000')
('SU002877шт', ['67,00', '149.812'], '402,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003895шт', ['7,00', '10.080'], '126,000')
('SU003893шт', ['12,00', '17.280'], '216,000')
('SU003894шт', ['14,00', '20.160'], '252,000')
('SU003896шт', ['3,00', '4.320'], '54,000')
('SU002941кг', ['25,00', '143.120'], '136,870')
('SU002943кг', ['10,00', '56.702'], '54,202')
('SU002945кг', ['75,00', '425.438'], '408,038')
('SU002947кг', ['15,00', '85.298'], '81,548')
('SU002944шт', ['58,00', '112.288'], '348,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['6,00', '52.998'], '50,538')
('SU002842шт', ['117,00', '307.710'], '702,000')
('SU002618шт', ['134,00', '352.420'], '804,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['100,00', '264.200'], '600,000')
('SU002759шт', ['12,00', '31.560'], '72,000')
('SU002758шт', ['12,00', '31.560'], '72,000')
('SU003273кг', ['2,00', '23.861'], '23,041')
('SU003271кг', ['6,00', '71.755'], '69,295')
('SU003274шт', ['8,00', '33.520'], '80,000')
('SU003272шт', ['13,00', '54.470'], '130,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU002801шт', ['34,00', '89.420'], '204,000')
('SU002799шт', ['50,00', '131.200'], '300,000')
('SU002617шт', ['100,00', '223.600'], '600,000')
('SU002252шт', ['17,00', '34.306'], '102,000')
('SU001051кг', ['3,00', '25.483'], '24,037')
('SU000227кг', ['38,00', '323.102'], '304,786')
('SU001430кг', ['23,00', '212.116'], '201,030')
('SU003167шт', ['317,00', '733.062'], '1_902,000')
('SU003168шт', ['317,00', '734.806'], '1_902,000')
('SU003422кг', ['95,00', '1.464.406'], '1_419,756')
('SU003420кг', ['94,00', '1.456.701'], '1_412,521')
('SU000251кг', ['27,00', '417.530'], '404,840')
('SU000126кг', ['95,00', '1.468.109'], '1_423,459')
('SU000246кг', ['3,00', '28.212'], '26,802')
('SU002287кг', ['5,00', '47.157'], '44,747')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002604шт', ['7,00', '15.694'], '42,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002011кг', ['19,00', '107.142'], '100,492')
('SU002634кг', ['28,00', '152.813'], '143,013')
('SU002010кг', ['19,00', '107.369'], '100,719')
('SU002632шт', ['25,00', '124.750'], '200,000')
('SU002631шт', ['38,00', '189.620'], '304,000')
('SU002035кг', ['19,00', '107.105'], '100,455')
('SU002150кг', ['6,00', '33.629'], '31,649')
('SU002158кг', ['19,00', '107.153'], '100,503')
('SU002151кг', ['19,00', '106.963'], '100,313')
('SU002916шт', ['10,00', '49.900'], '80,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['19,00', '94.810'], '152,000')
('SU002655кг', ['144,00', '1.380.839'], '1_311,431')

