ООО НВ Тс254115-25 24.12.2025 Дьяченков 5088кг.pdf Мелитополь +
('SU000722кг', ['3,00', '33.556'], '32,326')
('SU002986шт', ['15,00', '58.350'], '150,000')
('SU002831шт', ['23,00', '96.370'], '230,000')
('SU002830кг', ['2,00', '22.509'], '21,689')
('SU002816шт', ['31,00', '145.390'], '310,000')
('SU001523кг', ['38,00', '222.521'], '207,397')
('SU001718шт', ['59,00', '172.870'], '354,000')
('SU002928кг', ['2,00', '22.344'], '21,524')
('SU002734шт', ['44,00', '206.360'], '440,000')
('SU002833кг', ['1,00', '11.266'], '10,856')
('SU002735шт', ['38,00', '97.660'], '228,000')
('SU001721кг', ['2,00', '17.292'], '16,328')
('SU001720шт', ['56,00', '164.080'], '336,000')
('SU002756кг', ['10,00', '45.422'], '43,162')
('SU002847кг', ['10,00', '45.759'], '43,499')
('SU003829шт', ['8,00', '15.488'], '48,000')
('SU003896шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['6,00', '33.887'], '32,387')
('SU002947кг', ['32,00', '182.896'], '174,896')
('SU002944шт', ['15,00', '29.040'], '90,000')
('SU002948шт', ['3,00', '5.826'], '18,000')
('SU002842шт', ['48,00', '126.240'], '288,000')
('SU002618шт', ['67,00', '176.210'], '402,000')
('SU002621шт', ['59,00', '155.170'], '354,000')
('SU002686шт', ['80,00', '210.400'], '480,000')
('SU002844шт', ['93,00', '245.706'], '558,000')
('SU002759шт', ['37,00', '97.428'], '222,000')
('SU002758шт', ['28,00', '73.280'], '168,000')
('SU003273кг', ['1,00', '11.998'], '11,588')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU003923шт', ['2,00', '2.412'], '36,000')
('SU002801шт', ['44,00', '115.720'], '264,000')
('SU002799шт', ['79,00', '207.296'], '474,000')
('SU000227кг', ['6,00', '50.883'], '47,991')
('SU001430кг', ['4,00', '33.716'], '31,788')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU002841шт', ['2,00', '4.400'], '40,000')
('SU002840шт', ['3,00', '6.600'], '60,000')
('SU002368шт', ['1,00', '2.200'], '20,000')
('SU003422кг', ['24,00', '369.853'], '358,573')
('SU003423кг', ['2,00', '31.147'], '30,207')
('SU003423кг', ['10,00', '157.714'], '153,014')
('SU003420кг', ['19,00', '294.301'], '285,371')
('SU000251кг', ['20,00', '311.992'], '302,592')
('SU000126кг', ['11,00', '168.951'], '163,781')
('SU002205шт', ['11,00', '28.930'], '66,000')
('SU002614кг', ['10,00', '56.351'], '53,851')
('SU002612кг', ['26,00', '150.021'], '143,521')
('SU002011кг', ['28,00', '158.348'], '148,856')
('SU002634кг', ['17,00', '92.930'], '87,150')
('SU002010кг', ['36,00', '202.200'], '189,960')
('SU002035кг', ['24,00', '134.972'], '126,332')
('SU002150кг', ['3,00', '16.900'], '15,880')
('SU002151кг', ['12,00', '67.762'], '63,562')

ООО ЛП Тс253941-25 24.12.2025 Дьяченков 5128кг.pdf НПК +
('SU000722кг', ['14,00', '157.485'], '151,745')
('SU001485шт', ['24,00', '100.560'], '240,000')
('SU002829кг', ['19,00', '212.038'], '204,248')
('SU002830кг', ['24,00', '270.247'], '260,407')
('SU001523кг', ['20,00', '117.090'], '109,130')
('SU001718шт', ['38,00', '111.340'], '228,000')
('SU002928кг', ['24,00', '266.827'], '257,049')
('SU002833кг', ['5,00', '56.287'], '54,237')
('SU001721кг', ['13,00', '112.188'], '105,922')
('SU001720шт', ['84,00', '246.120'], '504,000')
('SU002847кг', ['12,00', '54.782'], '52,070')
('SU002941кг', ['19,00', '107.463'], '102,713')
('SU002943кг', ['15,00', '84.947'], '81,197')
('SU002945кг', ['23,00', '130.794'], '125,458')
('SU002947кг', ['23,00', '131.245'], '125,495')
('SU002845кг', ['7,00', '59.687'], '56,313')
('SU002725кг', ['10,00', '93.624'], '88,804')
('SU002842шт', ['21,00', '55.230'], '126,000')
('SU002686шт', ['21,00', '55.230'], '126,000')
('SU002844шт', ['21,00', '55.482'], '126,000')
('SU001340кг', ['3,00', '25.208'], '23,762')
('SU003167шт', ['24,00', '55.632'], '144,000')
('SU003168шт', ['24,00', '55.632'], '144,000')
('SU003422кг', ['20,00', '307.411'], '298,011')
('SU000251кг', ['7,00', '108.400'], '105,110')
('SU003420кг', ['14,00', '216.579'], '209,999')
('SU002287кг', ['8,00', '75.389'], '71,533')
('SU002205шт', ['63,00', '165.690'], '378,000')
('SU002634кг', ['98,00', '535.720'], '502,400')
('SU002010кг', ['95,00', '534.260'], '501,960')
('SU002631шт', ['105,00', '523.950'], '840,000')
('SU002035кг', ['38,00', '213.653'], '199,973')
('SU002655кг', ['12,00', '113.722'], '107,938')

ООО ЛП Тс253925-25 24.12.2025 Дьяченков 3627кг.pdf ПРС +
('SU003665шт', ['50,00', '101.500'], '300,000')
('SU001485шт', ['35,00', '146.650'], '350,000')
('SU003313шт', ['59,00', '120.478'], '354,000')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002825шт', ['50,00', '101.800'], '300,000')
('SU003288шт', ['50,00', '101.500'], '300,000')
('SU002834шт', ['50,00', '134.300'], '300,000')
('SU003336шт', ['59,00', '120.478'], '354,000')
('SU002367шт', ['34,00', '76.268'], '204,000')
('SU002618шт', ['34,00', '89.420'], '204,000')
('SU002621шт', ['59,00', '155.170'], '354,000')
('SU003274шт', ['22,00', '92.180'], '220,000')
('SU003274шт', ['8,00', '33.520'], '80,000')
('SU003272шт', ['30,00', '125.700'], '300,000')
('SU003388шт', ['30,00', '125.700'], '300,000')
('SU002801шт', ['50,00', '131.500'], '300,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU003340шт', ['59,00', '229.274'], '354,000')
('SU003393шт', ['30,00', '125.700'], '300,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['50,00', '100.900'], '300,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['18,00', '41.832'], '108,000')
('SU003167шт', ['32,00', '74.176'], '192,000')
('SU003168шт', ['59,00', '135.850'], '354,000')
('SU003421шт', ['35,00', '181.650'], '350,000')
('SU002027шт', ['30,00', '125.700'], '300,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '111.800'], '300,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002603шт', ['34,00', '76.024'], '204,000')
('SU002285шт', ['50,00', '131.300'], '200,000')
('SU002557шт', ['34,00', '75.344'], '204,000')
('SU002631шт', ['44,00', '219.560'], '352,000')

ООО НВ Тс254082-25 24.12.2025 Дьяченков 3630кг.pdf
('SU002828кг', ['6,00', '66.861'], '64,401')
('SU002830кг', ['10,00', '113.131'], '109,031')
('SU002816шт', ['6,00', '28.140'], '60,000')
('SU001523кг', ['1,00', '8.560'], '8,078')
('SU001718шт', ['26,00', '76.180'], '156,000')
('SU002928кг', ['9,00', '99.796'], '96,106')
('SU002734шт', ['12,00', '56.280'], '120,000')
('SU002833кг', ['3,00', '33.631'], '32,401')
('SU002735шт', ['13,00', '33.410'], '78,000')
('SU001721кг', ['6,00', '51.882'], '48,990')
('SU001720шт', ['28,00', '82.040'], '168,000')
('SU002847кг', ['3,00', '13.792'], '13,114')
('SU003829шт', ['2,00', '3.872'], '12,000')
('SU003893шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['34,00', '191.921'], '183,421')
('SU002943кг', ['25,00', '141.531'], '135,281')
('SU002944шт', ['7,00', '13.552'], '42,000')
('SU002843кг', ['17,00', '143.993'], '135,799')
('SU002725кг', ['3,00', '26.904'], '25,458')
('SU002842шт', ['28,00', '73.640'], '168,000')
('SU002618шт', ['50,00', '131.500'], '300,000')
('SU002621шт', ['32,00', '84.160'], '192,000')
('SU002686шт', ['32,00', '84.160'], '192,000')
('SU002844шт', ['35,00', '92.470'], '210,000')
('SU002759шт', ['10,00', '26.336'], '60,000')
('SU002801шт', ['15,00', '39.450'], '90,000')
('SU002799шт', ['45,00', '118.080'], '270,000')
('SU002252шт', ['8,00', '16.144'], '48,000')
('SU001920кг', ['2,00', '6.376'], '5,880')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['10,00', '28.100'], '150,000')
('SU003422кг', ['19,00', '292.580'], '283,650')
('SU003423кг', ['11,00', '173.007'], '167,837')
('SU000251кг', ['8,00', '123.529'], '119,769')
('SU003420кг', ['6,00', '93.098'], '90,278')
('SU000126кг', ['19,00', '295.908'], '286,978')
('SU002614кг', ['1,00', '5.591'], '5,341')
('SU002612кг', ['12,00', '68.287'], '65,287')
('SU002011кг', ['5,00', '28.144'], '26,394')
('SU002182кг', ['5,00', '27.907'], '26,257')
('SU002634кг', ['25,00', '136.557'], '128,267')
('SU002010кг', ['28,00', '158.374'], '149,134')
('SU002632шт', ['3,00', '14.970'], '24,000')
('SU002035кг', ['18,00', '101.470'], '95,170')
('SU002643шт', ['15,00', '74.850'], '120,000')
('SU002150кг', ['18,00', '101.640'], '95,360')
('SU002158кг', ['15,00', '84.237'], '78,987')
('SU002151кг', ['19,00', '107.366'], '100,716')
('SU002655кг', ['6,00', '56.436'], '53,544')

