ООО КСК ТРЕЙД Тс001924-26 04.01.2026 Ерохов 17457кг.pdf
('SU000722кг', ['14,00', '158.850'], '153,110')
('SU001485шт', ['40,00', '167.600'], '400,000')
('SU002829кг', ['28,00', '312.933'], '301,453')
('SU002815шт', ['100,00', '469.000'], '1_000,000')
('SU002828кг', ['17,00', '189.748'], '182,778')
('SU002814шт', ['50,00', '143.500'], '300,000')
('SU002835кг', ['4,00', '32.684'], '30,756')
('SU002830кг', ['14,00', '156.231'], '150,491')
('SU002816шт', ['100,00', '469.000'], '1_000,000')
('SU001523кг', ['28,00', '242.376'], '228,880')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['5,00', '55.953'], '53,903')
('SU002734шт', ['60,00', '281.400'], '600,000')
('SU001721кг', ['44,00', '383.031'], '361,823')
('SU001720шт', ['107,00', '313.510'], '642,000')
('SU001720шт', ['27,00', '78.300'], '162,000')
('SU003336шт', ['10,00', '20.420'], '60,000')
('SU002367шт', ['10,00', '22.460'], '60,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002756кг', ['17,00', '77.693'], '73,851')
('SU002876кг', ['12,00', '55.218'], '52,506')
('SU002847кг', ['11,00', '50.478'], '47,992')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU003893шт', ['14,00', '20.160'], '252,000')
('SU003894шт', ['12,00', '17.280'], '216,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['19,00', '107.018'], '102,268')
('SU002943кг', ['10,00', '57.253'], '54,753')
('SU002945кг', ['75,00', '424.999'], '407,599')
('SU002947кг', ['13,00', '74.397'], '71,147')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['42,00', '81.564'], '252,000')
('SU002725кг', ['10,00', '90.910'], '86,090')
('SU002842шт', ['84,00', '220.920'], '504,000')
('SU002618шт', ['84,00', '221.424'], '504,000')
('SU002686шт', ['30,00', '78.900'], '180,000')
('SU002844шт', ['67,00', '177.014'], '402,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU002758шт', ['10,00', '25.700'], '60,000')
('SU003273кг', ['2,00', '23.873'], '23,053')
('SU003271кг', ['7,00', '83.655'], '80,785')
('SU003274шт', ['6,00', '25.140'], '60,000')
('SU003272шт', ['3,00', '12.570'], '30,000')
('SU003272шт', ['5,00', '20.950'], '50,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['10,00', '19.800'], '150,000')
('SU003925шт', ['3,00', '3.348'], '54,000')
('SU002801шт', ['17,00', '44.710'], '102,000')
('SU002799шт', ['50,00', '131.200'], '300,000')
('SU002617шт', ['67,00', '149.812'], '402,000')
('SU002252шт', ['12,00', '24.216'], '72,000')
('SU001051кг', ['3,00', '26.617'], '25,171')
('SU000227кг', ['25,00', '213.200'], '201,150')
('SU001430кг', ['12,00', '114.068'], '107,132')
('SU003167шт', ['234,00', '542.412'], '1_404,000')
('SU003168шт', ['200,00', '463.600'], '1_200,000')
('SU003422кг', ['120,00', '1.863.252'], '1_806,852')
('SU003423кг', ['41,00', '630.017'], '610,747')
('SU003420кг', ['213,00', '3.299.150'], '3_199,040')
('SU000251кг', ['34,00', '526.095'], '510,115')
('SU003421шт', ['3,00', '15.570'], '30,000')
('SU000126кг', ['101,00', '1.560.974'], '1_513,504')
('SU002027шт', ['2,00', '8.380'], '20,000')
('SU002287кг', ['4,00', '38.652'], '36,724')
('SU003425кг', ['5,00', '64.442'], '62,392')
('SU002538шт', ['10,00', '22.480'], '60,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['20,00', '44.720'], '120,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002634кг', ['25,00', '134.341'], '125,591')
('SU002010кг', ['25,00', '139.791'], '131,541')
('SU002632шт', ['19,00', '94.810'], '152,000')
('SU002631шт', ['25,00', '124.750'], '200,000')
('SU002035кг', ['23,00', '130.181'], '122,131')
('SU002150кг', ['8,00', '45.061'], '42,261')
('SU002158кг', ['3,00', '16.818'], '15,768')
('SU002151кг', ['16,00', '89.699'], '84,099')
('SU002916шт', ['10,00', '49.900'], '80,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002655кг', ['106,00', '958.712'], '907,620')

