ООО КСК ТРЕЙД Тс001336-26 03.01.2026 Лопатин 17719кг.pdf
('SU000722кг', ['19,00', '213.550'], '205,760')
('SU001485шт', ['55,00', '230.450'], '550,000')
('SU002829кг', ['24,00', '266.902'], '257,062')
('SU002815шт', ['85,00', '398.650'], '850,000')
('SU002815шт', ['15,00', '70.350'], '150,000')
('SU002828кг', ['12,00', '134.518'], '129,598')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002835кг', ['4,00', '35.068'], '33,140')
('SU002830кг', ['14,00', '157.371'], '151,631')
('SU002816шт', ['77,00', '361.130'], '770,000')
('SU002816шт', ['23,00', '107.870'], '230,000')
('SU001523кг', ['32,00', '273.711'], '258,287')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['5,00', '55.840'], '53,790')
('SU002734шт', ['80,00', '375.200'], '800,000')
('SU001721кг', ['23,00', '201.326'], '190,240')
('SU001721кг', ['27,00', '234.532'], '221,518')
('SU001720шт', ['134,00', '392.620'], '804,000')
('SU003336шт', ['5,00', '10.210'], '30,000')
('SU002367шт', ['10,00', '22.460'], '60,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['10,00', '28.960'], '80,000')
('SU002756кг', ['12,00', '54.770'], '52,058')
('SU002876кг', ['10,00', '46.007'], '43,747')
('SU002847кг', ['23,00', '105.362'], '100,164')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['59,00', '131.924'], '354,000')
('SU003893шт', ['7,00', '10.080'], '126,000')
('SU003894шт', ['7,00', '10.080'], '126,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002941кг', ['21,00', '118.099'], '112,849')
('SU002943кг', ['12,00', '67.652'], '64,652')
('SU002945кг', ['65,00', '368.073'], '352,993')
('SU002947кг', ['12,00', '68.648'], '65,648')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['34,00', '65.824'], '204,000')
('SU002948шт', ['30,00', '58.260'], '180,000')
('SU002725кг', ['6,00', '54.528'], '51,636')
('SU002842шт', ['84,00', '220.920'], '504,000')
('SU002618шт', ['67,00', '176.612'], '402,000')
('SU002686шт', ['25,00', '65.750'], '150,000')
('SU002844шт', ['67,00', '177.014'], '402,000')
('SU002759шт', ['15,00', '39.450'], '90,000')
('SU002758шт', ['15,00', '39.450'], '90,000')
('SU003273кг', ['1,00', '11.969'], '11,559')
('SU003271кг', ['5,00', '59.795'], '57,745')
('SU003274шт', ['4,00', '16.760'], '40,000')
('SU003274шт', ['2,00', '8.380'], '20,000')
('SU003272шт', ['7,00', '29.330'], '70,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU003925шт', ['3,00', '3.348'], '54,000')
('SU002801шт', ['25,00', '65.750'], '150,000')
('SU002799шт', ['42,00', '110.208'], '252,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU002252шт', ['10,00', '20.180'], '60,000')
('SU001051кг', ['2,00', '17.125'], '16,161')
('SU000227кг', ['39,00', '328.181'], '309,383')
('SU001430кг', ['18,00', '163.814'], '155,138')
('SU001869шт', ['20,00', '56.200'], '300,000')
('SU003167шт', ['163,00', '378.812'], '978,000')
('SU003167шт', ['54,00', '125.172'], '324,000')
('SU003168шт', ['184,00', '426.512'], '1_104,000')
('SU003422кг', ['134,00', '2.074.609'], '2_011,629')
('SU003423кг', ['60,00', '922.550'], '894,350')
('SU003420кг', ['147,00', '2.280.113'], '2_211,023')
('SU000251кг', ['45,00', '693.965'], '672,815')
('SU003421шт', ['3,00', '15.570'], '30,000')
('SU000126кг', ['121,00', '1.857.805'], '1_800,935')
('SU002027шт', ['2,00', '8.380'], '20,000')
('SU000246кг', ['2,00', '18.916'], '17,952')
('SU002287кг', ['4,00', '38.662'], '36,734')
('SU003425кг', ['4,00', '51.507'], '49,867')
('SU002074кг', ['2,00', '19.174'], '18,210')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['20,00', '28.600'], '120,000')
('SU002011кг', ['14,00', '78.432'], '73,532')
('SU002634кг', ['25,00', '134.652'], '125,902')
('SU002010кг', ['23,00', '129.280'], '121,690')
('SU002632шт', ['22,00', '109.780'], '176,000')
('SU002631шт', ['23,00', '114.770'], '184,000')
('SU002035кг', ['23,00', '129.706'], '121,656')
('SU002150кг', ['8,00', '45.054'], '42,414')
('SU002158кг', ['12,00', '67.439'], '63,239')
('SU002151кг', ['14,00', '78.619'], '73,719')
('SU002916шт', ['9,00', '44.910'], '72,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002655кг', ['117,00', '1.063.757'], '1_007,363')

