ООО НВ Тс002323-26 05.01.2026 Масхудов 5481кг.pdf Мелитополь
('SU003971шт', ['12,00', '89.160'], '96,000')
('SU003600шт', ['56,00', '94.080'], '336,000')
('SU003827шт', ['48,00', '279.840'], '384,000')
('SU003529шт', ['36,00', '260.280'], '360,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003892шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003613шт', ['14,00', '53.620'], '140,000')
('SU003460шт', ['60,00', '433.800'], '600,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003727шт', ['28,00', '80.080'], '336,000')
('SU003601шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU002268шт', ['120,00', '627.600'], '600,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003020кг', ['96,00', '598.080'], '576,000')
('SU003010кг', ['156,00', '815.880'], '780,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ Тс002267-26 05.01.2026 Масхудов 3487кг.pdf Бердянск +
('SU003971шт', ['12,00', '89.160'], '96,000')
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['24,00', '125.112'], '120,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003944шт', ['14,00', '45.248'], '168,000')
('SU003576шт', ['56,00', '180.992'], '672,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['144,00', '753.120'], '720,000')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс002287-26 05.01.2026 Масхудов 2834кг.pdf Донецк +
('SU003975шт', ['24,00', '178.320'], '192,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['14,00', '43.400'], '168,000')
('SU003884шт', ['14,00', '43.400'], '168,000')
('SU002573шт', ['28,00', '65.520'], '672,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003800шт', ['168,00', '540.960'], '2_016,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003448кг', ['14,00', '44.520'], '42,000')

