ООО НВ Тс002331-26 03.01.2026 Панчишин 7258кг.pdf
('SU000722кг', ['6,00', '67.240'], '64,840')
('SU002986шт', ['23,00', '89.470'], '230,000')
('SU003642кг', ['2,00', '22.485'], '21,605')
('SU002835кг', ['5,00', '43.816'], '41,406')
('SU002830кг', ['9,00', '101.559'], '97,869')
('SU002816шт', ['16,00', '75.040'], '160,000')
('SU001523кг', ['5,00', '42.843'], '40,433')
('SU001718шт', ['13,00', '38.090'], '78,000')
('SU002928кг', ['9,00', '100.108'], '96,553')
('SU002734шт', ['5,00', '23.450'], '50,000')
('SU002833кг', ['1,00', '11.255'], '10,845')
('SU001721кг', ['13,00', '113.102'], '106,836')
('SU001720шт', ['6,00', '17.580'], '36,000')
('SU002756кг', ['5,00', '22.939'], '21,809')
('SU002847кг', ['11,00', '50.546'], '48,060')
('SU002660шт', ['14,00', '31.304'], '84,000')
('SU003829шт', ['4,00', '7.744'], '24,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU003894шт', ['2,00', '2.880'], '36,000')
('SU003896шт', ['2,00', '2.880'], '36,000')
('SU002941кг', ['49,00', '274.301'], '262,051')
('SU002943кг', ['55,00', '311.046'], '297,296')
('SU002947кг', ['10,00', '56.696'], '54,196')
('SU002944шт', ['8,00', '15.488'], '48,000')
('SU002942шт', ['13,00', '25.168'], '78,000')
('SU002948шт', ['14,00', '27.188'], '84,000')
('SU002842шт', ['42,00', '110.460'], '252,000')
('SU002618шт', ['35,00', '92.050'], '210,000')
('SU002621шт', ['18,00', '47.340'], '108,000')
('SU002686шт', ['3,00', '7.890'], '18,000')
('SU002759шт', ['5,00', '13.150'], '30,000')
('SU002758шт', ['5,00', '13.150'], '30,000')
('SU003273кг', ['2,00', '23.842'], '23,022')
('SU003921шт', ['2,00', '3.960'], '30,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU003923шт', ['4,00', '4.824'], '72,000')
('SU002799шт', ['3,00', '7.872'], '18,000')
('SU002252шт', ['8,00', '16.144'], '48,000')
('SU001051кг', ['4,00', '33.833'], '31,905')
('SU000227кг', ['8,00', '67.323'], '63,467')
('SU001921кг', ['4,00', '12.685'], '11,757')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU002841шт', ['1,00', '2.200'], '20,000')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU002368шт', ['1,00', '2.200'], '20,000')
('SU003422кг', ['79,00', '1.214.539'], '1_177,409')
('SU003423кг', ['33,00', '514.517'], '499,007')
('SU003420кг', ['27,00', '424.004'], '411,314')
('SU000251кг', ['48,00', '741.122'], '718,562')
('SU000126кг', ['57,00', '882.864'], '857,034')
('SU000246кг', ['11,00', '104.882'], '99,580')
('SU002287кг', ['5,00', '48.137'], '45,727')
('SU002074кг', ['37,00', '357.744'], '339,910')
('SU002011кг', ['24,00', '135.247'], '126,847')
('SU002634кг', ['23,00', '125.817'], '118,227')
('SU002010кг', ['69,00', '386.289'], '364,839')
('SU002631шт', ['3,00', '14.970'], '24,000')
('SU002035кг', ['34,00', '192.050'], '181,510')
('SU002150кг', ['11,00', '62.160'], '58,640')
('SU002158кг', ['14,00', '78.952'], '74,052')
('SU002151кг', ['30,00', '168.553'], '157,873')
('SU002655кг', ['9,00', '83.662'], '79,324')

ООО НВ Тс001372-26 03.01.2026 Панчишин 10112кг.pdf
('SU003642кг', ['3,00', '34.155'], '32,835')
('SU002829кг', ['3,00', '33.024'], '31,794')
('SU002831шт', ['16,00', '67.040'], '160,000')
('SU002830кг', ['25,00', '280.718'], '270,468')
('SU002816шт', ['26,00', '121.940'], '260,000')
('SU001523кг', ['24,00', '205.009'], '193,441')
('SU001718шт', ['63,00', '184.590'], '378,000')
('SU002928кг', ['52,00', '585.056'], '564,141')
('SU002734шт', ['10,00', '46.900'], '100,000')
('SU002833кг', ['3,00', '33.698'], '32,468')
('SU002735шт', ['7,00', '17.990'], '42,000')
('SU001721кг', ['37,00', '279.620'], '263,046')
('SU001720шт', ['60,00', '175.800'], '360,000')
('SU002756кг', ['10,00', '45.852'], '43,592')
('SU002847кг', ['9,00', '41.209'], '39,175')
('SU002660шт', ['23,00', '51.428'], '138,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU002848шт', ['46,00', '102.856'], '276,000')
('SU003893шт', ['4,00', '5.760'], '72,000')
('SU003894шт', ['4,00', '5.760'], '72,000')
('SU003896шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['67,00', '375.570'], '358,820')
('SU002947кг', ['8,00', '45.456'], '43,456')
('SU002944шт', ['25,00', '48.400'], '150,000')
('SU002942шт', ['13,00', '25.168'], '78,000')
('SU002948шт', ['8,00', '15.536'], '48,000')
('SU002843кг', ['5,00', '43.675'], '41,265')
('SU002845кг', ['4,00', '34.809'], '32,881')
('SU002725кг', ['32,00', '290.092'], '274,668')
('SU002842шт', ['56,00', '147.280'], '336,000')
('SU002618шт', ['73,00', '191.990'], '438,000')
('SU002621шт', ['82,00', '215.660'], '492,000')
('SU002686шт', ['13,00', '34.190'], '78,000')
('SU002844шт', ['49,00', '129.458'], '294,000')
('SU002759шт', ['2,00', '5.260'], '12,000')
('SU002758шт', ['4,00', '10.520'], '24,000')
('SU003925шт', ['4,00', '4.464'], '72,000')
('SU003924шт', ['4,00', '4.824'], '72,000')
('SU003923шт', ['3,00', '3.618'], '54,000')
('SU002801шт', ['15,00', '39.450'], '90,000')
('SU002799шт', ['25,00', '65.600'], '150,000')
('SU002252шт', ['3,00', '6.054'], '18,000')
('SU000227кг', ['22,00', '186.397'], '175,793')
('SU001921кг', ['2,00', '6.263'], '5,799')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['14,00', '39.340'], '210,000')
('SU002368шт', ['4,00', '8.800'], '80,000')
('SU003422кг', ['40,00', '622.661'], '603,861')
('SU003423кг', ['8,00', '124.802'], '121,052')
('SU000251кг', ['20,00', '308.815'], '299,415')
('SU003420кг', ['13,00', '205.526'], '199,416')
('SU000126кг', ['36,00', '559.317'], '542,815')
('SU003425кг', ['2,00', '25.123'], '24,303')
('SU002074кг', ['92,00', '890.096'], '845,752')
('SU002205шт', ['11,00', '28.930'], '66,000')
('SU002614кг', ['4,00', '22.697'], '21,697')
('SU002011кг', ['41,00', '229.332'], '214,982')
('SU002634кг', ['106,00', '569.820'], '536,570')
('SU002010кг', ['200,00', '1.118.783'], '1_056,523')
