ООО КСК ТРЕЙД Тс001335-26 03.01.2026 Самсоненко 17501кг.pdf
('SU000722кг', ['14,00', '159.046'], '153,306')
('SU001485шт', ['55,00', '230.450'], '550,000')
('SU002829кг', ['2,00', '22.375'], '21,555')
('SU002829кг', ['22,00', '244.848'], '235,828')
('SU002815шт', ['99,00', '464.310'], '990,000')
('SU002815шт', ['1,00', '4.750'], '10,000')
('SU002828кг', ['12,00', '134.194'], '129,274')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002835кг', ['5,00', '39.602'], '37,192')
('SU002830кг', ['14,00', '157.422'], '151,682')
('SU002816шт', ['100,00', '469.000'], '1_000,000')
('SU001523кг', ['2,00', '17.124'], '16,160')
('SU001523кг', ['26,00', '222.366'], '209,834')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['5,00', '55.722'], '53,672')
('SU002734шт', ['60,00', '281.400'], '600,000')
('SU001721кг', ['44,00', '380.902'], '359,694')
('SU001720шт', ['134,00', '392.620'], '804,000')
('SU002367шт', ['10,00', '22.460'], '60,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU002984шт', ['10,00', '28.960'], '80,000')
('SU004041кг', ['24,00', '107.990'], '102,422')
('SU004044кг', ['23,00', '106.603'], '101,267')
('SU004047кг', ['23,00', '106.461'], '101,125')
('SU002756кг', ['12,00', '55.212'], '52,500')
('SU002876кг', ['10,00', '45.760'], '43,500')
('SU002847кг', ['23,00', '105.153'], '99,955')
('SU002660шт', ['34,00', '76.024'], '204,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['59,00', '131.924'], '354,000')
('SU003893шт', ['7,00', '10.080'], '126,000')
('SU003894шт', ['7,00', '10.080'], '126,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002941кг', ['21,00', '118.068'], '112,818')
('SU002943кг', ['12,00', '68.107'], '65,107')
('SU002945кг', ['65,00', '367.740'], '352,660')
('SU002947кг', ['12,00', '68.425'], '65,425')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['34,00', '65.824'], '204,000')
('SU002948шт', ['30,00', '58.260'], '180,000')
('SU002725кг', ['6,00', '54.226'], '51,334')
('SU002842шт', ['84,00', '220.920'], '504,000')
('SU002618шт', ['67,00', '176.612'], '402,000')
('SU002686шт', ['25,00', '65.750'], '150,000')
('SU002844шт', ['67,00', '177.014'], '402,000')
('SU002759шт', ['15,00', '39.450'], '90,000')
('SU002758шт', ['15,00', '39.450'], '90,000')
('SU003273кг', ['1,00', '11.947'], '11,537')
('SU003271кг', ['5,00', '60.085'], '58,035')
('SU003274шт', ['6,00', '25.140'], '60,000')
('SU003272шт', ['7,00', '29.330'], '70,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU003925шт', ['3,00', '3.348'], '54,000')
('SU002801шт', ['25,00', '65.750'], '150,000')
('SU002799шт', ['42,00', '110.208'], '252,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU002252шт', ['10,00', '20.180'], '60,000')
('SU001051кг', ['2,00', '17.233'], '16,269')
('SU000227кг', ['33,00', '278.527'], '262,621')
('SU001430кг', ['17,00', '161.626'], '151,800')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU001869шт', ['20,00', '56.200'], '300,000')
('SU003167шт', ['200,00', '464.800'], '1_200,000')
('SU003168шт', ['175,00', '405.650'], '1_050,000')
('SU003422кг', ['127,00', '1.979.080'], '1_919,390')
('SU003423кг', ['48,00', '739.556'], '716,996')
('SU003420кг', ['160,00', '2.481.019'], '2_405,819')
('SU000251кг', ['45,00', '692.553'], '671,403')
('SU003421шт', ['3,00', '15.570'], '30,000')
('SU000126кг', ['115,00', '1.765.035'], '1_710,985')
('SU002027шт', ['2,00', '8.380'], '20,000')
('SU000246кг', ['2,00', '19.228'], '18,264')
('SU002287кг', ['4,00', '40.019'], '38,091')
('SU003425кг', ['2,00', '25.577'], '24,757')
('SU003425кг', ['2,00', '24.723'], '23,903')
('SU002074кг', ['2,00', '17.843'], '16,879')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003342шт', ['20,00', '28.600'], '120,000')
('SU002011кг', ['14,00', '78.850'], '73,950')
('SU002634кг', ['24,00', '129.721'], '121,441')
('SU002010кг', ['24,00', '133.769'], '125,849')
('SU002632шт', ['22,00', '109.780'], '176,000')
('SU002631шт', ['23,00', '114.770'], '184,000')
('SU002035кг', ['23,00', '130.171'], '122,121')
('SU002150кг', ['8,00', '45.121'], '42,481')
('SU002158кг', ['12,00', '67.286'], '63,086')
('SU002151кг', ['14,00', '78.705'], '73,805')
('SU002916шт', ['9,00', '44.910'], '72,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002655кг', ['110,00', '1.023.360'], '970,340')

