ООО КСК ТРЕЙД Тс003817-26 05.01.2026 Елисеев 126кг.pdf
('SU002158кг', ['14,00', '78.677'], '73,777')
('SU002151кг', ['10,00', '56.181'], '52,681')

ООО КСК ТРЕЙД Тс002576-26 05.01.2026 Елисеев 17656кг.pdf
('SU000722кг', ['25,00', '279.090'], '268,840')
('SU001485шт', ['120,00', '502.800'], '1_200,000')
('SU002829кг', ['42,00', '470.922'], '453,702')
('SU002815шт', ['150,00', '703.500'], '1_500,000')
('SU002828кг', ['19,00', '213.444'], '205,654')
('SU002814шт', ['67,00', '192.290'], '402,000')
('SU002835кг', ['8,00', '66.550'], '62,694')
('SU002830кг', ['28,00', '313.822'], '302,342')
('SU002816шт', ['150,00', '703.500'], '1_500,000')
('SU001523кг', ['25,00', '214.774'], '202,724')
('SU001718шт', ['217,00', '635.810'], '1_302,000')
('SU002928кг', ['6,00', '66.939'], '64,479')
('SU003745шт', ['5,00', '6.800'], '50,000')
('SU002734шт', ['120,00', '562.800'], '1_200,000')
('SU002356шт', ['10,00', '12.200'], '100,000')
('SU001721кг', ['50,00', '434.233'], '410,133')
('SU001720шт', ['134,00', '394.228'], '804,000')
('SU003336шт', ['14,00', '28.588'], '84,000')
('SU002367шт', ['17,00', '38.182'], '102,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['7,00', '21.392'], '56,000')
('SU002756кг', ['20,00', '90.837'], '86,317')
('SU002876кг', ['12,00', '54.948'], '52,236')
('SU002847кг', ['24,00', '107.951'], '102,527')
('SU004026шт', ['10,00', '10.900'], '100,000')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU003178шт', ['10,00', '10.400'], '100,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003893шт', ['12,00', '17.280'], '216,000')
('SU003894шт', ['12,00', '17.280'], '216,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['25,00', '142.727'], '136,477')
('SU002943кг', ['12,00', '67.557'], '64,557')
('SU002945кг', ['130,00', '736.645'], '706,485')
('SU002947кг', ['17,00', '96.886'], '92,636')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['6,00', '53.816'], '50,924')
('SU002842шт', ['50,00', '131.500'], '300,000')
('SU002618шт', ['100,00', '263.600'], '600,000')
('SU002686шт', ['34,00', '89.420'], '204,000')
('SU002844шт', ['50,00', '132.100'], '300,000')
('SU003273кг', ['3,00', '35.921'], '34,691')
('SU003271кг', ['7,00', '83.226'], '80,356')
('SU003274шт', ['5,00', '20.950'], '50,000')
('SU003272шт', ['12,00', '50.280'], '120,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU003925шт', ['6,00', '6.696'], '108,000')
('SU002801шт', ['17,00', '44.565'], '102,000')
('SU002799шт', ['50,00', '131.200'], '300,000')
('SU002617шт', ['67,00', '149.812'], '402,000')
('SU001051кг', ['4,00', '34.443'], '32,515')
('SU000227кг', ['38,00', '328.005'], '309,689')
('SU001430кг', ['12,00', '110.486'], '104,702')
('SU001869шт', ['40,00', '112.400'], '600,000')
('SU003167шт', ['167,00', '387.106'], '1_002,000')
('SU003168шт', ['100,00', '231.800'], '600,000')
('SU003422кг', ['80,00', '1.236.963'], '1_199,363')
('SU003423кг', ['55,00', '847.246'], '821,396')
('SU003420кг', ['75,00', '1.153.909'], '1_118,659')
('SU000251кг', ['34,00', '524.909'], '508,929')
('SU003421шт', ['2,00', '10.380'], '20,000')
('SU000126кг', ['121,00', '1.863.009'], '1_806,139')
('SU000246кг', ['4,00', '36.636'], '34,708')
('SU002287кг', ['4,00', '38.659'], '36,731')
('SU003425кг', ['5,00', '64.368'], '62,318')
('SU002538шт', ['12,00', '26.976'], '72,000')
('SU002602шт', ['7,00', '15.652'], '42,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['7,00', '15.694'], '42,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002011кг', ['19,00', '107.207'], '100,557')
('SU002634кг', ['40,00', '217.746'], '203,746')
('SU002010кг', ['48,00', '272.106'], '255,306')
('SU002632шт', ['32,00', '159.680'], '256,000')
('SU002631шт', ['32,00', '159.680'], '256,000')
('SU002035кг', ['19,00', '107.096'], '100,446')
('SU002150кг', ['10,00', '57.491'], '53,991')
('SU002916шт', ['13,00', '64.870'], '104,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002808кг', ['3,00', '37.300'], '36,070')
('SU002655кг', ['104,00', '951.757'], '901,629')

