ООО КСК ТРЕЙД Тс005127-26 09.01.2026 Антонов 15346кг.pdf
('SU000722кг', ['28,00', '314.093'], '302,613')
('SU001485шт', ['100,00', '419.000'], '1_000,000')
('SU002829кг', ['19,00', '211.760'], '203,970')
('SU002815шт', ['100,00', '469.000'], '1_000,000')
('SU002828кг', ['10,00', '110.719'], '106,619')
('SU002814шт', ['84,00', '241.080'], '504,000')
('SU002835кг', ['16,00', '136.530'], '128,818')
('SU002830кг', ['24,00', '269.617'], '259,777')
('SU002816шт', ['23,00', '107.870'], '230,000')
('SU002816шт', ['77,00', '361.130'], '770,000')
('SU001523кг', ['38,00', '328.991'], '310,675')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['5,00', '55.761'], '53,711')
('SU002734шт', ['120,00', '562.800'], '1_200,000')
('SU001721кг', ['25,00', '215.224'], '203,174')
('SU001720шт', ['134,00', '392.620'], '804,000')
('SU003336шт', ['25,00', '51.050'], '150,000')
('SU002367шт', ['25,00', '55.670'], '150,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002876кг', ['8,00', '36.451'], '34,643')
('SU002847кг', ['23,00', '104.969'], '99,771')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU003893шт', ['12,00', '17.280'], '216,000')
('SU003894шт', ['17,00', '24.480'], '306,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['28,00', '158.699'], '151,699')
('SU002945кг', ['38,00', '215.725'], '206,909')
('SU002947кг', ['6,00', '34.072'], '32,572')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['20,00', '38.720'], '120,000')
('SU002946шт', ['34,00', '65.824'], '204,000')
('SU002948шт', ['24,00', '46.608'], '144,000')
('SU002725кг', ['24,00', '216.828'], '205,260')
('SU002842шт', ['134,00', '352.420'], '804,000')
('SU002618шт', ['167,00', '439.210'], '1_002,000')
('SU002686шт', ['50,00', '131.500'], '300,000')
('SU002844шт', ['134,00', '354.028'], '804,000')
('SU003271кг', ['6,00', '71.524'], '69,064')
('SU003274шт', ['10,00', '41.900'], '100,000')
('SU003272шт', ['16,00', '67.040'], '160,000')
('SU003920шт', ['10,00', '19.800'], '150,000')
('SU002801шт', ['34,00', '89.420'], '204,000')
('SU002799шт', ['67,00', '175.808'], '402,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU001051кг', ['3,00', '25.482'], '24,036')
('SU000227кг', ['39,00', '327.762'], '308,964')
('SU001430кг', ['34,00', '320.922'], '304,534')
('SU001869шт', ['40,00', '112.400'], '600,000')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU003167шт', ['255,00', '592.620'], '1_530,000')
('SU003167шт', ['45,00', '104.310'], '270,000')
('SU003168шт', ['250,00', '570.348'], '1_500,000')
('SU003422кг', ['81,00', '1.247.599'], '1_209,529')
('SU003423кг', ['74,00', '1.150.121'], '1_115,341')
('SU003420кг', ['67,00', '1.042.301'], '1_010,811')
('SU000251кг', ['7,00', '107.852'], '104,562')
('SU000126кг', ['34,00', '523.552'], '507,572')
('SU003342шт', ['34,00', '48.620'], '204,000')
('SU002011кг', ['29,00', '162.955'], '152,805')
('SU002634кг', ['20,00', '109.444'], '102,444')
('SU002010кг', ['19,00', '107.330'], '100,680')
('SU002632шт', ['38,00', '189.620'], '304,000')
('SU002631шт', ['44,00', '219.560'], '352,000')
('SU002035кг', ['19,00', '107.142'], '100,492')
('SU002150кг', ['14,00', '79.180'], '74,280')
('SU002158кг', ['23,00', '129.114'], '121,064')
('SU002151кг', ['6,00', '33.736'], '31,636')
('SU002916шт', ['10,00', '49.900'], '80,000')
('SU002918шт', ['13,00', '64.870'], '104,000')
('SU002808кг', ['5,00', '62.296'], '60,246')
('SU002655кг', ['59,00', '537.867'], '509,429')

ООО КСК ТРЕЙД Тс005120-26 09.01.2026 Антонов 2072кг.pdf
('SU001485шт', ['19,00', '79.610'], '190,000')
('SU002815шт', ['120,00', '562.800'], '1_200,000')
('SU001718шт', ['44,00', '128.920'], '264,000')
('SU002734шт', ['75,00', '351.750'], '750,000')
('SU001720шт', ['150,00', '439.500'], '900,000')
('SU002944шт', ['27,00', '52.272'], '162,000')
('SU002946шт', ['14,00', '27.104'], '84,000')
('SU002842шт', ['50,00', '131.500'], '300,000')
('SU002618шт', ['67,00', '176.210'], '402,000')
('SU003573шт', ['30,00', '62.400'], '180,000')
('SU001869шт', ['8,00', '22.480'], '120,000')
('SU003168шт', ['10,00', '22.748'], '60,000')
('SU003296шт', ['35,00', '146.650'], '350,000')

