ООО НВ Тс002577-26 10.01.2026 Баженов 9398кг.pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003532шт', ['146,00', '1.055.580'], '1_460,000')
('SU003385шт', ['146,00', '1.055.580'], '1_460,000')
('SU003529шт', ['146,00', '1.055.580'], '1_460,000')
('SU003677шт', ['70,00', '96.600'], '420,000')
('SU003676шт', ['140,00', '193.200'], '840,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003591шт', ['140,00', '534.800'], '1_680,000')
('SU003607шт', ['140,00', '534.800'], '1_680,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['140,00', '434.000'], '1_680,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003944шт', ['70,00', '226.240'], '840,000')
('SU003576шт', ['70,00', '226.240'], '840,000')
('SU003872шт', ['140,00', '366.800'], '1_680,000')
('SU003870шт', ['140,00', '366.800'], '1_680,000')
('SU003596шт', ['140,00', '450.800'], '1_680,000')
('SU003601шт', ['210,00', '390.600'], '1_260,000')

