ООО ЛП Тс004690-26 11.01.2026 Добрилко 3015кг.pdf Пушкарный +
('SU003423кг', ['48,00', '741.465'], '718,905')
('SU003423кг', ['19,00', '297.830'], '288,900')
('SU000251кг', ['67,00', '1.038.066'], '1_006,576')
('SU000126кг', ['67,00', '1.032.327'], '1_001,317')

ООО ЛП Тс004717-26 11.01.2026 Добрилко 9210кг.pdf Коныгин +
('SU000722кг', ['21,00', '233.817'], '225,207')
('SU001485шт', ['30,00', '125.700'], '300,000')
('SU002829кг', ['10,00', '111.775'], '107,675')
('SU002815шт', ['30,00', '140.700'], '300,000')
('SU002828кг', ['29,00', '322.478'], '310,588')
('SU002814шт', ['40,00', '114.800'], '240,000')
('SU002830кг', ['19,00', '213.104'], '205,314')
('SU002816шт', ['24,00', '112.560'], '240,000')
('SU001523кг', ['16,00', '92.094'], '85,726')
('SU001718шт', ['22,00', '64.460'], '132,000')
('SU002769шт', ['30,00', '66.300'], '180,000')
('SU002928кг', ['7,00', '77.797'], '74,927')
('SU002733шт', ['18,00', '70.920'], '180,000')
('SU002734шт', ['12,00', '56.280'], '120,000')
('SU003037шт', ['7,00', '17.500'], '56,000')
('SU001721кг', ['5,00', '43.324'], '40,914')
('SU002139шт', ['20,00', '44.200'], '120,000')
('SU001720шт', ['20,00', '58.600'], '120,000')
('SU002983шт', ['10,00', '34.000'], '80,000')
('SU002985шт', ['18,00', '55.008'], '144,000')
('SU002984шт', ['6,00', '17.376'], '48,000')
('SU002312шт', ['24,00', '100.560'], '240,000')
('SU000064кг', ['8,00', '30.524'], '28,524')
('SU002847кг', ['22,00', '100.361'], '95,389')
('SU002877шт', ['39,00', '87.204'], '234,000')
('SU002848шт', ['40,00', '89.440'], '240,000')
('SU003893шт', ['9,00', '12.960'], '162,000')
('SU003894шт', ['9,00', '12.960'], '162,000')
('SU003896шт', ['5,00', '7.200'], '90,000')
('SU002941кг', ['6,00', '34.553'], '33,053')
('SU002945кг', ['4,00', '22.430'], '21,502')
('SU002944шт', ['35,00', '67.760'], '210,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002948шт', ['15,00', '29.130'], '90,000')
('SU002842шт', ['30,00', '78.900'], '180,000')
('SU002618шт', ['9,00', '23.724'], '54,000')
('SU002621шт', ['9,00', '23.670'], '54,000')
('SU002844шт', ['14,00', '36.400'], '84,000')
('SU002758шт', ['10,00', '26.300'], '60,000')
('SU003921шт', ['6,00', '11.880'], '90,000')
('SU003922шт', ['3,00', '3.618'], '54,000')
('SU003920шт', ['3,00', '5.940'], '45,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU003923шт', ['2,00', '2.412'], '36,000')
('SU003389кг', ['6,00', '67.550'], '65,150')
('SU003387кг', ['14,00', '157.205'], '151,885')
('SU002801шт', ['5,00', '13.150'], '30,000')
('SU002799шт', ['12,00', '31.488'], '72,000')
('SU003394кг', ['5,00', '55.724'], '53,674')
('SU003396кг', ['9,00', '99.937'], '96,247')
