ООО НВ Тс005152-26 11.01.2026 Момот 1235кг.pdf Бутырин +
('SU001523кг', ['9,00', '78.040'], '73,702')
('SU001721кг', ['10,00', '87.026'], '82,206')
('SU002618шт', ['22,00', '57.860'], '132,000')
('SU002621шт', ['18,00', '47.448'], '108,000')
('SU002801шт', ['10,00', '25.700'], '60,000')
('SU002799шт', ['13,00', '34.112'], '78,000')
('SU000227кг', ['5,00', '42.084'], '39,674')
('SU003422кг', ['10,00', '153.010'], '148,320')
('SU000251кг', ['8,00', '126.265'], '122,505')
('SU000126кг', ['9,00', '138.010'], '134,050')
('SU002010кг', ['40,00', '225.922'], '211,922')
('SU002035кг', ['21,00', '117.567'], '107,957')
('SU002150кг', ['12,00', '67.430'], '63,590')
('SU002158кг', ['7,00', '39.273'], '36,823')
('SU002151кг', ['12,00', '67.468'], '63,268')

ООО НВ Тс005154-26 11.01.2026 Момот 12564кг.pdf Донецк +
('SU000722кг', ['52,00', '579.310'], '555,910')
('SU003642кг', ['3,00', '34.145'], '32,915')
('SU002829кг', ['31,00', '344.492'], '332,588')
('SU002831шт', ['2,00', '8.380'], '20,000')
('SU002828кг', ['7,00', '78.231'], '75,361')
('SU002835кг', ['12,00', '94.564'], '88,780')
('SU002830кг', ['48,00', '532.562'], '512,882')
('SU001523кг', ['15,00', '130.107'], '122,877')
('SU001718шт', ['77,00', '225.610'], '462,000')
('SU002928кг', ['87,00', '970.920'], '933,510')
('SU002734шт', ['48,00', '225.120'], '480,000')
('SU002735шт', ['15,00', '38.550'], '90,000')
('SU001721кг', ['62,00', '540.736'], '510,852')
('SU001720шт', ['56,00', '164.080'], '336,000')
('SU002756кг', ['6,00', '27.382'], '26,026')
('SU002847кг', ['6,00', '27.381'], '25,989')
('SU003829шт', ['4,00', '7.744'], '24,000')
('SU002848шт', ['102,00', '228.072'], '612,000')
('SU003893шт', ['4,00', '5.760'], '72,000')
('SU003894шт', ['1,00', '1.440'], '18,000')
('SU002941кг', ['183,00', '1.042.129'], '996,379')
('SU002943кг', ['28,00', '158.459'], '151,459')
('SU002947кг', ['25,00', '142.040'], '135,790')
('SU002944шт', ['23,00', '44.528'], '138,000')
('SU002942шт', ['19,00', '36.784'], '114,000')
('SU002948шт', ['28,00', '54.376'], '168,000')
('SU002843кг', ['8,00', '68.359'], '64,503')
('SU002845кг', ['2,00', '17.571'], '16,607')
('SU002725кг', ['17,00', '156.101'], '147,907')
('SU002686шт', ['1,00', '2.630'], '6,000')
('SU002844шт', ['18,00', '47.556'], '108,000')
('SU002759шт', ['3,00', '7.710'], '18,000')
('SU003924шт', ['3,00', '3.618'], '54,000')
('SU002801шт', ['44,00', '114.440'], '264,000')
('SU002799шт', ['22,00', '57.728'], '132,000')
('SU002252шт', ['2,00', '4.036'], '12,000')
('SU000227кг', ['45,00', '378.404'], '356,714')
('SU001920кг', ['3,00', '9.463'], '8,719')
('SU003422кг', ['63,00', '978.230'], '948,620')
('SU003423кг', ['39,00', '604.743'], '586,413')
('SU000251кг', ['47,00', '740.173'], '718,083')
('SU003420кг', ['63,00', '987.767'], '958,157')
('SU000126кг', ['34,00', '523.290'], '507,490')
('SU002074кг', ['2,00', '19.570'], '18,606')
('SU002011кг', ['3,00', '16.995'], '15,606')
('SU002634кг', ['156,00', '851.800'], '801,860')
('SU002010кг', ['102,00', '574.648'], '540,828')
('SU002632шт', ['33,00', '164.670'], '264,000')
('SU002035кг', ['128,00', '717.683'], '658,532')
('SU002150кг', ['45,00', '253.620'], '239,220')
('SU002158кг', ['12,00', '67.248'], '63,048')
('SU002151кг', ['12,00', '67.470'], '63,270')

ООО ЛП Тс005153-26 11.01.2026 Момот 3560кг.pdf ПРС +
('SU003665шт', ['50,00', '101.500'], '300,000')
('SU001485шт', ['35,00', '146.650'], '350,000')
('SU003313шт', ['59,00', '120.478'], '354,000')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002825шт', ['50,00', '101.800'], '300,000')
('SU003288шт', ['50,00', '101.500'], '300,000')
('SU002834шт', ['50,00', '134.300'], '300,000')
('SU003336шт', ['59,00', '120.478'], '354,000')
('SU002618шт', ['34,00', '89.420'], '204,000')
('SU002621шт', ['59,00', '155.524'], '354,000')
('SU003274шт', ['30,00', '125.700'], '300,000')
('SU003272шт', ['30,00', '125.700'], '300,000')
('SU003388шт', ['30,00', '125.700'], '300,000')
('SU002801шт', ['50,00', '128.560'], '300,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU003340шт', ['59,00', '229.274'], '354,000')
('SU003393шт', ['30,00', '125.700'], '300,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['50,00', '100.900'], '300,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['50,00', '116.200'], '300,000')
('SU003168шт', ['59,00', '136.762'], '354,000')
('SU003421шт', ['35,00', '181.650'], '350,000')
('SU002027шт', ['30,00', '125.700'], '300,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '111.800'], '300,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002603шт', ['34,00', '76.024'], '204,000')
('SU002285шт', ['50,00', '131.300'], '200,000')
('SU002557шт', ['34,00', '75.344'], '204,000')
('SU002631шт', ['44,00', '219.560'], '352,000')

