ООО НВ ЮТс-00312-26 19.01.2026 Митину 7957кг.pdf
('SU003975шт', ['12,00', '89.160'], '96,000')
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003600шт', ['56,00', '94.080'], '336,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['192,00', '1.000.896'], '960,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['42,00', '160.440'], '504,000')
('SU003887шт', ['70,00', '217.000'], '840,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU002573шт', ['70,00', '163.800'], '1_680,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003727шт', ['42,00', '120.120'], '504,000')
('SU003578шт', ['154,00', '495.880'], '1_848,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003944шт', ['28,00', '90.496'], '336,000')
('SU003576шт', ['28,00', '90.496'], '336,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003020кг', ['132,00', '822.360'], '792,000')
('SU003012кг', ['84,00', '241.920'], '226,800')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['56,00', '178.080'], '168,000')
('SU003439кг', ['182,00', '706.160'], '673,400')

ООО НВ Тс011650-26 19.01.2026 Митину 1628кг.pdf
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003944шт', ['42,00', '135.744'], '504,000')
('SU003601шт', ['56,00', '104.160'], '336,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

