ООО НВ Тс011702-26 19.01.2026 Решетников 1937кг.pdf Павленко +
('SU002050уп', ['9,00', '7.740'], '108,000')
('SU000722кг', ['10,00', '110.787'], '106,687')
('SU002829кг', ['10,00', '111.761'], '107,661')
('SU002830кг', ['10,00', '111.865'], '107,765')
('SU002928кг', ['10,00', '111.495'], '107,395')
('SU003422кг', ['20,00', '308.413'], '299,013')
('SU003423кг', ['20,00', '311.030'], '301,630')
('SU000251кг', ['20,00', '308.921'], '299,521')
('SU000126кг', ['20,00', '308.374'], '299,334')
('SU002634кг', ['20,00', '109.030'], '102,630')
('SU002010кг', ['19,00', '106.210'], '100,130')
('SU002035кг', ['19,00', '106.595'], '99,945')

ООО ЛП Тс011524-26 19.01.2026 Решетников 7347кг.pdf ПРС +
('SU003665шт', ['113,00', '229.390'], '678,000')
('SU001485шт', ['60,00', '251.400'], '600,000')
('SU003313шт', ['132,00', '269.544'], '792,000')
('SU002814шт', ['100,00', '287.000'], '600,000')
('SU002825шт', ['113,00', '230.068'], '678,000')
('SU003288шт', ['113,00', '229.390'], '678,000')
('SU002834шт', ['113,00', '303.518'], '678,000')
('SU003336шт', ['100,00', '204.200'], '600,000')
('SU002367шт', ['75,00', '168.450'], '450,000')
('SU002618шт', ['75,00', '197.250'], '450,000')
('SU002621шт', ['100,00', '263.000'], '600,000')
('SU003274шт', ['68,00', '284.920'], '680,000')
('SU003272шт', ['68,00', '284.920'], '680,000')
('SU003388шт', ['68,00', '284.920'], '680,000')
('SU002801шт', ['113,00', '297.190'], '678,000')
('SU002799шт', ['100,00', '262.400'], '600,000')
('SU003340шт', ['100,00', '388.600'], '600,000')
('SU003393шт', ['68,00', '284.920'], '680,000')
('SU002617шт', ['113,00', '252.668'], '678,000')
('SU002252шт', ['113,00', '228.034'], '678,000')
('SU002368шт', ['34,00', '74.800'], '680,000')
('SU003167шт', ['113,00', '261.934'], '678,000')
('SU003168шт', ['100,00', '231.800'], '600,000')
('SU003421шт', ['60,00', '311.400'], '600,000')
('SU002027шт', ['68,00', '284.920'], '680,000')
('SU002538шт', ['113,00', '254.024'], '678,000')
('SU002602шт', ['113,00', '252.668'], '678,000')
('SU002606шт', ['34,00', '76.024'], '204,000')
('SU002603шт', ['75,00', '167.700'], '450,000')
('SU002285шт', ['113,00', '296.738'], '452,000')
('SU002557шт', ['75,00', '166.200'], '450,000')
('SU002631шт', ['75,00', '374.250'], '600,000')

ООО НВ Тс011681-26 19.01.2026 Решетников 5453кг.pdf Донецк +
('SU002830кг', ['14,00', '156.286'], '150,546')
('SU002816шт', ['20,00', '93.800'], '200,000')
('SU001718шт', ['84,00', '246.120'], '504,000')
('SU001721кг', ['38,00', '331.650'], '313,334')
('SU001720шт', ['84,00', '247.128'], '504,000')
('SU002842шт', ['34,00', '89.828'], '204,000')
('SU002618шт', ['167,00', '439.210'], '1_002,000')
('SU002844шт', ['50,00', '132.100'], '300,000')
('SU000227кг', ['52,00', '433.888'], '408,824')
('SU003422кг', ['67,00', '1.034.463'], '1_002,973')
('SU003423кг', ['10,00', '157.135'], '152,435')
('SU002074кг', ['177,00', '1.594.642'], '1_509,328')
('SU002011кг', ['6,00', '33.694'], '31,594')
('SU002010кг', ['67,00', '376.370'], '354,930')
('SU002632шт', ['38,00', '189.620'], '304,000')
('SU002150кг', ['38,00', '213.020'], '200,860')

ООО НВ Тс011673-26 19.01.2026 Решетников 44кг.pdf Донецк(ИОСГ) +
('SU003503шт', ['20,00', '49.000'], '120,000')

ООО НВ Тс011692-26 19.01.2026 Решетников 2451кг.pdf Луганск +
('SU001523кг', ['13,00', '112.884'], '106,618')
('SU001718шт', ['17,00', '49.810'], '102,000')
('SU001721кг', ['13,00', '114.044'], '107,778')
('SU001720шт', ['34,00', '100.028'], '204,000')
('SU002848шт', ['17,00', '38.012'], '102,000')
('SU002725кг', ['12,00', '112.450'], '106,666')
('SU002621шт', ['84,00', '220.920'], '504,000')
('SU002686шт', ['17,00', '44.710'], '102,000')
('SU000227кг', ['26,00', '221.156'], '208,624')
('SU003423кг', ['7,00', '109.529'], '106,239')
('SU003420кг', ['20,00', '309.112'], '299,712')
('SU000126кг', ['20,00', '306.130'], '297,930')
('SU002074кг', ['82,00', '741.164'], '701,640')
('SU002151кг', ['19,00', '107.184'], '100,534')

