ООО КСК ТРЕЙД Тс011564-26 21.01.2026 Латий 17676кг.pdf
('SU000722кг', ['14,00', '155.619'], '149,879')
('SU001485шт', ['70,00', '293.300'], '700,000')
('SU002829кг', ['13,00', '144.237'], '138,907')
('SU002829кг', ['6,00', '67.332'], '64,872')
('SU002815шт', ['80,00', '375.200'], '800,000')
('SU002828кг', ['19,00', '213.917'], '206,127')
('SU002814шт', ['50,00', '143.500'], '300,000')
('SU002835кг', ['8,00', '69.388'], '65,532')
('SU002830кг', ['19,00', '214.842'], '207,052')
('SU002816шт', ['80,00', '375.200'], '800,000')
('SU001523кг', ['51,00', '433.712'], '409,130')
('SU001718шт', ['13,00', '38.090'], '78,000')
('SU001718шт', ['154,00', '451.220'], '924,000')
('SU002928кг', ['5,00', '55.708'], '53,658')
('SU002734шт', ['70,00', '328.300'], '700,000')
('SU002356шт', ['2,00', '2.440'], '20,000')
('SU001721кг', ['50,00', '434.906'], '410,806')
('SU001720шт', ['167,00', '491.314'], '1_002,000')
('SU003336шт', ['17,00', '34.714'], '102,000')
('SU002367шт', ['27,00', '60.642'], '162,000')
('SU002983шт', ['24,00', '81.600'], '192,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU002984шт', ['20,00', '57.920'], '160,000')
('SU004041кг', ['5,00', '22.561'], '21,401')
('SU004047кг', ['12,00', '54.304'], '51,520')
('SU002756кг', ['12,00', '54.721'], '52,009')
('SU002876кг', ['8,00', '36.378'], '34,570')
('SU002847кг', ['20,00', '91.263'], '86,743')
('SU002660шт', ['50,00', '111.800'], '300,000')
('SU002877шт', ['50,00', '111.800'], '300,000')
('SU003178шт', ['2,00', '2.080'], '20,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU003893шт', ['4,00', '5.760'], '72,000')
('SU003894шт', ['5,00', '7.200'], '90,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002941кг', ['21,00', '119.165'], '113,915')
('SU002943кг', ['6,00', '34.371'], '32,871')
('SU002945кг', ['84,00', '474.979'], '455,491')
('SU002947кг', ['10,00', '56.871'], '54,371')
('SU002944шт', ['59,00', '114.224'], '354,000')
('SU002942шт', ['25,00', '48.400'], '150,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['14,00', '131.161'], '124,413')
('SU002842шт', ['134,00', '354.028'], '804,000')
('SU002618шт', ['117,00', '308.412'], '702,000')
('SU002686шт', ['42,00', '110.460'], '252,000')
('SU002844шт', ['100,00', '260.714'], '600,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU002758шт', ['14,00', '36.820'], '84,000')
('SU003273кг', ['3,00', '35.703'], '34,473')
('SU003271кг', ['5,00', '59.667'], '57,617')
('SU003274шт', ['5,00', '20.950'], '50,000')
('SU003272шт', ['10,00', '41.900'], '100,000')
('SU003921шт', ['4,00', '7.920'], '60,000')
('SU003925шт', ['3,00', '3.348'], '54,000')
('SU002801шт', ['25,00', '65.750'], '150,000')
('SU002799шт', ['67,00', '175.808'], '402,000')
('SU002617шт', ['59,00', '131.924'], '354,000')
('SU002252шт', ['15,00', '30.270'], '90,000')
('SU001051кг', ['5,00', '45.783'], '43,373')
('SU000227кг', ['57,00', '481.662'], '454,188')
('SU001430кг', ['31,00', '272.926'], '257,984')
('SU002092шт', ['34,00', '95.540'], '510,000')
('SU001869шт', ['100,00', '281.000'], '1_500,000')
('SU003167шт', ['334,00', '774.212'], '2_004,000')
('SU003168шт', ['300,00', '695.400'], '1_800,000')
('SU003422кг', ['101,00', '1.548.364'], '1_500,894')
('SU003423кг', ['47,00', '731.923'], '709,833')
('SU003420кг', ['100,00', '1.552.485'], '1_505,485')
('SU000251кг', ['40,00', '618.560'], '599,760')
('SU003421шт', ['3,00', '15.570'], '30,000')
('SU000126кг', ['67,00', '1.035.532'], '1_004,042')
('SU002027шт', ['3,00', '12.570'], '30,000')
('SU000246кг', ['2,00', '18.379'], '17,415')
('SU000246кг', ['1,00', '9.378'], '8,896')
('SU002287кг', ['5,00', '47.644'], '45,234')
('SU003425кг', ['4,00', '49.841'], '48,201')
('SU002074кг', ['3,00', '27.220'], '25,774')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002604шт', ['3,00', '6.726'], '18,000')
('SU003342шт', ['17,00', '24.310'], '102,000')
('SU002011кг', ['10,00', '56.415'], '52,915')
('SU002634кг', ['20,00', '108.741'], '102,141')
('SU002010кг', ['28,00', '157.801'], '148,001')
('SU002632шт', ['20,00', '99.800'], '160,000')
('SU002631шт', ['24,00', '119.760'], '192,000')
('SU002035кг', ['29,00', '164.268'], '154,118')
('SU002150кг', ['6,00', '33.784'], '31,804')
('SU002158кг', ['14,00', '78.804'], '73,904')
('SU002151кг', ['19,00', '106.664'], '100,014')
('SU002916шт', ['8,00', '39.920'], '64,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['12,00', '59.880'], '96,000')
('SU002808кг', ['2,00', '24.889'], '24,069')
('SU002655кг', ['116,00', '1.067.776'], '1_011,864')

