ООО НВ Тс016507-26 27.01.2026 Хохлов 10008кг.pdf Поляков +
('SU002829кг', ['24,00', '266.559'], '256,719')
('SU002828кг', ['8,00', '89.287'], '86,007')
('SU001523кг', ['76,00', '436.122'], '405,874')
('SU001718шт', ['20,00', '58.600'], '120,000')
('SU002928кг', ['19,00', '211.523'], '203,733')
('SU001720шт', ['17,00', '50.014'], '102,000')
('SU002756кг', ['47,00', '215.882'], '205,260')
('SU002618шт', ['34,00', '89.420'], '204,000')
('SU001820кг', ['36,00', '158.525'], '150,389')
('SU001051кг', ['31,00', '268.055'], '253,113')
('SU003422кг', ['67,00', '1.034.755'], '1_003,265')
('SU003423кг', ['101,00', '1.562.244'], '1_514,774')
('SU003420кг', ['34,00', '525.527'], '509,547')
('SU000126кг', ['199,00', '3.085.610'], '2_993,520')
('SU000246кг', ['27,00', '270.301'], '257,287')
('SU002287кг', ['24,00', '218.902'], '207,334')
('SU002614кг', ['38,00', '214.016'], '204,516')
('SU002615кг', ['10,00', '56.270'], '53,770')
('SU002613кг', ['57,00', '320.371'], '306,121')
('SU002602шт', ['5,00', '11.180'], '30,000')
('SU002604шт', ['17,00', '38.114'], '102,000')
('SU002010кг', ['86,00', '484.350'], '456,830')
('SU002035кг', ['58,00', '324.757'], '304,457')
('SU002150кг', ['23,00', '130.050'], '122,690')
('SU002158кг', ['19,00', '106.970'], '100,320')
('SU002151кг', ['35,00', '196.218'], '185,168')

ООО ЛП Тс016460-26 27.01.2026 Хохлов 3929кг.pdf ПРС +
('SU003665шт', ['50,00', '101.500'], '300,000')
('SU001485шт', ['35,00', '146.650'], '350,000')
('SU003313шт', ['59,00', '120.478'], '354,000')
('SU002814шт', ['59,00', '169.330'], '354,000')
('SU002825шт', ['59,00', '120.124'], '354,000')
('SU003288шт', ['50,00', '101.500'], '300,000')
('SU002834шт', ['50,00', '134.300'], '300,000')
('SU003336шт', ['59,00', '120.478'], '354,000')
('SU002367шт', ['64,00', '143.744'], '384,000')
('SU002618шт', ['67,00', '176.210'], '402,000')
('SU002621шт', ['59,00', '155.170'], '354,000')
('SU003274шт', ['30,00', '125.700'], '300,000')
('SU003272шт', ['29,00', '121.510'], '290,000')
('SU003272шт', ['1,00', '4.190'], '10,000')
('SU003388шт', ['30,00', '125.700'], '300,000')
('SU002801шт', ['50,00', '131.500'], '300,000')
('SU002799шт', ['59,00', '154.816'], '354,000')
('SU003340шт', ['59,00', '229.274'], '354,000')
('SU003393шт', ['30,00', '125.700'], '300,000')
('SU002617шт', ['50,00', '111.800'], '300,000')
('SU002252шт', ['50,00', '100.900'], '300,000')
('SU002368шт', ['19,00', '41.800'], '380,000')
('SU003167шт', ['50,00', '115.900'], '300,000')
('SU003168шт', ['59,00', '137.470'], '354,000')
('SU003421шт', ['35,00', '181.650'], '350,000')
('SU002027шт', ['30,00', '125.700'], '300,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '111.800'], '300,000')
('SU002606шт', ['59,00', '131.924'], '354,000')
('SU002603шт', ['50,00', '111.800'], '300,000')
('SU002285шт', ['75,00', '196.950'], '300,000')
('SU002557шт', ['50,00', '110.800'], '300,000')
('SU002631шт', ['32,00', '159.680'], '256,000')

ООО НВ Тс016510-26 27.01.2026 Хохлов 2326кг.pdf Мелитополь +
('SU003422кг', ['75,00', '1.157.643'], '1_122,393')
('SU000126кг', ['80,00', '1.241.547'], '1_203,947')

ООО НВ Тс016509-26 27.01.2026 Хохлов 1656кг.pdf Бердянск +
('SU000722кг', ['2,00', '22.540'], '21,720')
('SU002831шт', ['4,00', '16.760'], '40,000')
('SU001718шт', ['77,00', '225.610'], '462,000')
('SU001720шт', ['99,00', '291.258'], '594,000')
('SU002847кг', ['16,00', '72.833'], '69,217')
('SU002660шт', ['1,00', '2.236'], '6,000')
('SU003829шт', ['1,00', '1.936'], '6,000')
('SU003893шт', ['1,00', '1.440'], '18,000')
('SU003894шт', ['2,00', '2.880'], '36,000')
('SU003896шт', ['1,00', '1.440'], '18,000')
('SU002947кг', ['5,00', '28.347'], '27,097')
('SU002942шт', ['13,00', '25.168'], '78,000')
('SU002948шт', ['12,00', '23.304'], '72,000')
('SU002845кг', ['5,00', '43.313'], '40,903')
('SU002842шт', ['10,00', '26.300'], '60,000')
('SU002618шт', ['73,00', '191.990'], '438,000')
('SU002621шт', ['75,00', '197.250'], '450,000')
('SU002686шт', ['20,00', '52.600'], '120,000')
('SU003921шт', ['1,00', '1.980'], '15,000')
('SU002801шт', ['9,00', '23.670'], '54,000')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU001869шт', ['7,00', '19.670'], '105,000')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU002287кг', ['8,00', '75.157'], '71,301')
('SU002182кг', ['13,00', '73.283'], '68,733')
('SU002634кг', ['26,00', '141.309'], '132,729')
('SU002010кг', ['11,00', '61.921'], '58,071')
('SU002631шт', ['4,00', '19.960'], '32,000')
('SU002150кг', ['3,00', '16.935'], '15,885')
('SU002158кг', ['8,00', '44.882'], '42,082')
('SU002151кг', ['13,00', '73.034'], '68,484')

