ООО НВ Тс134368-26 03.07.2026 Мелитополь 4942кг (Дьяченков).pdf
('SU003600шт', ['42,00', '70.560'], '252,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003677шт', ['56,00', '77.280'], '336,000')
('SU003676шт', ['56,00', '77.280'], '336,000')
('SU002798кг', ['72,00', '208.800'], '194,400')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU003889шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003613шт', ['42,00', '160.860'], '420,000')
('SU003460шт', ['60,00', '433.800'], '600,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['28,00', '90.496'], '336,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU003797шт', ['70,00', '225.400'], '840,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU002268шт', ['252,00', '1.317.960'], '1_260,000')

ООО НВ Тс134370-26 03.07.2026 Трояны 7253кг (Дьяченков).pdf
('SU003975шт', ['36,00', '267.480'], '288,000')
('SU003973шт', ['24,00', '178.320'], '192,000')
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003676шт', ['42,00', '57.960'], '252,000')
('SU002595кг', ['132,00', '688.116'], '660,000')
('SU003593шт', ['14,00', '83.720'], '168,000')
('SU003591шт', ['42,00', '160.440'], '504,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['14,00', '43.400'], '168,000')
('SU003889шт', ['28,00', '86.800'], '336,000')
('SU003892шт', ['28,00', '86.800'], '336,000')
('SU003884шт', ['28,00', '86.800'], '336,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['28,00', '123.760'], '392,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003459шт', ['96,00', '694.080'], '960,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU004034шт', ['70,00', '126.000'], '420,000')
('SU004032шт', ['28,00', '50.400'], '168,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['34,00', '109.480'], '408,000')
('SU003580шт', ['8,00', '25.760'], '96,000')
('SU003944шт', ['14,00', '45.248'], '168,000')
('SU003576шт', ['56,00', '180.992'], '672,000')
('SU003872шт', ['14,00', '36.680'], '168,000')
('SU003870шт', ['14,00', '36.680'], '168,000')
('SU003601шт', ['84,00', '156.240'], '504,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003930шт', ['28,00', '83.440'], '336,000')
('SU004012шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['36,00', '188.280'], '180,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003020кг', ['156,00', '971.880'], '936,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU004087кг', ['12,00', '62.760'], '60,000')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

