ООО НВ Тс138927-26 05.07.2026 Сочи 1551кг (Жабкин).pdf
('SU001721кг', ['28,00', '244.593'], '231,097')
('SU002618шт', ['50,00', '131.500'], '300,000')
('SU002621шт', ['24,00', '63.120'], '144,000')
('SU003422кг', ['17,00', '263.942'], '255,952')
('SU000126кг', ['16,00', '249.059'], '241,539')
('SU002634кг', ['79,00', '428.730'], '402,380')
('SU002035кг', ['46,00', '258.920'], '242,728')

ООО НВ Тс138939-26 05.07.2026 Донецк 6992кг (Жабкин).pdf
('SU000722кг', ['29,00', '320.317'], '308,427')
('SU002829кг', ['7,00', '78.070'], '74,990')
('SU002815шт', ['12,00', '56.280'], '120,000')
('SU002830кг', ['16,00', '180.036'], '173,476')
('SU002816шт', ['7,00', '32.830'], '70,000')
('SU002928кг', ['10,00', '111.168'], '107,068')
('SU001720шт', ['31,00', '90.830'], '186,000')
('SU004045шт', ['14,00', '25.424'], '84,000')
('SU002842шт', ['20,00', '52.600'], '120,000')
('SU002618шт', ['40,00', '105.200'], '240,000')
('SU002621шт', ['19,00', '49.970'], '114,000')
('SU002844шт', ['12,00', '31.704'], '72,000')
('SU004104кг', ['12,00', '104.014'], '99,094')
('SU003422кг', ['36,00', '550.358'], '533,438')
('SU003423кг', ['20,00', '311.134'], '301,734')
('SU003420кг', ['58,00', '896.384'], '869,124')
('SU000126кг', ['48,00', '747.192'], '724,632')
('SU002074кг', ['194,00', '1.771.979'], '1_678,471')
('SU002011кг', ['15,00', '84.001'], '79,186')
('SU002634кг', ['54,00', '293.630'], '274,770')
('SU002010кг', ['121,00', '680.600'], '640,670')
('SU002631шт', ['14,00', '69.860'], '112,000')
('SU002035кг', ['53,00', '298.845'], '280,189')
('SU002150кг', ['19,00', '106.280'], '100,200')
('SU002158кг', ['51,00', '287.780'], '268,655')

ООО НВ Тс138940-26 05.07.2026 Сочи 666кг (Жабкин).pdf
('SU002830кг', ['4,00', '45.025'], '43,385')
('SU001721кг', ['7,00', '61.145'], '57,771')
('SU002945кг', ['4,00', '22.536'], '21,608')
('SU002618шт', ['20,00', '52.600'], '120,000')
('SU003423кг', ['5,00', '77.919'], '75,569')
('SU003420кг', ['8,00', '122.909'], '119,149')
('SU002074кг', ['10,00', '91.116'], '86,296')
('SU002634кг', ['11,00', '59.620'], '55,990')
('SU002035кг', ['10,00', '56.283'], '52,763')
('SU002150кг', ['6,00', '33.570'], '31,650')
('SU002151кг', ['14,00', '78.870'], '73,970')

ООО ЛП Тс138841-26 05.07.2026 Сочи 6201кг (Жабкин).pdf
('SU002074кг', ['402,00', '3.688.891'], '3_495,127')
('SU002634кг', ['236,00', '1.285.000'], '1_202,960')
('SU002010кг', ['284,00', '1.594.900'], '1_503,260')

ООО ЛП Тс138865-26 05.07.2026 Сочи 1908кг (Жабкин).pdf
('SU001485шт', ['20,00', '83.800'], '200,000')
('SU002814шт', ['20,00', '57.400'], '120,000')
('SU002825шт', ['27,00', '54.972'], '162,000')
('SU003288шт', ['36,00', '73.080'], '216,000')
('SU002834шт', ['10,00', '26.860'], '60,000')
('SU002354шт', ['9,00', '18.000'], '90,000')
('SU001718шт', ['25,00', '73.250'], '150,000')
('SU003745шт', ['4,00', '5.520'], '40,000')
('SU003745шт', ['9,00', '9.972'], '72,000')
('SU002356шт', ['20,00', '25.600'], '200,000')
('SU003336шт', ['20,00', '40.840'], '120,000')
('SU004026шт', ['18,00', '19.620'], '180,000')
('SU003178шт', ['20,00', '21.200'], '200,000')
('SU002618шт', ['30,00', '78.900'], '180,000')
('SU002621шт', ['29,00', '76.270'], '174,000')
('SU003274шт', ['12,00', '50.280'], '120,000')
('SU003272шт', ['18,00', '75.420'], '180,000')
('SU003388шт', ['23,00', '96.370'], '230,000')
('SU002799шт', ['27,00', '71.010'], '162,000')
('SU003340шт', ['20,00', '77.720'], '120,000')
('SU003393шт', ['19,00', '79.610'], '190,000')
('SU002617шт', ['25,00', '55.900'], '150,000')
('SU002252шт', ['27,00', '54.486'], '162,000')
('SU002092шт', ['12,00', '33.720'], '180,000')
('SU002368шт', ['6,00', '13.200'], '120,000')
('SU003167шт', ['25,00', '57.950'], '150,000')
('SU003421шт', ['24,00', '124.560'], '240,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002606шт', ['25,00', '55.900'], '150,000')
('SU002603шт', ['50,00', '111.800'], '300,000')
('SU002285шт', ['38,00', '99.788'], '152,000')
('SU002557шт', ['38,00', '84.208'], '228,000')
('SU002632шт', ['15,00', '74.850'], '120,000')
('SU002631шт', ['15,00', '74.850'], '120,000')

