ООО НВ Тс139826-26 06.07.2026 Мелитополь 10178кг (Дубов).pdf
('SU003642кг', ['1,00', '11.255'], '10,885')
('SU002829кг', ['6,00', '67.225'], '64,765')
('SU002835кг', ['36,00', '287.110'], '269,758')
('SU002830кг', ['8,00', '90.855'], '87,575')
('SU002816шт', ['9,00', '42.210'], '90,000')
('SU001523кг', ['120,00', '698.107'], '650,347')
('SU001718шт', ['12,00', '35.160'], '72,000')
('SU002928кг', ['3,00', '33.500'], '32,270')
('SU002734шт', ['2,00', '9.380'], '20,000')
('SU002833кг', ['1,00', '11.198'], '10,788')
('SU002735шт', ['19,00', '48.830'], '114,000')
('SU001721кг', ['78,00', '680.130'], '642,534')
('SU001720шт', ['4,00', '11.720'], '24,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['10,00', '30.560'], '80,000')
('SU002984шт', ['21,00', '60.816'], '168,000')
('SU004044кг', ['54,00', '204.947'], '192,527')
('SU004039шт', ['17,00', '30.872'], '102,000')
('SU004045шт', ['40,00', '72.640'], '240,000')
('SU004042шт', ['14,00', '25.424'], '84,000')
('SU002756кг', ['8,00', '36.503'], '34,695')
('SU002876кг', ['14,00', '63.489'], '60,325')
('SU002847кг', ['21,00', '96.149'], '91,403')
('SU002660шт', ['22,00', '49.192'], '132,000')
('SU003178шт', ['8,00', '8.480'], '80,000')
('SU002848шт', ['30,00', '67.080'], '180,000')
('SU003893шт', ['3,00', '4.320'], '54,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002945кг', ['53,00', '297.900'], '285,604')
('SU002944шт', ['12,00', '23.232'], '72,000')
('SU002843кг', ['2,00', '17.358'], '16,394')
('SU002842шт', ['28,00', '73.640'], '168,000')
('SU002618шт', ['45,00', '118.620'], '270,000')
('SU002618шт', ['70,00', '184.100'], '420,000')
('SU002621шт', ['1,00', '2.630'], '6,000')
('SU003274шт', ['9,00', '37.710'], '90,000')
('SU003921шт', ['6,00', '11.880'], '90,000')
('SU003925шт', ['9,00', '10.044'], '162,000')
('SU002252шт', ['14,00', '28.252'], '84,000')
('SU000227кг', ['56,00', '512.856'], '489,896')
('SU001430кг', ['7,00', '64.218'], '60,844')
('SU001921кг', ['9,00', '26.270'], '24,182')
('SU001920кг', ['15,00', '44.648'], '40,928')
('SU002840шт', ['1,00', '2.200'], '20,000')
('SU002368шт', ['12,00', '26.400'], '240,000')
('SU004131кг', ['5,00', '73.957'], '71,607')
('SU003422кг', ['12,00', '178.683'], '173,043')
('SU003423кг', ['84,00', '1.291.517'], '1_252,037')
('SU003420кг', ['96,00', '1.482.187'], '1_437,067')
('SU000126кг', ['131,00', '2.029.199'], '1_967,183')
('SU000246кг', ['5,00', '45.532'], '43,122')
('SU002287кг', ['14,00', '128.382'], '121,634')
('SU002614кг', ['9,00', '51.675'], '49,425')
('SU002613кг', ['12,00', '68.586'], '65,586')
('SU002612кг', ['18,00', '103.083'], '98,583')
('SU002182кг', ['3,00', '16.856'], '15,806')
('SU002010кг', ['60,00', '336.250'], '316,450')
('SU002035кг', ['58,00', '325.373'], '304,957')
('SU002158кг', ['6,00', '33.965'], '31,715')
('SU002151кг', ['31,00', '174.645'], '163,795')
('SU002918шт', ['3,00', '14.970'], '24,000')

ООО НВ Тс139782-26 06.07.2026 Трояны 3315кг (Дубов).pdf
('SU002815шт', ['5,00', '23.450'], '50,000')
('SU002835кг', ['10,00', '81.824'], '77,004')
('SU002354шт', ['2,00', '4.000'], '20,000')
('SU002733шт', ['2,00', '7.880'], '20,000')
('SU002734шт', ['5,00', '23.450'], '50,000')
('SU001720шт', ['20,00', '58.600'], '120,000')
('SU002983шт', ['10,00', '34.000'], '80,000')
('SU002985шт', ['5,00', '15.280'], '40,000')
('SU002984шт', ['14,00', '40.544'], '112,000')
('SU004044кг', ['17,00', '65.019'], '61,109')
('SU003753шт', ['2,00', '2.280'], '20,000')
('SU003751шт', ['4,00', '4.560'], '40,000')
('SU003751шт', ['1,00', '0.932'], '8,000')
('SU004045шт', ['39,00', '70.824'], '234,000')
('SU003988шт', ['2,00', '2.320'], '20,000')
('SU004026шт', ['13,00', '14.170'], '130,000')
('SU002660шт', ['17,00', '38.012'], '102,000')
('SU003829шт', ['23,00', '44.528'], '138,000')
('SU003178шт', ['8,00', '8.480'], '80,000')
('SU002945кг', ['61,00', '341.661'], '327,509')
('SU002843кг', ['1,00', '8.566'], '8,084')
('SU002842шт', ['15,00', '39.450'], '90,000')
('SU003921шт', ['3,00', '5.940'], '45,000')
('SU003925шт', ['2,00', '2.232'], '36,000')
('SU002799шт', ['13,00', '34.190'], '78,000')
('SU001430кг', ['12,00', '113.068'], '107,092')
('SU003167шт', ['50,00', '115.900'], '300,000')
('SU000126кг', ['34,00', '527.126'], '511,146')
('SU000246кг', ['3,00', '27.690'], '26,244')
('SU002074кг', ['77,00', '703.364'], '666,250')
('SU002074кг', ['64,00', '579.922'], '549,074')
('SU002205шт', ['4,00', '10.520'], '24,000')
('SU002011кг', ['7,00', '39.382'], '36,932')
('SU002182кг', ['1,00', '5.688'], '5,338')
('SU002631шт', ['22,00', '109.780'], '176,000')
('SU002643шт', ['16,00', '79.840'], '128,000')
('SU002150кг', ['8,00', '44.938'], '42,138')
('SU002655кг', ['19,00', '175.110'], '165,952')

