ООО ЛП Тс144833-26 12.07.2026 Орёл 3680кг (Алябьев).pdf
('SU004041кг', ['3,00', '11.196'], '10,506')
('SU004047кг', ['3,00', '11.616'], '10,926')
('SU004044кг', ['6,00', '22.861'], '21,481')
('SU004039шт', ['6,00', '10.896'], '36,000')
('SU004045шт', ['6,00', '10.896'], '36,000')
('SU004042шт', ['6,00', '10.896'], '36,000')
('SU003387кг', ['10,00', '111.885'], '107,885')
('SU003388шт', ['3,00', '12.570'], '30,000')
('SU004103кг', ['4,00', '34.641'], '33,001')
('SU004104кг', ['4,00', '34.733'], '33,093')
('SU004106кг', ['4,00', '34.032'], '32,392')
('SU001869шт', ['6,00', '16.860'], '90,000')
('SU003425кг', ['17,00', '210.918'], '203,948')
('SU002074кг', ['348,00', '3.171.718'], '3_003,982')
('SU002205шт', ['69,00', '181.470'], '414,000')

ООО ЛП Тс144862-26 12.07.2026 Орёл 1374кг (Алябьев).pdf
('SU004041кг', ['2,00', '7.443'], '6,983')
('SU004047кг', ['2,00', '7.687'], '7,227')
('SU004044кг', ['2,00', '7.602'], '7,142')
('SU004039шт', ['3,00', '5.448'], '18,000')
('SU004045шт', ['3,00', '5.448'], '18,000')
('SU004042шт', ['3,00', '5.448'], '18,000')
('SU002660шт', ['10,00', '22.360'], '60,000')
('SU002618шт', ['10,00', '26.300'], '60,000')
('SU002686шт', ['10,00', '26.300'], '60,000')
('SU002617шт', ['10,00', '22.360'], '60,000')
('SU003425кг', ['6,00', '73.825'], '71,365')
('SU003426шт', ['18,00', '75.420'], '180,000')
('SU002074кг', ['82,00', '743.355'], '703,831')
('SU002205шт', ['167,00', '439.210'], '1_002,000')

ООО ЛП Тс144869-26 12.07.2026 Орёл 4034кг (Алябьев).pdf
('SU004041кг', ['3,00', '11.214'], '10,524')
('SU004047кг', ['3,00', '11.535'], '10,845')
('SU004044кг', ['3,00', '11.415'], '10,725')
('SU004039шт', ['6,00', '10.896'], '36,000')
('SU004045шт', ['6,00', '10.896'], '36,000')
('SU004042шт', ['6,00', '10.896'], '36,000')
('SU002660шт', ['3,00', '6.708'], '18,000')
('SU002944шт', ['4,00', '7.744'], '24,000')
('SU002942шт', ['4,00', '7.744'], '24,000')
('SU002842шт', ['14,00', '36.820'], '84,000')
('SU002618шт', ['10,00', '26.300'], '60,000')
('SU002686шт', ['5,00', '13.150'], '30,000')
('SU002844шт', ['5,00', '13.150'], '30,000')
('SU002617шт', ['11,00', '24.596'], '66,000')
('SU001869шт', ['14,00', '39.340'], '210,000')
('SU003167шт', ['6,00', '13.908'], '36,000')
('SU003422кг', ['8,00', '122.843'], '119,083')
('SU002787шт', ['2,00', '8.380'], '20,000')
('SU000126кг', ['4,00', '61.765'], '59,885')
('SU003425кг', ['9,00', '110.917'], '107,227')
('SU002074кг', ['349,00', '3.170.486'], '3_002,268')
('SU002205шт', ['209,00', '549.670'], '1_254,000')

ООО ЛП Тс144877-26 12.07.2026 Орёл 1523кг (Алябьев).pdf
('SU004041кг', ['2,00', '7.490'], '7,030')
('SU004047кг', ['2,00', '7.739'], '7,279')
('SU004044кг', ['1,00', '3.874'], '3,644')
('SU004039шт', ['3,00', '5.448'], '18,000')
('SU004045шт', ['3,00', '5.448'], '18,000')
('SU004042шт', ['3,00', '5.448'], '18,000')
('SU002618шт', ['5,00', '13.150'], '30,000')
('SU002686шт', ['3,00', '7.890'], '18,000')
('SU002617шт', ['32,00', '71.552'], '192,000')
('SU001835кг', ['2,00', '16.669'], '15,681')
('SU003167шт', ['8,00', '18.544'], '48,000')
('SU003422кг', ['3,00', '45.713'], '44,303')
('SU003423кг', ['4,00', '61.260'], '59,660')
('SU002287кг', ['1,00', '9.525'], '9,043')
('SU003425кг', ['10,00', '124.119'], '120,019')
('SU003426шт', ['15,00', '62.850'], '150,000')
('SU002074кг', ['71,00', '646.786'], '612,564')
('SU002205шт', ['194,00', '510.220'], '1_164,000')

