ООО ЛП Тс143340-26 12.07.2026 Сочи 6316кг (Латий).pdf
('SU000722кг', ['20,00', '222.706'], '214,506')
('SU002831шт', ['20,00', '83.800'], '200,000')
('SU002814шт', ['15,00', '43.050'], '90,000')
('SU002830кг', ['10,00', '112.509'], '108,409')
('SU001721кг', ['10,00', '87.205'], '82,385')
('SU004041кг', ['10,00', '37.782'], '35,482')
('SU000097кг', ['10,00', '96.499'], '91,199')
('SU003389кг', ['15,00', '166.495'], '160,945')
('SU001777кг', ['64,00', '719.545'], '695,865')
('SU004009кг', ['10,00', '111.530'], '107,430')
('SU004007кг', ['5,00', '55.975'], '54,125')
('SU001820кг', ['20,00', '89.034'], '84,514')
('SU001822кг', ['19,00', '87.550'], '83,256')
('SU002579шт', ['10,00', '22.360'], '60,000')
('SU001340кг', ['125,00', '1.062.004'], '1_001,004')
('SU000227кг', ['9,00', '81.172'], '77,482')
('SU001430кг', ['15,00', '139.370'], '132,140')
('SU001835кг', ['16,00', '132.626'], '124,722')
('SU003167шт', ['5,00', '11.590'], '30,000')
('SU003168шт', ['5,00', '11.590'], '30,000')
('SU003422кг', ['30,00', '467.775'], '453,675')
('SU004238кг', ['98,00', '1.499.127'], '1_453,067')
('SU000126кг', ['49,00', '757.193'], '734,163')
('SU003161кг', ['5,00', '46.196'], '43,786')
('SU002634кг', ['21,00', '114.140'], '107,420')
('SU002010кг', ['10,00', '55.960'], '52,660')
('SU002035кг', ['20,00', '111.916'], '105,524')
('SU002158кг', ['10,00', '55.990'], '52,490')
('SU002809кг', ['23,00', '103.101'], '97,903')

ООО ЛП Тс143355-26 12.07.2026 Сочи 5601кг (Латий).pdf
('SU000341шт', ['1,00', '2.750'], '6,000')
('SU003665шт', ['1,00', '2.000'], '6,000')
('SU000722кг', ['10,00', '111.143'], '107,043')
('SU001485шт', ['5,00', '20.950'], '50,000')
('SU002829кг', ['6,00', '66.549'], '64,089')
('SU002814шт', ['10,00', '28.700'], '60,000')
