ООО КСК ТРЕЙД Тс149743-26 20.07.2026 Крым 15852кг (Максимов).pdf
('SU000722кг', ['14,00', '155.297'], '149,557')
('SU001485шт', ['20,00', '83.800'], '200,000')
('SU002829кг', ['10,00', '112.191'], '108,091')
('SU002815шт', ['20,00', '93.800'], '200,000')
('SU002828кг', ['3,00', '33.603'], '32,373')
('SU002814шт', ['25,00', '71.750'], '150,000')
('SU002835кг', ['4,00', '32.584'], '30,656')
('SU002816шт', ['40,00', '187.600'], '400,000')
('SU001523кг', ['38,00', '325.367'], '307,051')
('SU001718шт', ['84,00', '246.120'], '504,000')
('SU002734шт', ['20,00', '93.800'], '200,000')
('SU001721кг', ['49,00', '428.777'], '405,159')
('SU001720шт', ['100,00', '293.000'], '600,000')
('SU003336шт', ['12,00', '24.504'], '72,000')
('SU002367шт', ['17,00', '38.182'], '102,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU003987шт', ['5,00', '4.790'], '30,000')
('SU004041кг', ['57,00', '215.062'], '201,952')
('SU004047кг', ['76,00', '292.061'], '274,581')
('SU004044кг', ['84,00', '321.692'], '302,372')
('SU003753шт', ['4,00', '4.560'], '40,000')
('SU004039шт', ['50,00', '90.800'], '300,000')
('SU003751шт', ['3,00', '3.420'], '30,000')
('SU004045шт', ['37,00', '67.192'], '222,000')
('SU003988шт', ['3,00', '3.480'], '30,000')
('SU004042шт', ['20,00', '36.320'], '120,000')
('SU002876кг', ['5,00', '23.075'], '21,945')
('SU002847кг', ['8,00', '36.283'], '34,475')
('SU004026шт', ['8,00', '8.720'], '80,000')
('SU002877шт', ['34,00', '76.024'], '204,000')
('SU003178шт', ['6,00', '6.360'], '60,000')
('SU002848шт', ['50,00', '111.800'], '300,000')
('SU003893шт', ['4,00', '5.760'], '72,000')
('SU003894шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['4,00', '5.760'], '72,000')
('SU002941кг', ['56,00', '319.010'], '305,010')
('SU002943кг', ['12,00', '67.920'], '64,920')
('SU002945кг', ['26,00', '147.408'], '141,376')
('SU002947кг', ['12,00', '68.453'], '65,453')
('SU002944шт', ['67,00', '129.712'], '402,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['50,00', '96.800'], '300,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['30,00', '273.412'], '258,952')
('SU002618шт', ['134,00', '352.420'], '804,000')
('SU002686шт', ['34,00', '89.420'], '204,000')
('SU002759шт', ['14,00', '36.820'], '84,000')
('SU002758шт', ['42,00', '110.460'], '252,000')
('SU003271кг', ['3,00', '35.747'], '34,517')
('SU003274шт', ['3,00', '12.570'], '30,000')
('SU003272шт', ['20,00', '83.800'], '200,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003920шт', ['14,00', '27.720'], '210,000')
('SU003925шт', ['6,00', '6.696'], '108,000')
('SU004103кг', ['25,00', '215.672'], '205,422')
('SU004104кг', ['28,00', '239.952'], '228,472')
('SU004106кг', ['19,00', '164.707'], '156,917')
('SU001777кг', ['5,00', '55.901'], '53,851')
('SU002617шт', ['84,00', '187.824'], '504,000')
('SU002252шт', ['8,00', '16.144'], '48,000')
('SU001051кг', ['55,00', '480.684'], '454,174')
('SU001430кг', ['8,00', '75.014'], '71,158')
('SU001921кг', ['12,00', '35.616'], '32,832')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU004131кг', ['10,00', '156.418'], '151,718')
('SU003422кг', ['108,00', '1.661.443'], '1_610,683')
('SU003423кг', ['54,00', '843.778'], '818,398')
('SU003420кг', ['62,00', '932.806'], '903,666')
('SU004238кг', ['40,00', '619.241'], '600,441')
('SU000126кг', ['175,00', '2.703.494'], '2_621,244')
('SU003686кг', ['4,00', '62.087'], '60,207')
('SU002287кг', ['6,00', '55.020'], '52,128')
('SU003425кг', ['5,00', '62.361'], '60,311')
('SU002606шт', ['4,00', '8.944'], '24,000')
('SU002011кг', ['16,00', '89.801'], '84,201')
('SU002634кг', ['6,00', '32.800'], '30,700')
('SU002010кг', ['48,00', '270.301'], '253,501')
('SU002632шт', ['9,00', '44.910'], '72,000')
('SU002631шт', ['28,00', '139.720'], '224,000')
('SU002035кг', ['58,00', '325.279'], '304,979')
('SU002643шт', ['19,00', '94.620'], '152,000')
('SU002150кг', ['4,00', '22.542'], '21,142')
('SU002158кг', ['3,00', '16.805'], '15,875')
('SU002151кг', ['38,00', '213.425'], '200,125')
('SU002918шт', ['15,00', '74.850'], '120,000')
('SU002655кг', ['102,00', '953.792'], '904,628')

ООО КСК ТРЕЙД Тс150993-26 20.07.2026 Крым 1705кг (Максимов).pdf
('SU003422кг', ['74,00', '1.137.126'], '1_102,346')
('SU003420кг', ['42,00', '623.313'], '603,573')

