ООО КСК ТРЕЙД Тс152547-26 21.07.2026 Крым 1307кг (Галкин).pdf
('SU003422кг', ['67,00', '1.040.002'], '1_008,512')
('SU004238кг', ['20,00', '308.816'], '299,416')

ООО КСК ТРЕЙД Тс150977-26 21.07.2026 Крым 15966кг (Галкин).pdf
('SU004124шт', ['17,00', '38.794'], '102,000')
('SU004123шт', ['14,00', '31.948'], '84,000')
('SU000722кг', ['10,00', '110.337'], '106,237')
('SU001485шт', ['40,00', '167.600'], '400,000')
('SU002829кг', ['9,00', '100.971'], '97,281')
('SU002829кг', ['1,00', '11.238'], '10,828')
('SU002815шт', ['80,00', '375.200'], '800,000')
('SU002828кг', ['5,00', '55.826'], '53,776')
('SU002814шт', ['50,00', '143.500'], '300,000')
('SU002835кг', ['6,00', '48.582'], '45,690')
('SU002830кг', ['14,00', '156.659'], '150,919')
('SU002816шт', ['80,00', '375.200'], '800,000')
('SU001523кг', ['7,00', '59.564'], '56,190')
('SU001718шт', ['134,00', '392.620'], '804,000')
('SU002928кг', ['2,00', '22.176'], '21,356')
('SU002734шт', ['20,00', '93.800'], '200,000')
('SU001721кг', ['25,00', '216.972'], '204,922')
('SU001720шт', ['167,00', '489.310'], '1_002,000')
('SU003336шт', ['27,00', '55.134'], '162,000')
('SU002367шт', ['18,00', '40.428'], '108,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU003987шт', ['17,00', '16.286'], '102,000')
('SU004041кг', ['29,00', '109.687'], '103,017')
('SU004047кг', ['29,00', '110.928'], '104,258')
('SU004044кг', ['42,00', '160.765'], '151,105')
('SU003753шт', ['10,00', '11.400'], '100,000')
('SU004039шт', ['67,00', '121.672'], '402,000')
('SU003751шт', ['3,00', '3.420'], '30,000')
('SU004045шт', ['50,00', '90.800'], '300,000')
('SU003988шт', ['5,00', '5.800'], '50,000')
('SU004042шт', ['42,00', '76.272'], '252,000')
('SU002756кг', ['12,00', '55.202'], '52,490')
('SU002876кг', ['5,00', '23.085'], '21,955')
('SU002847кг', ['5,00', '22.875'], '21,745')
('SU004026шт', ['10,00', '10.900'], '100,000')
('SU002877шт', ['42,00', '93.912'], '252,000')
('SU003178шт', ['7,00', '7.420'], '70,000')
('SU002848шт', ['42,00', '93.912'], '252,000')
('SU003895шт', ['3,00', '4.320'], '54,000')
('SU003893шт', ['6,00', '8.640'], '108,000')
('SU003894шт', ['6,00', '8.640'], '108,000')
('SU003896шт', ['6,00', '8.640'], '108,000')
('SU002941кг', ['49,00', '280.414'], '268,164')
('SU002943кг', ['10,00', '57.395'], '54,895')
('SU002945кг', ['28,00', '159.611'], '153,115')
('SU002947кг', ['10,00', '56.910'], '54,410')
('SU002944шт', ['59,00', '114.224'], '354,000')
('SU002942шт', ['30,00', '58.080'], '180,000')
('SU002946шт', ['60,00', '116.160'], '360,000')
('SU002948шт', ['32,00', '62.144'], '192,000')
('SU002842шт', ['167,00', '441.214'], '1_002,000')
('SU002618шт', ['84,00', '220.920'], '504,000')
('SU002686шт', ['34,00', '89.420'], '204,000')
('SU002844шт', ['117,00', '309.114'], '702,000')
('SU002758шт', ['42,00', '110.460'], '252,000')
('SU003271кг', ['5,00', '59.658'], '57,608')
('SU003274шт', ['7,00', '29.330'], '70,000')
('SU003272шт', ['30,00', '125.400'], '300,000')
('SU003921шт', ['7,00', '13.860'], '105,000')
('SU003925шт', ['3,00', '3.348'], '54,000')
('SU004103кг', ['13,00', '112.315'], '106,985')
('SU004104кг', ['19,00', '163.320'], '155,530')
('SU004106кг', ['18,00', '155.291'], '147,911')
('SU001777кг', ['8,00', '90.175'], '86,895')
('SU002252шт', ['17,00', '34.306'], '102,000')
('SU001051кг', ['25,00', '211.702'], '199,652')
('SU001430кг', ['6,00', '54.804'], '51,912')
('SU003167шт', ['834,00', '1.933.212'], '5_004,000')
('SU003168шт', ['417,00', '966.606'], '2_502,000')
('SU004131кг', ['12,00', '187.741'], '182,101')
('SU003423кг', ['47,00', '727.082'], '704,992')
('SU003420кг', ['34,00', '526.735'], '510,755')
('SU004238кг', ['34,00', '526.355'], '510,375')
('SU000126кг', ['121,00', '1.867.584'], '1_810,714')
('SU003686кг', ['8,00', '123.425'], '119,665')
('SU003425кг', ['5,00', '62.599'], '60,549')
('SU002074кг', ['5,00', '46.229'], '43,819')
('SU002604шт', ['2,00', '4.484'], '12,000')
('SU002011кг', ['14,00', '78.220'], '73,320')
('SU002634кг', ['7,00', '38.175'], '35,725')
('SU002010кг', ['48,00', '270.310'], '253,510')
('SU002632шт', ['25,00', '124.750'], '200,000')
('SU002631шт', ['75,00', '374.250'], '600,000')
('SU002035кг', ['68,00', '379.628'], '355,828')
('SU002643шт', ['19,00', '94.810'], '152,000')
('SU002150кг', ['8,00', '44.794'], '41,994')
('SU002158кг', ['6,00', '33.565'], '31,705')
('SU002151кг', ['30,00', '168.079'], '157,579')
('SU002916шт', ['13,00', '64.870'], '104,000')
('SU002919шт', ['3,00', '14.970'], '24,000')
('SU002918шт', ['32,00', '159.680'], '256,000')
('SU002808кг', ['5,00', '62.115'], '60,065')
('SU002655кг', ['84,00', '778.349'], '737,861')

