ООО КСК ТРЕЙД Тс155332-26 24.07.2026 Крым 1507кг (Клетченко).pdf
('SU003422кг', ['50,00', '775.581'], '752,081')
('SU003420кг', ['50,00', '778.993'], '755,493')

ООО КСК ТРЕЙД Тс154336-26 24.07.2026 Крым 15100кг (Клетченко).pdf
('SU004124шт', ['10,00', '22.820'], '60,000')
('SU000722кг', ['39,00', '434.375'], '418,385')
('SU001485шт', ['30,00', '125.700'], '300,000')
('SU002829кг', ['21,00', '237.569'], '228,959')
('SU002815шт', ['50,00', '234.500'], '500,000')
('SU002828кг', ['19,00', '211.929'], '204,139')
('SU002814шт', ['84,00', '241.080'], '504,000')
('SU002835кг', ['9,00', '76.180'], '71,842')
('SU002830кг', ['19,00', '213.533'], '205,743')
('SU002816шт', ['40,00', '187.200'], '400,000')
('SU001523кг', ['13,00', '111.694'], '105,428')
('SU001718шт', ['167,00', '489.310'], '1_002,000')
('SU002928кг', ['3,00', '33.545'], '32,315')
('SU002734шт', ['20,00', '93.800'], '200,000')
('SU001721кг', ['134,00', '1.162.294'], '1_097,706')
('SU001720шт', ['167,00', '489.310'], '1_002,000')
('SU003336шт', ['34,00', '69.428'], '204,000')
('SU002367шт', ['34,00', '76.364'], '204,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['32,00', '97.792'], '256,000')
('SU002984шт', ['38,00', '110.048'], '304,000')
('SU003987шт', ['14,00', '13.412'], '84,000')
('SU004041кг', ['72,00', '269.039'], '252,479')
('SU004047кг', ['70,00', '269.723'], '253,623')
('SU004044кг', ['83,00', '321.623'], '302,533')
('SU003753шт', ['9,00', '10.260'], '90,000')
('SU004045шт', ['67,00', '121.672'], '402,000')
('SU004042шт', ['67,00', '121.672'], '402,000')
('SU002756кг', ['10,00', '45.892'], '43,632')
('SU002876кг', ['12,00', '55.356'], '52,644')
('SU002847кг', ['8,00', '36.574'], '34,766')
('SU004026шт', ['10,00', '10.900'], '100,000')
('SU002877шт', ['84,00', '187.824'], '504,000')
('SU003178шт', ['5,00', '5.300'], '50,000')
('SU002848шт', ['134,00', '299.624'], '804,000')
('SU003893шт', ['17,00', '24.480'], '306,000')
('SU003894шт', ['9,00', '12.960'], '162,000')
('SU002941кг', ['56,00', '319.821'], '305,821')
('SU002943кг', ['6,00', '34.032'], '32,532')
('SU002945кг', ['28,00', '157.652'], '151,156')
('SU002947кг', ['23,00', '130.686'], '124,936')
('SU002944шт', ['84,00', '162.624'], '504,000')
('SU002942шт', ['50,00', '96.800'], '300,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002842шт', ['167,00', '441.214'], '1_002,000')
('SU002618шт', ['50,00', '131.500'], '300,000')
('SU002686шт', ['17,00', '43.690'], '102,000')
('SU002759шт', ['10,00', '26.300'], '60,000')
('SU003273кг', ['3,00', '36.034'], '34,804')
('SU003271кг', ['9,00', '107.506'], '103,816')
('SU003274шт', ['2,00', '8.380'], '20,000')
('SU003272шт', ['15,00', '62.850'], '150,000')
('SU003921шт', ['8,00', '15.840'], '120,000')
('SU003920шт', ['7,00', '13.860'], '105,000')
('SU002801шт', ['17,00', '44.710'], '102,000')
('SU002799шт', ['167,00', '439.210'], '1_002,000')
('SU004103кг', ['32,00', '276.795'], '263,675')
('SU004104кг', ['32,00', '276.164'], '263,044')
('SU004106кг', ['13,00', '111.339'], '106,009')
('SU002252шт', ['25,00', '50.450'], '150,000')
('SU001051кг', ['25,00', '214.155'], '202,105')
('SU000227кг', ['63,00', '536.722'], '510,892')
('SU001430кг', ['12,00', '109.898'], '104,114')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU003167шт', ['4,00', '9.296'], '24,000')
('SU003167шт', ['163,00', '377.834'], '978,000')
('SU003168шт', ['167,00', '387.106'], '1_002,000')
('SU004131кг', ['20,00', '315.235'], '305,835')
('SU003423кг', ['111,00', '1.714.070'], '1_661,900')
('SU002287кг', ['3,00', '28.574'], '27,128')
('SU002011кг', ['10,00', '56.356'], '52,856')
('SU002634кг', ['6,00', '32.847'], '30,747')
('SU002010кг', ['86,00', '486.013'], '455,913')
('SU002632шт', ['44,00', '219.560'], '352,000')
('SU002631шт', ['75,00', '374.250'], '600,000')
('SU002035кг', ['87,00', '487.219'], '456,769')
('SU002643шт', ['25,00', '124.750'], '200,000')
('SU002150кг', ['10,00', '56.092'], '52,592')
('SU002158кг', ['8,00', '45.100'], '42,300')
('SU002151кг', ['23,00', '129.670'], '121,620')
('SU002916шт', ['19,00', '94.760'], '152,000')
('SU002919шт', ['4,00', '19.960'], '32,000')
('SU002918шт', ['38,00', '189.620'], '304,000')
('SU002808кг', ['17,00', '211.900'], '204,930')

ООО КСК ТРЕЙД Тс155804-26 24.07.2026 Сочи 520кг (Клетченко).pdf
('SU002844шт', ['167,00', '441.214'], '1_002,000')
('SU002758шт', ['50,00', '131.500'], '300,000')

ООО КСК ТРЕЙД Тс155508-26 24.07.2026 Крым 507кг (Клетченко).pdf
('SU003422кг', ['17,00', '261.541'], '253,551')
('SU003420кг', ['17,00', '262.152'], '254,162')

