ООО КСК ТРЕЙД Тс161761-26 31.07.2026 Крым 2523кг (Гусейнов).pdf
('SU000722кг', ['2,00', '22.188'], '21,368')
('SU001485шт', ['4,00', '16.760'], '40,000')
('SU002814шт', ['5,00', '14.350'], '30,000')
('SU001523кг', ['8,00', '69.574'], '65,718')
('SU001721кг', ['9,00', '78.402'], '74,064')
('SU001720шт', ['10,00', '29.300'], '60,000')
('SU002943кг', ['8,00', '45.466'], '43,466')
('SU002945кг', ['13,00', '73.489'], '70,473')
('SU002947кг', ['8,00', '45.387'], '43,387')
('SU002618шт', ['4,00', '10.520'], '24,000')
('SU002621шт', ['4,00', '10.280'], '24,000')
('SU002844шт', ['3,00', '7.710'], '18,000')
('SU002801шт', ['4,00', '10.520'], '24,000')
('SU001822кг', ['3,00', '13.690'], '13,012')
('SU002579шт', ['3,00', '6.708'], '18,000')
('SU000227кг', ['3,00', '27.322'], '26,092')
('SU001835кг', ['4,00', '33.072'], '31,096')
('SU003167шт', ['10,00', '23.180'], '60,000')
('SU003168шт', ['9,00', '20.862'], '54,000')
('SU003422кг', ['17,00', '262.320'], '254,330')
('SU003423кг', ['2,00', '31.064'], '30,124')
('SU003423кг', ['15,00', '230.077'], '223,027')
('SU003420кг', ['37,00', '576.286'], '558,896')
('SU000126кг', ['7,00', '107.964'], '104,674')
('SU000246кг', ['14,00', '135.728'], '128,980')
('SU003425кг', ['3,00', '37.378'], '36,148')
('SU002603шт', ['4,00', '8.944'], '24,000')
('SU002612кг', ['4,00', '22.704'], '21,704')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU002011кг', ['8,00', '45.416'], '42,616')
('SU002182кг', ['3,00', '17.361'], '16,311')
('SU002634кг', ['17,00', '93.356'], '87,406')
('SU002010кг', ['6,00', '33.959'], '31,859')
('SU002035кг', ['13,00', '72.716'], '68,166')
('SU002150кг', ['9,00', '51.032'], '47,882')
('SU002158кг', ['9,00', '50.601'], '47,451')
('SU002151кг', ['9,00', '50.724'], '47,250')
('SU002809кг', ['5,00', '22.385'], '21,255')
('SU002655кг', ['23,00', '220.562'], '209,476')

ООО КСК ТРЕЙД Тс162872-26 31.07.2026 Крым 1827кг (Гусейнов).pdf
('SU003422кг', ['94,00', '1.460.661'], '1_416,481')
('SU004238кг', ['27,00', '424.127'], '411,437')

ООО КСК ТРЕЙД Тс161760-26 31.07.2026 Крым 1175кг (Гусейнов).pdf
('SU000722кг', ['3,00', '33.378'], '32,148')
('SU001485шт', ['2,00', '8.380'], '20,000')
('SU002815шт', ['8,00', '37.520'], '80,000')
('SU002828кг', ['3,00', '33.667'], '32,437')
('SU002816шт', ['4,00', '18.760'], '40,000')
('SU001718шт', ['10,00', '29.300'], '60,000')
('SU002928кг', ['5,00', '55.299'], '53,249')
('SU002734шт', ['4,00', '18.760'], '40,000')
('SU001721кг', ['8,00', '69.853'], '65,997')
('SU001720шт', ['5,00', '14.650'], '30,000')
('SU003336шт', ['5,00', '10.210'], '30,000')
('SU002984шт', ['4,00', '11.584'], '32,000')
('SU004044кг', ['20,00', '76.811'], '72,211')
('SU002756кг', ['4,00', '18.260'], '17,356')
('SU004026шт', ['2,00', '2.180'], '20,000')
('SU002941кг', ['6,00', '34.231'], '32,731')
('SU002943кг', ['12,00', '68.232'], '65,232')
('SU002945кг', ['12,00', '67.785'], '65,001')
('SU002947кг', ['6,00', '34.019'], '32,519')
('SU002944шт', ['9,00', '17.424'], '54,000')
('SU002942шт', ['9,00', '17.424'], '54,000')
('SU002948шт', ['9,00', '17.478'], '54,000')
('SU002618шт', ['7,00', '18.410'], '42,000')
('SU002621шт', ['4,00', '10.280'], '24,000')
('SU002686шт', ['5,00', '13.150'], '30,000')
('SU002844шт', ['4,00', '10.280'], '24,000')
('SU002801шт', ['5,00', '13.150'], '30,000')
('SU004103кг', ['3,00', '25.736'], '24,506')
('SU004106кг', ['2,00', '17.430'], '16,610')
('SU001822кг', ['4,00', '18.312'], '17,408')
('SU000227кг', ['11,00', '92.134'], '87,624')
('SU003167шт', ['17,00', '39.406'], '102,000')
('SU003168шт', ['12,00', '27.816'], '72,000')
('SU004131кг', ['2,00', '31.554'], '30,614')
('SU003686кг', ['2,00', '30.562'], '29,622')
('SU000246кг', ['9,00', '87.180'], '82,842')
('SU002613кг', ['3,00', '16.957'], '16,207')
('SU002603шт', ['4,00', '8.944'], '24,000')
('SU002612кг', ['4,00', '22.785'], '21,785')
('SU002604шт', ['7,00', '15.694'], '42,000')
