ООО НВ ЮТс-03663-26 31.07.2026 Мелитополь 11136кг (Журавлев).pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU003532шт', ['168,00', '1.214.640'], '1_680,000')
('SU003385шт', ['168,00', '1.214.640'], '1_680,000')
('SU003680шт', ['140,00', '193.200'], '840,000')
('SU003677шт', ['140,00', '193.200'], '840,000')
('SU003676шт', ['140,00', '193.200'], '840,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003593шт', ['70,00', '418.600'], '840,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU003889шт', ['140,00', '434.000'], '1_680,000')
('SU003892шт', ['140,00', '434.000'], '1_680,000')
('SU003884шт', ['140,00', '434.000'], '1_680,000')
('SU003717шт', ['84,00', '607.320'], '840,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003459шт', ['168,00', '1.214.640'], '1_680,000')
('SU004097шт', ['70,00', '121.800'], '420,000')
('SU003574шт', ['280,00', '472.080'], '1_680,000')
('SU003872шт', ['105,00', '275.100'], '1_260,000')
('SU003870шт', ['112,00', '293.440'], '1_344,000')
('SU003596шт', ['70,00', '376.600'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU002396кг', ['145,00', '754.000'], '725,000')
('SU000197кг', ['144,00', '748.800'], '720,000')

