ООО НВ Тс163951-26 03.08.2026 Донецк 6414кг (Хохлов).pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU003889шт', ['70,00', '217.000'], '840,000')
('SU003892шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003717шт', ['84,00', '607.320'], '840,000')
('SU003460шт', ['156,00', '1.127.880'], '1_560,000')
('SU003459шт', ['168,00', '1.214.640'], '1_680,000')
('SU003870шт', ['70,00', '183.400'], '840,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU003797шт', ['140,00', '450.800'], '1_680,000')
('SU003800шт', ['140,00', '450.800'], '1_680,000')
('SU003935шт', ['156,00', '815.880'], '780,000')

ООО НВ ЮТс-03723-26 03.08.2026 Донецк 7129кг (Хохлов).pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['84,00', '141.120'], '504,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003593шт', ['42,00', '251.160'], '504,000')
('SU003591шт', ['70,00', '267.400'], '840,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003887шт', ['42,00', '130.200'], '504,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003892шт', ['42,00', '130.200'], '504,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003605шт', ['28,00', '113.680'], '224,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003576шт', ['56,00', '180.992'], '672,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU003870шт', ['42,00', '110.040'], '504,000')
('SU003596шт', ['28,00', '150.640'], '336,000')
('SU003601шт', ['28,00', '52.080'], '168,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['56,00', '180.320'], '672,000')
('SU003020кг', ['180,00', '1.121.400'], '1_080,000')
('SU004087кг', ['168,00', '878.640'], '840,000')
('SU003434кг', ['216,00', '1.237.680'], '1_188,000')
('SU003448кг', ['98,00', '311.640'], '294,000')
('SU003439кг', ['126,00', '488.880'], '466,200')
('SU003442кг', ['28,00', '108.640'], '103,600')

